Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Most Total Return [%],STRF,EMA,2,5,0,false,0,4,0.0,50.0,0.8623120505650533,0.0001,-0.7926771917399594,0.9706892968840575,0 days 07:00:00,0.9605717689100656,29.217391304347824,58.43478260869565,0.002921739130434783,0,69,2 days 22:00:00,1000.0,998.0698675936288,-0.19301324063711717,-6.585077126045946,100.0,8.045111744242867,2.172245100316146,1 days 15:00:00,4,0.0,1.1818664888568624,-1.2950742941300932,0.6048418193509929,-0.6938282891903242,0 days 09:00:00,0 days 05:00:00,-0.4825331015928018,-0.5185515549114431,-9.88690022474732,0.976168805347489,0.7207649181709491,8.507910380774426,1.6269480089124813,0.20689655172413796,-0.005542187843456327,None,None,-0.000020718669984776958,-0.12530651606793103,-0.0019301324063714098,-0.1537365701617769,0.29082241486580424,4.164186507936508
Least Total Return [%],STRF,EMA,28,67,0,false,0,2,-0.0,0.0,0.0,NaN,-21.78737427237612,0.2635982717327708,0 days 14:30:00,0.4802858844550328,14.608695652173912,29.217391304347824,NaN,0,69,2 days 22:00:00,1000.0,951.5073782360677,-4.849262176393234,-6.585077126045946,100.0,3.9073199444863196,6.113190185147728,2 days 14:00:00,2,0.0,-2.2093495648112693,-2.704453003287488,NaN,-2.456901284049379,NaT,0 days 14:30:00,-24.24631088196618,-18.857296018331024,-16.325549830808775,0.43820422364419076,-0.7413056840179832,4.970848421447557,0.9202288696528008,0.16666666666666666,-0.007745744024764546,None,None,-0.0007038307622735471,-4.256768450230413,-0.04849262176393232,-0.9863601169321906,0.2716731825118507,4.164186507936508
Mean Total Return [%],STRF,EMA,17,62,0,false,0,2,-0.0,0.0,0.0,NaN,-18.532033041746782,0.46928328375322514,0 days 13:30:00,0.4802858844550328,14.608695652173912,29.217391304347824,NaN,0,69,2 days 22:00:00,1000.0,965.0518949143315,-3.494810508566854,-6.585077126045946,100.0,3.94468143267578,4.776730279010509,2 days 14:00:00,2,0.0,-1.017989913676943,-2.505798700128099,NaN,-1.761894306902521,NaT,0 days 13:30:00,-17.474052542834265,-15.07544104873053,-20.69076289449118,0.5261130023136392,-0.08885418370833816,4.287384061408838,0.9996147043959144,0.16666666666666666,-0.006630088102640189,None,None,-0.0005032477639711598,-3.043642476497575,-0.03494810508566881,-0.9537429748169233,0.24297957689200858,4.164186507936508
Median Total Return [%],STRF,EMA,12,64,0,false,0,2,-0.0,0.0,0.0,NaN,-19.314254384271436,0.4689617718733962,0 days 13:00:00,0.4802858844550328,14.608695652173912,29.217391304347824,NaN,0,69,2 days 22:00:00,1000.0,965.0307231090753,-3.4969276890924674,-6.585077126045946,100.0,3.9414289840309733,4.7788193361202955,2 days 14:00:00,2,0.0,-1.1797140970646067,-2.3483870967741893,NaN,-1.764050596919398,NaT,0 days 13:00:00,-17.484638445462352,-16.075519623626324,-20.682386792402124,0.4846031029749199,-0.22901450308016255,5.680510171609771,0.8722855853548558,0.16666666666666666,-0.006630088102640175,None,None,-0.0005041255434482948,-3.0489512867752873,-0.034969276890924994,-0.9538305723527472,0.22826095377011812,4.164186507936508
Most Total Fees Paid,STRF,EMA,2,3,0,false,0,6,0.0,33.33333333333333,0.647311836900707,0.0001,-5.630491460026774,0.8079521463812674,0 days 04:49:59.999999999,1.4408576533650983,43.826086956521735,87.65217391304347,0.0043826086956521735,0,69,2 days 22:00:00,1000.0,987.3535007202906,-1.264649927970936,-6.585077126045946,100.0,11.977546527302318,2.85578582077913,2 days 14:00:00,6,0.0,1.5963810365773035,-1.5083685260267392,1.173278441584583,-0.8957027998489276,0 days 08:30:00,0 days 03:00:00,-2.1077498799515726,-4.01615085060724,-27.89517979552965,0.8342847715834225,0.13903032723300712,7.464622935773778,1.4118665365257914,0.2280701754385965,-0.006148288533324807,None,None,-0.00017372253594410007,-1.0506738973899172,-0.012646499279709178,-0.6670042305083697,0.31485028284062844,4.164186507936508
Least Total Fees Paid,STRF,EMA,28,67,0,false,0,2,-0.0,0.0,0.0,NaN,-21.78737427237612,0.2635982717327708,0 days 14:30:00,0.4802858844550328,14.608695652173912,29.217391304347824,NaN,0,69,2 days 22:00:00,1000.0,951.5073782360677,-4.849262176393234,-6.585077126045946,100.0,3.9073199444863196,6.113190185147728,2 days 14:00:00,2,0.0,-2.2093495648112693,-2.704453003287488,NaN,-2.456901284049379,NaT,0 days 14:30:00,-24.24631088196618,-18.857296018331024,-16.325549830808775,0.43820422364419076,-0.7413056840179832,4.970848421447557,0.9202288696528008,0.16666666666666666,-0.007745744024764546,None,None,-0.0007038307622735471,-4.256768450230413,-0.04849262176393232,-0.9863601169321906,0.2716731825118507,4.164186507936508
Mean Total Fees Paid,STRF,EMA,3,40,0,false,0,2,-0.0,0.0,0.0,NaN,-11.073853908464566,0.7197708384434424,0 days 14:00:00,0.4802858844550328,14.608695652173912,29.217391304347824,NaN,0,69,2 days 22:00:00,1000.0,981.5466935818288,-1.8453306418171223,-6.585077126045946,100.0,3.9633468583014406,3.1491611598928806,2 days 14:00:00,2,0.0,-0.9101765332963911,-0.9455974472185282,NaN,-0.9278869902574597,NaT,0 days 14:00:00,-9.22665320908563,-8.243171499559745,-28.667605465879806,0.7023646471305053,0.24316099850737377,5.055239001780426,1.2131752995890548,0.1864406779661017,-0.006218333703526145,None,None,-0.00026169529827821744,-1.582733163986659,-0.018453306418171445,-0.7999643842333254,0.2310784942197729,4.164186507936508
Median Total Fees Paid,STRF,EMA,17,70,0,false,0,2,-0.0,0.0,0.0,NaN,-18.867772272004952,0.46529633366896045,0 days 14:00:00,0.4802858844550328,14.608695652173912,29.217391304347824,NaN,0,69,2 days 22:00:00,1000.0,964.7893511763057,-3.5210648823694326,-6.585077126045946,100.0,3.9438800561320266,4.802635904719688,2 days 14:00:00,2,0.0,-1.0449453151804988,-2.505798700128091,NaN,-1.775372007654295,NaT,0 days 14:00:00,-17.605324411847178,-15.300404855516499,-20.587282272357868,0.5241622836417704,-0.05164517174873789,4.418474433786884,1.0483245672835408,0.16666666666666666,-0.006630088102640147,None,None,-0.0005071999368553253,-3.067545218101007,-0.0352106488236944,-0.9548177230205884,0.2412871604585418,4.164186507936508
Most Max Drawdown [%],STRF,EMA,28,67,0,false,0,2,-0.0,0.0,0.0,NaN,-21.78737427237612,0.2635982717327708,0 days 14:30:00,0.4802858844550328,14.608695652173912,29.217391304347824,NaN,0,69,2 days 22:00:00,1000.0,951.5073782360677,-4.849262176393234,-6.585077126045946,100.0,3.9073199444863196,6.113190185147728,2 days 14:00:00,2,0.0,-2.2093495648112693,-2.704453003287488,NaN,-2.456901284049379,NaT,0 days 14:30:00,-24.24631088196618,-18.857296018331024,-16.325549830808775,0.43820422364419076,-0.7413056840179832,4.970848421447557,0.9202288696528008,0.16666666666666666,-0.007745744024764546,None,None,-0.0007038307622735471,-4.256768450230413,-0.04849262176393232,-0.9863601169321906,0.2716731825118507,4.164186507936508
Least Max Drawdown [%],STRF,EMA,2,14,0,false,0,2,0.0,50.0,0.3879498528088393,0.0001,-2.1676421269563497,0.9507645332042625,0 days 13:00:00,0.4802858844550328,14.608695652173912,29.217391304347824,0.0014608695652173914,0,69,2 days 22:00:00,1000.0,996.757806538132,-0.3242193461868055,-6.585077126045946,100.0,4.000868713644898,1.6482554371772387,2 days 14:00:00,2,0.0,0.20571292900817958,-0.5291690129468317,0.20571292900817958,-0.5291690129468317,0 days 11:00:00,0 days 15:00:00,-1.6210967309340383,-1.4758867828122086,-20.261057634464805,0.9337960747557914,0.4612224492259083,7.734843711187337,1.4431393882589505,0.1864406779661017,-0.0037399892506963916,None,None,-0.00004276840029856401,-0.2586632850057151,-0.003242193461867826,-0.24465494647303543,0.2109249268422569,4.164186507936508
