Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Most Total Return [%],MSTY_MSTR,SMA,71,79,0,false,19,0.0,33.33333333333333,0.39824599943805644,0.0001,-1.7676131884366186,0.7216923432817771,1 days 09:03:19.999999999,0.15155362512529236,4.865853658536586,9.475609756097562,0.0004865853658536586,0,1968,82 days 01:00:00,1000.0,789.6300867503752,-21.036991324962482,-75.58897794271515,100.0,34.42541829102023,37.523012090986995,67 days 18:00:00,18,1,8.95925007624487,9.310086230254992,-8.766618408052018,2.416972379789982,-3.1458574658540317,0 days 19:30:00,1 days 15:50:00,-12.184953518103843,-1.5574478165520103,-1.733184466769585,0.8845798622459896,-8.851389751538417,139.09725945749634,0.8456360947257261,0.19261053906723197,-0.004764717809620225,None,None,-0.00010087332309053867,-0.6100818580515779,-0.21036991324962673,-0.5159105947639484,0.47143385609280225,118.76984126984127
Least Total Return [%],MSTY_MSTR,SMA,3,4,0,false,322,0.0,33.95638629283489,0.37931963745648406,0.0001,-9.219341094229799,-0.08316728912122648,0 days 03:17:00.560747662,2.7027063147343804,82.46341463414635,164.6707317073171,0.008246341463414636,0,1968,82 days 01:00:00,1000.0,181.2449167434504,-81.87550832565495,-75.58897794271515,100.0,291.72506105817547,82.09342756193932,81 days 22:00:00,321,1,0.5767214271369028,8.188375782978422,-15.30844764711789,0.9323781082800221,-1.2494008462377537,0 days 05:15:57.798165137,0 days 02:15:50.943396226,-2.552435528609616,-8.534884751786697,-1.2175137264071607,0.5808518535163445,-7.740104204080758,97.68182017447258,0.91075839974071,0.37499999999999994,-0.00754949143595996,None,None,-0.000824085408887165,-4.984068552949574,-0.8187550832565484,-0.9947315610061653,0.7028012218591999,118.76984126984127
Mean Total Return [%],MSTY_MSTR,SMA,47,68,0,false,16,0.0,13.333333333333334,0.06594669681975013,0.0001,-4.74141456542214,0.3024123754780068,1 days 19:43:59.999999999,0.1262946876044103,4.097560975609756,7.939024390243903,0.0004097560975609756,0,1968,82 days 01:00:00,1000.0,472.70064436895996,-52.729935563104,-75.58897794271515,100.0,22.63098667185473,57.643133765443665,67 days 18:00:00,15,1,9.426411229259031,3.0734106886063626,-13.387290239426855,2.01288903382184,-5.966330146329047,0 days 16:30:00,1 days 23:55:23.076923076,-35.78171779068662,-4.370733112189453,-1.6729391952716324,0.7045624350577234,-9.850545207076244,153.17747216606926,0.6965332335186034,0.21693448702101362,-0.005578455653756628,None,None,-0.0003507432734204457,-2.121295317646856,-0.5272993556310404,-0.8998950126231821,0.5841078016992867,118.76984126984127
Median Total Return [%],MSTY_MSTR,SMA,7,28,0,false,44,0.0,30.23255813953488,0.23294359303113585,0.0001,-4.9094423557450035,0.2798477640626971,0 days 23:09:46.046511626,0.36204477113264283,11.26829268292683,22.28048780487805,0.0011268292682926832,0,1968,82 days 01:00:00,1000.0,455.6442852233822,-54.43557147766178,-75.58897794271515,100.0,64.11363823120442,59.160870826735376,73 days 14:00:00,43,1,8.959438281210112,5.745147938678751,-15.421543690622928,1.5719222928255991,-3.2524537500774553,1 days 12:32:18.461538461,0 days 17:22:00,-12.867794257158796,-4.499957155486679,-1.6391139358428581,0.7429043596567759,-9.224116599412364,142.35983860614385,0.7277148653143508,0.37596086652690425,-0.005972485313700242,None,None,-0.0003682777441358715,-2.227343796533751,-0.5443557147766189,-0.9105805485760995,0.5956964880884622,118.76984126984127
Most Total Fees Paid,MSTY_MSTR,SMA,2,3,0,false,388,0.0,34.62532299741602,0.4077745021487957,0.0001,-9.23045532368609,-0.0007015841314809317,0 days 02:42:19.534883719,3.2584029401937857,99.3658536585366,198.47560975609755,0.00993658536585366,0,1968,82 days 01:00:00,1000.0,243.57990029845382,-75.64200997015462,-75.58897794271515,100.0,382.1576380875655,75.94787151355136,81 days 21:00:00,387,1,1.2517223666161215,4.46887475255418,-10.914203095944115,0.7506505208216702,-0.9379513343762854,0 days 04:08:03.582089552,0 days 01:56:55.019762845,-1.957808325757527,-8.22522050073136,-1.3142340537814436,0.6314443230634643,-6.207288554501964,77.09034726267612,1.1193232701703053,0.35793103448275865,-0.007952258716982182,None,None,-0.0006855242345185561,-4.146050570368227,-0.7564200997015471,-0.9869382379667765,0.6066430235376742,118.76984126984127
Least Total Fees Paid,MSTY_MSTR,SMA,31,88,0,false,12,-0.0,0.0,0.0,NaN,-4.817420786417775,0.34098841637061084,2 days 01:10:54.545454545,0.09261610424323422,3.073170731707317,5.890243902439025,NaN,0,1968,82 days 01:00:00,1000.0,501.8598794104432,-49.814012058955676,-75.58897794271515,100.0,15.858056468709616,51.886543595864545,76 days 08:00:00,11,1,13.133022219884822,-3.738574442988779,-11.715988373816794,NaN,-6.272212656641436,NaT,2 days 01:10:54.545454545,-46.47937661904014,-4.477567686818025,-1.837570284478399,0.6763584496782141,-9.787447985890482,137.48750858340222,0.6293269018529081,0.1811637672465507,-0.004710596186416139,None,None,-0.00032578853671173065,-1.970369070032547,-0.4981401205895568,-0.8796887722561231,0.5296043987979815,118.76984126984127
Mean Total Fees Paid,MSTY_MSTR,SMA,6,50,0,false,28,-0.0,11.11111111111111,0.040765766157734314,0.0001,-6.0998189618300405,0.15988902284281703,1 days 04:28:53.333333333,0.22733043768793854,7.170731707317073,14.085365853658537,0.0007170731707317073,0,1968,82 days 01:00:00,1000.0,364.96869878232826,-63.50313012176717,-75.58897794271515,100.0,34.98243332445204,64.79577916640496,78 days 14:00:00,27,1,10.636790085148562,2.4219404829100366,-15.840867423623358,1.1919635615506288,-4.325371190205851,2 days 00:20:00,1 days 02:00:00,-23.91363301121556,-5.759071907253319,-1.5258944773026315,0.6293808524111257,-10.268378450168814,151.72291003835414,0.6398208191572813,0.2727860374919198,-0.005109978461872857,None,None,-0.00047961992476037703,-2.90074130495076,-0.635031301217674,-0.9547706858304988,0.6061814745715678,118.76984126984127
Median Total Fees Paid,MSTY_MSTR,SMA,5,72,0,false,21,-0.0,0.0,0.0,NaN,-5.570602711754763,0.21344590098699723,1 days 07:18:00,0.1683929168058804,5.378048780487805,10.5,NaN,0,1968,82 days 01:00:00,1000.0,405.45179558953953,-59.45482044104605,-75.58897794271515,100.0,26.26594849688873,61.36778091691537,77 days 06:00:00,20,1,11.344812694453879,-0.6300388096744657,-15.421543690622924,NaN,-4.499864301799801,NaT,1 days 07:18:00,-30.29465085524573,-5.276964175064898,-1.600156779395798,0.6257047730447076,-10.986137709839669,168.47862188622648,0.6257047730447073,0.2154320987654321,-0.004460102410190794,None,None,-0.00042783308130034294,-2.5875344757044743,-0.5945482044104597,-0.937519826006189,0.5901306357679549,118.76984126984127
Most Max Drawdown [%],MSTY_MSTR,SMA,3,4,0,false,322,0.0,33.95638629283489,0.37931963745648406,0.0001,-9.219341094229799,-0.08316728912122648,0 days 03:17:00.560747662,2.7027063147343804,82.46341463414635,164.6707317073171,0.008246341463414636,0,1968,82 days 01:00:00,1000.0,181.2449167434504,-81.87550832565495,-75.58897794271515,100.0,291.72506105817547,82.09342756193932,81 days 22:00:00,321,1,0.5767214271369028,8.188375782978422,-15.30844764711789,0.9323781082800221,-1.2494008462377537,0 days 05:15:57.798165137,0 days 02:15:50.943396226,-2.552435528609616,-8.534884751786697,-1.2175137264071607,0.5808518535163445,-7.740104204080758,97.68182017447258,0.91075839974071,0.37499999999999994,-0.00754949143595996,None,None,-0.000824085408887165,-4.984068552949574,-0.8187550832565484,-0.9947315610061653,0.7028012218591999,118.76984126984127
Least Max Drawdown [%],MSTY_MSTR,SMA,86,89,0,false,20,0.0,45.0,0.3109801950550889,0.0001,-1.7976119140412772,0.6953754776140444,1 days 03:36:00,0.1683929168058804,5.121951219512195,10.24390243902439,0.0005121951219512195,0,1968,82 days 01:00:00,1000.0,769.7374369655786,-23.026256303442143,-75.58897794271515,100.0,34.793763774313355,30.734079811711823,73 days 14:00:00,20,0,0.0,4.467157741848393,-6.900768082451247,1.3394884965398839,-3.377268971374836,0 days 18:33:20,1 days 11:00:00,-11.513128151721077,-1.6457007241807553,-2.238116977407878,0.8614535456168116,-10.782006374531768,167.985226327373,0.7229561910160374,0.1875753920386007,-0.003468959402294592,None,None,-0.00011172796729453625,-0.6757307461973553,-0.2302625630344215,-0.5524012884129555,0.4941615853871528,118.76984126984127
