Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Signal Conversion Rate,Total Period
Least Avg Winning Trade [%],STRK_MSTR,SMA,44,77,0,false,1,2,NaN,100.0,inf,NaN,0.043325084370176306,-1.6340823348734081,2 days 21:00:00,0.05051787504176412,3.073170731707317,4.609756097560975,NaN,0,328,13 days 17:00:00,1000.0,955.6542711474069,-4.434572885259308,6.9936862160726365,100.0,2.999477195615756,23.055691324104988,9 days 09:00:00,1,-44.58282692193848,0.023733516741476418,0.023733516741476418,0.023733516741476418,NaN,2 days 21:00:00,NaT,0.23709806934541877,0.029400513496842563,-3.041015457874151,1.0013059302655305,0.4310513147740073,6.330287017585827,1.116209889476329,0.22761194029850745,-0.027263992997106717,None,None,5.333694992647811e-6,0.03225818731553396,-0.04434572885259269,-0.5656197006533126,1.3204781082466632,128,127,0.9921875,19.794973544973544
Mean Avg Winning Trade [%],STRK_MSTR,SMA,2,78,0,false,0,5,NaN,0.0,0.0,NaN,-3.219373557668848,-3.349655171698589,1 days 00:24:00,0.2525893752088206,7.682926829268292,15.365853658536585,NaN,0,328,13 days 17:00:00,1000.0,835.6724901316779,-16.432750986832207,6.9936862160726365,100.0,9.214410301504051,28.558061913224,9 days 09:00:00,5,0.0,-1.821128477102184,-6.814042494740827,NaN,-3.5147362041639525,NaT,1 days 00:24:00,-32.865501973664394,-2.3008172692503,-3.4722350415966545,0.900200812364434,0.18661861633237914,6.915555518531945,1.0052242404736178,0.22304832713754646,-0.02795061337856455,None,None,-0.00040814381613112733,-2.468453799961058,-0.16432750986832279,-0.9631199594933755,1.291186678671945,122,122,1.0,19.794973544973544
Mean Avg Losing Trade [%],STRK_MSTR,SMA,2,78,0,false,0,5,NaN,0.0,0.0,NaN,-3.219373557668848,-3.349655171698589,1 days 00:24:00,0.2525893752088206,7.682926829268292,15.365853658536585,NaN,0,328,13 days 17:00:00,1000.0,835.6724901316779,-16.432750986832207,6.9936862160726365,100.0,9.214410301504051,28.558061913224,9 days 09:00:00,5,0.0,-1.821128477102184,-6.814042494740827,NaN,-3.5147362041639525,NaT,1 days 00:24:00,-32.865501973664394,-2.3008172692503,-3.4722350415966545,0.900200812364434,0.18661861633237914,6.915555518531945,1.0052242404736178,0.22304832713754646,-0.02795061337856455,None,None,-0.00040814381613112733,-2.468453799961058,-0.16432750986832279,-0.9631199594933755,1.291186678671945,122,122,1.0,19.794973544973544
Median Avg Losing Trade [%],STRK_MSTR,SMA,9,78,0,false,0,3,NaN,0.0,0.0,NaN,-2.9872570454877856,-3.2905232030341285,1 days 18:40:00,0.15155362512529236,4.609756097560975,9.21951219512195,NaN,0,328,13 days 17:00:00,1000.0,839.8079944734567,-16.01920055265433,6.9936862160726365,100.0,5.558132229926921,29.822647545115377,9 days 09:00:00,3,0.0,-2.65015438709206,-9.028863601037237,NaN,-5.622397552103064,NaT,1 days 18:40:00,-53.397335175514456,-2.1209877159595076,-3.3210448938732022,0.9102667941628734,0.2271826119114857,6.251389426389225,1.0130388515683597,0.23220973782771534,-0.02824509324156335,None,None,-0.00038600723554914,-2.3345717606011984,-0.1601920055265439,-0.9596166226815729,1.3246929850945006,128,128,1.0,19.794973544973544
Most Profit Factor,STRK_MSTR,SMA,32,72,0,false,1,3,NaN,100.0,inf,NaN,0.8646745390050247,-1.1875143947255857,1 days 13:00:00,0.10103575008352823,4.609756097560975,7.682926829268292,NaN,0,328,13 days 17:00:00,1000.0,986.8858316229247,-1.3114168377075317,6.9936862160726365,100.0,5.134684849615764,23.055691324104995,9 days 09:00:00,2,-52.219633826798486,2.87631264079436,1.0091472189323512,1.9427299298633558,NaN,1 days 13:00:00,NaT,19.55273272486162,0.5830194260587196,-1.2854125957728784,1.0253905705149042,0.42874716057466944,5.902399695456233,1.1631296023751152,0.2557251908396947,-0.027644095993821848,None,None,0.00010734484402959485,0.6492216166909897,-0.013114168377076019,-0.21547136084774066,1.3401583235681358,141,140,0.9929078014184397,19.794973544973544
Least Profit Factor,STRK_MSTR,SMA,2,78,0,false,0,5,NaN,0.0,0.0,NaN,-3.219373557668848,-3.349655171698589,1 days 00:24:00,0.2525893752088206,7.682926829268292,15.365853658536585,NaN,0,328,13 days 17:00:00,1000.0,835.6724901316779,-16.432750986832207,6.9936862160726365,100.0,9.214410301504051,28.558061913224,9 days 09:00:00,5,0.0,-1.821128477102184,-6.814042494740827,NaN,-3.5147362041639525,NaT,1 days 00:24:00,-32.865501973664394,-2.3008172692503,-3.4722350415966545,0.900200812364434,0.18661861633237914,6.915555518531945,1.0052242404736178,0.22304832713754646,-0.02795061337856455,None,None,-0.00040814381613112733,-2.468453799961058,-0.16432750986832279,-0.9631199594933755,1.291186678671945,122,122,1.0,19.794973544973544
Mean Profit Factor,STRK_MSTR,SMA,2,78,0,false,0,5,NaN,0.0,0.0,NaN,-3.219373557668848,-3.349655171698589,1 days 00:24:00,0.2525893752088206,7.682926829268292,15.365853658536585,NaN,0,328,13 days 17:00:00,1000.0,835.6724901316779,-16.432750986832207,6.9936862160726365,100.0,9.214410301504051,28.558061913224,9 days 09:00:00,5,0.0,-1.821128477102184,-6.814042494740827,NaN,-3.5147362041639525,NaT,1 days 00:24:00,-32.865501973664394,-2.3008172692503,-3.4722350415966545,0.900200812364434,0.18661861633237914,6.915555518531945,1.0052242404736178,0.22304832713754646,-0.02795061337856455,None,None,-0.00040814381613112733,-2.468453799961058,-0.16432750986832279,-0.9631199594933755,1.291186678671945,122,122,1.0,19.794973544973544
Most Expectancy,STRK_MSTR,SMA,56,83,0,false,1,2,NaN,100.0,inf,NaN,1.6598176043983686,-0.7030375523415225,3 days 00:00:00,0.05051787504176412,3.073170731707317,4.609756097560975,NaN,0,328,13 days 17:00:00,1000.0,1020.7686217688029,2.0768621768802857,6.9936862160726365,100.0,3.2614727460062882,23.055691324104995,7 days 16:00:00,1,-110.46612049809346,13.136597700916314,13.136597700916314,13.136597700916314,NaN,3 days 00:00:00,NaT,131.23474226689626,1.128692066716331,3.1602662513377875,1.0517597167274841,0.2824659102427,6.081812899006029,1.1587183319879064,0.21851851851851853,-0.027263992997106738,None,None,0.00020188761011801705,1.2210162659937671,0.02076862176880212,0.4591857389065426,1.301943503393426,123,122,0.991869918699187,19.794973544973544
Least Expectancy,STRK_MSTR,SMA,36,89,0,false,1,2,NaN,0.0,0.0,NaN,-4.259336084706837,-3.7413931072659588,2 days 08:00:00,0.05051787504176412,3.073170731707317,4.609756097560975,NaN,0,328,13 days 17:00:00,1000.0,808.2755681287753,-19.17244318712247,6.9936862160726365,100.0,2.690968568408204,23.055691324105,9 days 09:00:00,1,-37.707370591093536,-15.417107834141138,-15.417107834141138,NaN,-15.417107834141138,NaT,2 days 08:00:00,-154.01706128013126,-3.0611147478204606,-4.322330913418435,0.8683945839321818,0.06909140689724926,6.427187904549913,1.1067774108939572,0.18345323741007194,-0.027263992997106693,None,None,-0.0005204281412322129,-3.147549398172423,-0.1917244318712258,-0.9800166928382945,1.2374826163479014,115,114,0.991304347826087,19.794973544973544
Median Sharpe Ratio,STRK_MSTR,SMA,38,66,0,false,1,3,NaN,100.0,inf,NaN,-0.13533902152508134,-1.7585544606816388,1 days 20:30:00,0.10103575008352823,4.609756097560975,7.682926829268292,NaN,0,328,13 days 17:00:00,1000.0,946.9490812419041,-5.305091875809591,6.9936862160726365,100.0,5.10253336689815,26.047870181587545,9 days 09:00:00,2,-80.46205733829868,2.437734659591423,0.2988426003524001,1.3682886299719117,NaN,1 days 20:30:00,NaT,13.705569290101417,-0.09172763956710367,-2.9398006943672526,0.9961535812018523,0.4334467002434179,5.769350133778091,1.1462589153555562,0.28515625,-0.027644095993821633,None,None,-0.000016959429667675982,-0.10257063063010434,-0.05305091875809653,-0.6328759056696351,1.3457641955503004,155,154,0.9935483870967742,19.794973544973544
