Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Signal Conversion Rate,Total Period
Median Total Trades,STRK_MSTR,EMA,18,19,0,false,0,3,2.019013259146393,66.66666666666666,6.049478023264329,9.068115549750495,6.7147032657749675,2.741268504888489,2 days 20:39:59.999999999,0.15155362512529236,4.609756097560975,9.21951219512195,41.80180094884984,0,328,13 days 17:00:00,1000.0,1261.652579732653,26.165257973265305,6.9936862160726365,100.0,7.373332069565224,18.255984107462954,8 days 03:00:00,3,0.0,30.406525146941092,-3.9784551196671627,15.591400884459327,-3.9784551196671627,3 days 20:00:00,0 days 22:00:00,87.21752657755101,4.57902628718435,2662.8026306539077,1.1902376739888034,0.13618190670647187,5.270028233732446,0.9178951553642469,0.5592417061611374,-0.02687715227100522,None,None,0.0008608313029272172,5.20630772010381,0.26165257973265255,70.70902686650446,1.3683678402528197,206,206,1.0,19.794973544973544
Most Win Rate [%],STRK_MSTR,EMA,18,19,0,false,0,3,2.019013259146393,66.66666666666666,6.049478023264329,9.068115549750495,6.7147032657749675,2.741268504888489,2 days 20:39:59.999999999,0.15155362512529236,4.609756097560975,9.21951219512195,41.80180094884984,0,328,13 days 17:00:00,1000.0,1261.652579732653,26.165257973265305,6.9936862160726365,100.0,7.373332069565224,18.255984107462954,8 days 03:00:00,3,0.0,30.406525146941092,-3.9784551196671627,15.591400884459327,-3.9784551196671627,3 days 20:00:00,0 days 22:00:00,87.21752657755101,4.57902628718435,2662.8026306539077,1.1902376739888034,0.13618190670647187,5.270028233732446,0.9178951553642469,0.5592417061611374,-0.02687715227100522,None,None,0.0008608313029272172,5.20630772010381,0.26165257973265255,70.70902686650446,1.3683678402528197,206,206,1.0,19.794973544973544
Most Profit Factor,STRK_MSTR,EMA,18,19,0,false,0,3,2.019013259146393,66.66666666666666,6.049478023264329,9.068115549750495,6.7147032657749675,2.741268504888489,2 days 20:39:59.999999999,0.15155362512529236,4.609756097560975,9.21951219512195,41.80180094884984,0,328,13 days 17:00:00,1000.0,1261.652579732653,26.165257973265305,6.9936862160726365,100.0,7.373332069565224,18.255984107462954,8 days 03:00:00,3,0.0,30.406525146941092,-3.9784551196671627,15.591400884459327,-3.9784551196671627,3 days 20:00:00,0 days 22:00:00,87.21752657755101,4.57902628718435,2662.8026306539077,1.1902376739888034,0.13618190670647187,5.270028233732446,0.9178951553642469,0.5592417061611374,-0.02687715227100522,None,None,0.0008608313029272172,5.20630772010381,0.26165257973265255,70.70902686650446,1.3683678402528197,206,206,1.0,19.794973544973544
Most Expectancy,STRK_MSTR,EMA,18,19,0,false,0,3,2.019013259146393,66.66666666666666,6.049478023264329,9.068115549750495,6.7147032657749675,2.741268504888489,2 days 20:39:59.999999999,0.15155362512529236,4.609756097560975,9.21951219512195,41.80180094884984,0,328,13 days 17:00:00,1000.0,1261.652579732653,26.165257973265305,6.9936862160726365,100.0,7.373332069565224,18.255984107462954,8 days 03:00:00,3,0.0,30.406525146941092,-3.9784551196671627,15.591400884459327,-3.9784551196671627,3 days 20:00:00,0 days 22:00:00,87.21752657755101,4.57902628718435,2662.8026306539077,1.1902376739888034,0.13618190670647187,5.270028233732446,0.9178951553642469,0.5592417061611374,-0.02687715227100522,None,None,0.0008608313029272172,5.20630772010381,0.26165257973265255,70.70902686650446,1.3683678402528197,206,206,1.0,19.794973544973544
Median Avg Losing Trade [%],STRK_MSTR,EMA,15,32,0,false,0,3,1.4160608982064637,66.66666666666666,3.0063728387564708,7.278406786710965,5.506777406758696,1.9430741187811695,2 days 22:39:59.999999999,0.15155362512529236,4.609756097560975,9.21951219512195,33.551680065570054,0,328,13 days 17:00:00,1000.0,1205.8293689739999,20.582936897399986,6.9936862160726365,100.0,6.98149240068616,25.8575068550367,9 days 09:00:00,3,0.0,24.54016100381306,-8.247187270692386,15.041203815412645,-8.247187270692386,3 days 23:00:00,0 days 22:00:00,68.6097896579999,3.7918347611208536,560.7340529703159,1.1516488539907153,0.10740850602599539,4.726752660048641,0.911722009409316,0.5741626794258373,-0.027950613378564512,None,None,0.0007313748178736751,4.423354898499987,0.20582936897400006,30.208736364899835,1.4039399867786246,212,212,1.0,19.794973544973544
Mean Total Trades,STRK_MSTR,EMA,16,25,0,false,0,4,0.9395126921235925,50.0,2.589936891254243,6.5117466086947235,6.25897143723618,2.429724293692278,2 days 03:45:00,0.20207150016705647,6.146341463414634,12.292682926829269,40.023418180270006,0,328,13 days 17:00:00,1000.0,1239.8641551772514,23.986415517725142,6.9936862160726365,100.0,9.80695104928396,20.451794279983325,9 days 09:00:00,4,0.0,30.406525146941092,-8.24718727069238,18.841575955607677,-5.818082738218229,3 days 20:00:00,0 days 11:30:00,59.96603879431288,4.281289310265876,1492.9336391382521,1.1764476646588808,0.13581170382378724,5.154742733782679,0.9272002780786098,0.5592417061611374,-0.02721647043302649,None,None,0.0008097188503919697,4.897179607170632,0.23986415517725024,51.05880302973387,1.3766312300873513,207,207,1.0,19.794973544973544
Most Total Return [%],STRK_MSTR,EMA,3,17,0,false,0,9,0.7943843636951053,44.44444444444444,2.1344165811694005,3.143816395690761,7.481761257764632,2.8160240063006183,0 days 20:33:20,0.45466087537587707,13.829268292682926,27.65853658536585,43.47668039894296,0,328,13 days 17:00:00,1000.0,1266.8807449306692,26.688074493066914,6.9936862160726365,100.0,22.591781659721597,14.751384172806628,9 days 09:00:00,9,0.0,29.695648817309607,-8.31029816047522,11.47128379475629,-3.5181575235616616,1 days 13:30:00,0 days 07:00:00,29.65341610340764,5.061215654763453,3679.7977479952574,1.2247521416957619,0.1311856201470094,6.1768210007342335,1.0598816610828707,0.46222222222222226,-0.022709351469719145,None,None,0.000839189170918313,5.075416105713957,0.26688074493066805,76.37289355615815,1.2068768938948005,185,185,1.0,19.794973544973544
Least Max Drawdown [%],STRK_MSTR,EMA,3,17,0,false,0,9,0.7943843636951053,44.44444444444444,2.1344165811694005,3.143816395690761,7.481761257764632,2.8160240063006183,0 days 20:33:20,0.45466087537587707,13.829268292682926,27.65853658536585,43.47668039894296,0,328,13 days 17:00:00,1000.0,1266.8807449306692,26.688074493066914,6.9936862160726365,100.0,22.591781659721597,14.751384172806628,9 days 09:00:00,9,0.0,29.695648817309607,-8.31029816047522,11.47128379475629,-3.5181575235616616,1 days 13:30:00,0 days 07:00:00,29.65341610340764,5.061215654763453,3679.7977479952574,1.2247521416957619,0.1311856201470094,6.1768210007342335,1.0598816610828707,0.46222222222222226,-0.022709351469719145,None,None,0.000839189170918313,5.075416105713957,0.26688074493066805,76.37289355615815,1.2068768938948005,185,185,1.0,19.794973544973544
Most Sharpe Ratio,STRK_MSTR,EMA,3,17,0,false,0,9,0.7943843636951053,44.44444444444444,2.1344165811694005,3.143816395690761,7.481761257764632,2.8160240063006183,0 days 20:33:20,0.45466087537587707,13.829268292682926,27.65853658536585,43.47668039894296,0,328,13 days 17:00:00,1000.0,1266.8807449306692,26.688074493066914,6.9936862160726365,100.0,22.591781659721597,14.751384172806628,9 days 09:00:00,9,0.0,29.695648817309607,-8.31029816047522,11.47128379475629,-3.5181575235616616,1 days 13:30:00,0 days 07:00:00,29.65341610340764,5.061215654763453,3679.7977479952574,1.2247521416957619,0.1311856201470094,6.1768210007342335,1.0598816610828707,0.46222222222222226,-0.022709351469719145,None,None,0.000839189170918313,5.075416105713957,0.26688074493066805,76.37289355615815,1.2068768938948005,185,185,1.0,19.794973544973544
Most Calmar Ratio,STRK_MSTR,EMA,3,17,0,false,0,9,0.7943843636951053,44.44444444444444,2.1344165811694005,3.143816395690761,7.481761257764632,2.8160240063006183,0 days 20:33:20,0.45466087537587707,13.829268292682926,27.65853658536585,43.47668039894296,0,328,13 days 17:00:00,1000.0,1266.8807449306692,26.688074493066914,6.9936862160726365,100.0,22.591781659721597,14.751384172806628,9 days 09:00:00,9,0.0,29.695648817309607,-8.31029816047522,11.47128379475629,-3.5181575235616616,1 days 13:30:00,0 days 07:00:00,29.65341610340764,5.061215654763453,3679.7977479952574,1.2247521416957619,0.1311856201470094,6.1768210007342335,1.0598816610828707,0.46222222222222226,-0.022709351469719145,None,None,0.000839189170918313,5.075416105713957,0.26688074493066805,76.37289355615815,1.2068768938948005,185,185,1.0,19.794973544973544
