Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Most Total Return [%],MSTY_MSTR,EMA,87,89,0,false,5,-0.0,0.0,0.0,NaN,-3.406672397320224,0.5994709524238668,1 days 04:48:00,0.0420982292014701,1.2804878048780488,2.5609756097560976,NaN,0,1968,82 days 01:00:00,1000.0,697.2441865735096,-30.275581342649037,-75.58897794271515,100.0,8.486324004290644,31.099220967593038,81 days 17:00:00,5,0,0.0,-3.9860968510967836,-10.560077054921459,NaN,-6.931121474121508,NaT,1 days 04:48:00,-60.551162685298074,-3.285216339726743,-2.5691518184377506,0.5223579767586601,-17.92754907005617,380.60026248844633,0.5017385829392393,0.040147913365029056,0.0,None,None,-0.00017058337761261907,-1.03168826780112,-0.30275581342649116,-0.669676473961066,0.37794680596304137,118.76984126984127
Least Total Return [%],MSTY_MSTR,EMA,2,3,0,false,238,0.0,26.160337552742618,0.30164846849707244,0.0001,-9.388492962756903,-0.0687407426475994,0 days 04:29:37.215189871,1.9954560641496826,60.951219512195124,121.64634146341464,0.006095121951219512,0,1968,82 days 01:00:00,1000.0,192.14979577529596,-80.7850204224704,-75.58897794271515,100.0,207.07339051151604,81.13262296023304,82 days 00:00:00,237,1,2.2308764451318837,7.912903390061382,-15.308447647117893,1.2824698406822908,-1.3637349470809548,0 days 10:08:42.580645161,0 days 02:29:29.142857142,-3.4180636315182937,-8.70711822798659,-1.2317486091445713,0.5751278925787541,-8.239575449594374,112.82842010437645,0.7861460402155621,0.39348903043170563,-0.008010912382301968,None,None,-0.0007986060787738297,-4.829969564424122,-0.8078502042247038,-0.9936959264772202,0.6675996717146818,118.76984126984127
Mean Total Return [%],MSTY_MSTR,EMA,30,47,0,false,15,-0.0,0.0,0.0,NaN,-5.174358783190773,0.32570612748703137,1 days 12:04:17.142857142,0.11787504176411627,3.8414634146341466,7.426829268292683,NaN,0,1968,82 days 01:00:00,1000.0,490.30815343709236,-50.969184656290764,-75.58897794271515,100.0,20.04789448140462,52.98502024273575,81 days 17:00:00,14,1,9.641041887181984,-2.0576103938258647,-8.424388673711057,NaN,-5.09086789510065,NaT,1 days 12:04:17.142857142,-37.09520631786354,-4.88343707040968,-1.80812012863459,0.6253790027952332,-10.718178957665028,154.48874279134668,0.6095179411301369,0.16302421736562314,-0.003994430083994209,None,None,-0.00033965920373540015,-2.0542588641917003,-0.5096918465629072,-0.8879938541526574,0.5062624725388287,118.76984126984127
Median Total Return [%],MSTY_MSTR,EMA,39,44,0,false,14,-0.0,0.0,0.0,NaN,-5.071249613734807,0.34996796936626484,1 days 13:09:13.846153846,0.10945539592382225,3.5853658536585367,6.914634146341464,NaN,0,1968,82 days 01:00:00,1000.0,508.6474317436826,-49.13525682563174,-75.58897794271515,100.0,18.79700527365428,51.22649187174506,81 days 17:00:00,13,1,8.512610976165035,-1.3924049777021104,-9.606126293039878,NaN,-5.177064613008937,NaT,1 days 13:09:13.846153846,-38.4511676332679,-4.777862078225567,-1.8556507629077545,0.6272852887986783,-11.120182929497965,168.03916593027387,0.6082766436835669,0.15483870967741933,-0.003936115919636638,None,None,-0.0003223264555815027,-1.9494304033569283,-0.4913525682563171,-0.8746203386453931,0.4910438633844029,118.76984126984127
Most Total Fees Paid,MSTY_MSTR,EMA,2,3,0,false,238,0.0,26.160337552742618,0.30164846849707244,0.0001,-9.388492962756903,-0.0687407426475994,0 days 04:29:37.215189871,1.9954560641496826,60.951219512195124,121.64634146341464,0.006095121951219512,0,1968,82 days 01:00:00,1000.0,192.14979577529596,-80.7850204224704,-75.58897794271515,100.0,207.07339051151604,81.13262296023304,82 days 00:00:00,237,1,2.2308764451318837,7.912903390061382,-15.308447647117893,1.2824698406822908,-1.3637349470809548,0 days 10:08:42.580645161,0 days 02:29:29.142857142,-3.4180636315182937,-8.70711822798659,-1.2317486091445713,0.5751278925787541,-8.239575449594374,112.82842010437645,0.7861460402155621,0.39348903043170563,-0.008010912382301968,None,None,-0.0007986060787738297,-4.829969564424122,-0.8078502042247038,-0.9936959264772202,0.6675996717146818,118.76984126984127
Least Total Fees Paid,MSTY_MSTR,EMA,87,89,0,false,5,-0.0,0.0,0.0,NaN,-3.406672397320224,0.5994709524238668,1 days 04:48:00,0.0420982292014701,1.2804878048780488,2.5609756097560976,NaN,0,1968,82 days 01:00:00,1000.0,697.2441865735096,-30.275581342649037,-75.58897794271515,100.0,8.486324004290644,31.099220967593038,81 days 17:00:00,5,0,0.0,-3.9860968510967836,-10.560077054921459,NaN,-6.931121474121508,NaT,1 days 04:48:00,-60.551162685298074,-3.285216339726743,-2.5691518184377506,0.5223579767586601,-17.92754907005617,380.60026248844633,0.5017385829392393,0.040147913365029056,0.0,None,None,-0.00017058337761261907,-1.03168826780112,-0.30275581342649116,-0.669676473961066,0.37794680596304137,118.76984126984127
Mean Total Fees Paid,MSTY_MSTR,EMA,12,69,0,false,20,-0.0,0.0,0.0,NaN,-5.819256755952036,0.2705001539561145,1 days 02:37:53.684210526,0.15997327096558636,5.121951219512195,9.987804878048781,NaN,0,1968,82 days 01:00:00,1000.0,448.5785222817465,-55.14214777182536,-75.58897794271515,100.0,25.274634690318383,56.98641762985549,81 days 17:00:00,19,1,7.846141804854767,-1.4467754569921978,-8.072840037157324,NaN,-4.204991575455429,NaT,1 days 02:37:53.684210526,-29.43513786963727,-5.529467271011183,-1.7052280138256277,0.5789413354502884,-10.806890511622164,154.43472681364648,0.5831671846141587,0.1616519174041298,-0.0039053080517426164,None,None,-0.0003847851993222683,-2.3271808855010785,-0.5514214777182542,-0.9147717449229869,0.5065158164379687,118.76984126984127
Median Total Fees Paid,MSTY_MSTR,EMA,15,88,0,false,14,-0.0,0.0,0.0,NaN,-4.980408213305698,0.3680089204723868,1 days 06:18:27.692307692,0.10945539592382225,3.5853658536585367,6.914634146341464,NaN,0,1968,82 days 01:00:00,1000.0,522.2844022959451,-47.77155977040549,-75.58897794271515,100.0,18.95616198426919,49.00985176881118,81 days 17:00:00,13,1,4.869304785547229,-2.0432221264634665,-7.413758601056064,NaN,-4.931908629351087,NaT,1 days 06:18:27.692307692,-37.12191557612325,-4.747943770078328,-1.9269842444392926,0.5826466376730781,-12.212186209307115,190.96329921012727,0.5662340563301743,0.12129840546697039,-0.0028658631257850245,None,None,-0.0003101424379482562,-1.8757414647110533,-0.4777155977040556,-0.864005762779444,0.47545954870992385,118.76984126984127
Most Max Drawdown [%],MSTY_MSTR,EMA,2,3,0,false,238,0.0,26.160337552742618,0.30164846849707244,0.0001,-9.388492962756903,-0.0687407426475994,0 days 04:29:37.215189871,1.9954560641496826,60.951219512195124,121.64634146341464,0.006095121951219512,0,1968,82 days 01:00:00,1000.0,192.14979577529596,-80.7850204224704,-75.58897794271515,100.0,207.07339051151604,81.13262296023304,82 days 00:00:00,237,1,2.2308764451318837,7.912903390061382,-15.308447647117893,1.2824698406822908,-1.3637349470809548,0 days 10:08:42.580645161,0 days 02:29:29.142857142,-3.4180636315182937,-8.70711822798659,-1.2317486091445713,0.5751278925787541,-8.239575449594374,112.82842010437645,0.7861460402155621,0.39348903043170563,-0.008010912382301968,None,None,-0.0007986060787738297,-4.829969564424122,-0.8078502042247038,-0.9936959264772202,0.6675996717146818,118.76984126984127
Least Max Drawdown [%],MSTY_MSTR,EMA,87,89,0,false,5,-0.0,0.0,0.0,NaN,-3.406672397320224,0.5994709524238668,1 days 04:48:00,0.0420982292014701,1.2804878048780488,2.5609756097560976,NaN,0,1968,82 days 01:00:00,1000.0,697.2441865735096,-30.275581342649037,-75.58897794271515,100.0,8.486324004290644,31.099220967593038,81 days 17:00:00,5,0,0.0,-3.9860968510967836,-10.560077054921459,NaN,-6.931121474121508,NaT,1 days 04:48:00,-60.551162685298074,-3.285216339726743,-2.5691518184377506,0.5223579767586601,-17.92754907005617,380.60026248844633,0.5017385829392393,0.040147913365029056,0.0,None,None,-0.00017058337761261907,-1.03168826780112,-0.30275581342649116,-0.669676473961066,0.37794680596304137,118.76984126984127
Mean Max Drawdown [%],MSTY_MSTR,EMA,36,39,0,false,15,-0.0,0.0,0.0,NaN,-5.067879533554819,0.33455843400535445,1 days 12:51:25.714285714,0.11787504176411627,3.8414634146341466,7.426829268292683,NaN,0,1968,82 days 01:00:00,1000.0,496.99952145864916,-50.30004785413509,-75.58897794271515,100.0,20.207233436073544,52.343394094207376,81 days 17:00:00,14,1,9.910969925307427,-2.0576103938258563,-8.13244467897927,NaN,-5.001295141125105,NaT,1 days 12:51:25.714285714,-36.63653203333274,-4.778634835642658,-1.8253002273411691,0.6349366659721073,-10.684315823539492,153.85393285398754,0.6147443338387186,0.16785290628706998,-0.003999984920173199,None,None,-0.00033273140292237115,-2.0123595248745008,-0.5030004785413527,-0.8832319637156395,0.5068131686931411,118.76984126984127
Median Max Drawdown [%],MSTY_MSTR,EMA,37,72,0,false,13,-0.0,0.0,0.0,NaN,-5.2423483566609965,0.3435742744175397,1 days 06:30:00,0.10103575008352823,3.329268292682927,6.402439024390244,NaN,0,1968,82 days 01:00:00,1000.0,503.8145030791662,-49.61854969208338,-75.58897794271515,100.0,17.290953330264276,50.81305112674457,81 days 17:00:00,12,1,5.444495687220922,-2.0244985834924396,-9.557849045502959,NaN,-5.620387872802795,NaT,1 days 06:30:00,-41.802499384004555,-5.000183441551347,-1.8747933447992504,0.5604238961516337,-12.053880324449679,187.14956598857702,0.5406109301260711,0.11180124223602485,-0.0028658631257849217,None,None,-0.0003282344516424934,-1.9851619635338003,-0.49618549692083336,-0.8782436524956673,0.47781102850855633,118.76984126984127
