Metric Type,price_change,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,RSI Window,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy per Trade,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Signal Entry
Mean Max Drawdown [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Median Max Drawdown [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Most Total Trades,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Least Total Trades,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Mean Total Trades,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Median Total Trades,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Most Win Rate [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Least Win Rate [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Mean Win Rate [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Median Win Rate [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Most Best Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Least Best Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Mean Best Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Median Best Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Most Worst Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Least Worst Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Mean Worst Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Median Worst Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Most Avg Winning Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Least Avg Winning Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Mean Avg Winning Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Median Avg Winning Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Most Avg Losing Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Least Avg Losing Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Mean Avg Losing Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Median Avg Losing Trade [%],0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Most Profit Factor,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Least Profit Factor,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Mean Profit Factor,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Median Profit Factor,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Most Expectancy,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Least Expectancy,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Mean Expectancy,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Median Expectancy,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Most Sharpe Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Least Sharpe Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Mean Sharpe Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Median Sharpe Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Most Calmar Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Least Calmar Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Mean Calmar Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Median Calmar Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Most Omega Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Least Omega Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Mean Omega Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Median Omega Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Most Sortino Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Least Sortino Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Mean Sortino Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Median Sortino Ratio,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
Most Max Drawdown Duration,0.1,0,0,0,0,1884,78 days 13:00:00,1000.0,1000.0,0.0,3.0612769134382045,0.0,0.0,NaN,NaT,0,0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,inf,NaN,inf,inf,14,0.0,0.0,None,0.0,NaN,0.0,None,None,0.0,0.0,0.0,0.0,0.0,NaN,-1.0,0.0,0.0,0.0,NaN,NaT,false
