TICKER,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW,SMA_SIGNAL,EMA_SIGNAL
ZTS,,,8,46,false,false
ZTS,32,37,,,false,false
ZS,35,37,,,false,false
ZS,,,2,31,false,false
ZS,,,2,6,false,false
ZM,53,54,,,false,false
ZM,,,3,18,false,false
ZEC-USD,,,2,22,false,false
XYZ,7,25,,,false,false
XYZ,,,2,19,false,false
XPEV,11,14,,,false,false
XOM,,,81,89,false,false
XOM,60,79,,,false,false
XEL,,,64,81,false,false
XEL,85,89,,,false,false
WY,15,42,,,false,false
WULF,78,84,,,false,false
WULF,,,87,88,false,false
WMT,65,70,,,false,false
WMT,,,87,89,false,false
WDC,11,83,,,false,false
WDC,,,27,42,false,false
WDAY,,,24,77,false,false
WDAY,,,13,49,false,false
WDAY,13,16,,,false,false
WBD,41,54,,,false,false
WBD,41,44,,,false,false
VZ,54,66,,,false,false
VRTX,32,34,,,false,false
VRSN,71,81,,,false,false
VRSN,,,68,86,false,false
VRSK,,,11,71,false,false
VLO,8,23,,,false,false
VLO,,,18,19,false,false
V,,,18,66,false,false
UNP,,,45,63,false,false
UNI7083-USD,18,21,,,false,false
UNH,64,88,,,false,false
UNH,,,36,59,false,false
UDR,76,83,,,false,false
UDR,,,64,81,false,false
UBER,75,78,,,false,false
TXN,68,75,,,false,false
TXN,,,38,78,false,false
TSM,68,76,,,false,false
TSM,,,82,89,false,false
TSLA,10,20,,,false,false
TSLA,,,11,15,false,false
TSEM,73,83,,,false,false
TRX-USD,2,4,,,false,false
TRGP,7,32,,,false,false
TRGP,,,9,27,false,false
TMUS,,,5,65,false,false
TMO,18,59,,,false,false
TMDX,,,7,25,false,false
TLT,16,86,,,false,false
TLT,,,31,51,false,false
TGT,80,89,,,false,false
TEAM,47,48,,,false,false
TEAM,,,5,65,false,false
T,68,73,,,false,false
STZ,52,71,,,false,false
STZ,,,58,64,false,false
STX4847-USD,30,32,,,false,false
STX4847-USD,,,11,19,false,false
SPY,,,65,88,false,false
SPY,12,73,,,false,false
SPGI,8,41,,,false,false
SOL-USD,27,30,,,false,false
SOFI,18,19,,,false,false
SO,,,84,89,false,false
SO,,,85,89,false,false
SO,83,87,,,false,false
SNPS,51,85,,,false,false
SNPS,,,27,31,false,false
SMH,73,79,,,false,false
SIRI,27,56,,,false,false
SE,46,48,,,false,false
SBUX,17,33,,,false,false
SBUX,,,13,47,false,false
RUNE-USD,,,8,12,false,true
RUNE-USD,3,26,,,false,false
RTX,49,89,,,false,false
RTX,10,64,,,false,false
RTX,,,84,87,false,false
ROST,25,56,,,false,false
ROST,,,25,45,false,false
RJF,46,52,,,false,false
RJF,,,61,69,false,false
REGN,38,41,,,false,false
REGN,,,7,16,false,false
RBLX,12,14,,,false,false
QTUM,,,3,21,false,false
QTUM,2,14,,,false,false
QQQ,66,80,,,false,false
QCOM,68,76,,,false,false
QCOM,,,8,81,false,false
PYPL,85,86,,,false,false
PYPL,53,55,,,false,false
PYPL,,,14,22,false,false
PPG,72,79,,,false,false
PPG,,,15,36,false,false
POOL,,,38,83,false,false
POOL,20,31,,,false,false
PODD,19,20,,,false,false
PODD,,,7,36,false,false
PNC,13,82,,,false,false
PM,27,50,,,false,false
PLTR,12,13,,,false,false
PLD,18,32,,,false,false
PKG,58,87,,,false,false
PKG,,,81,86,false,false
PGR,,,50,57,false,false
PGR,2,26,,,false,false
PG,78,87,,,true,false
PFE,54,89,,,false,false
PEP,,,42,44,false,false
PENDLE-USD,87,88,,,false,false
PENDLE-USD,,,5,18,false,false
PEG,61,88,,,false,false
PDD,27,29,,,false,false
PDD,,,3,4,false,false
PCAR,66,84,,,false,false
PCAR,,,70,75,false,false
PAYX,,,32,70,false,false
PAYX,30,81,,,false,false
PAYX,27,88,,,false,false
PAYX,,,17,28,false,false
PANW,67,70,,,false,false
PANW,,,12,21,false,false
PANW,19,20,,,true,false
ORLY,18,34,,,false,false
ORLY,,,15,89,false,false
ON,13,22,,,false,false
OKTA,80,87,,,false,false
OKTA,,,2,3,false,false
ODFL,80,89,,,false,false
ODFL,73,85,,,false,false
ODFL,,,50,85,false,false
ODFL,,,58,67,false,false
NXPI,53,55,,,false,false
NXPI,,,49,53,false,false
NVDA,45,73,,,false,false
NVDA,54,74,,,false,false
NVDA,,,52,58,false,false
NTES,12,67,,,false,false
NTES,,,2,16,false,false
NOW,,,42,66,false,false
NKE,12,53,,,true,false
NKE,,,46,87,false,false
NFLX,37,67,,,false,false
NFLX,46,48,,,false,false
NFLX,,,31,53,false,false
NFLX,,,21,45,false,false
NET,44,46,,,false,false
NEAR-USD,,,2,17,false,false
NCLH,68,79,,,false,false
MU,,,31,49,false,false
MU,26,47,,,false,false
MSTR,,,6,23,false,false
MSTR,2,13,,,false,false
MSFT,67,86,,,false,false
MSFT,,,75,84,false,false
MRVL,68,77,,,false,false
MRVL,,,11,67,false,false
MRNA,,,8,51,false,false
MRNA,29,30,,,false,false
MRNA,,,5,21,false,false
MRK,,,48,74,false,false
MRK,41,71,,,false,false
MNST,,,15,73,false,false
MNST,66,81,,,false,false
MMM,68,80,,,false,false
MKR-USD,,,14,17,false,false
MKR-USD,5,12,,,false,false
META,,,32,40,false,false
META,43,49,,,false,false
META,,,9,61,false,false
MELI,7,64,,,false,false
MELI,,,14,33,false,false
MELI,,,7,64,false,false
MDB,83,85,,,false,false
MCHP,71,83,,,false,false
MCHP,,,29,86,false,false
MCD,26,34,,,false,false
MCD,,,72,86,false,false
MATIC-USD,,,7,20,false,false
MATIC-USD,2,4,,,false,false
MARA,53,73,,,false,false
MAR,,,39,81,false,false
MAR,72,77,,,false,false
MAR,,,29,65,false,false
MA,73,80,,,false,false
MA,,,13,47,false,false
LULU,29,83,,,false,false
LULU,,,5,26,false,false
LRCX,80,84,,,false,false
LRCX,,,56,61,false,false
LLY,,,79,85,false,false
LLY,71,89,,,false,false
LINK-USD,,,5,6,false,false
LI,12,17,,,false,false
LCID,7,20,,,false,false
KLAC,,,47,56,false,false
KLAC,68,71,,,false,false
KDP,54,61,,,false,false
JPM,22,77,,,false,false
JPM,,,20,25,false,false
JNJ,,,55,89,false,false
JNJ,35,89,,,false,false
JD,31,35,,,false,false
IWM,,,22,24,false,false
ISRG,80,88,,,false,false
ISRG,,,12,82,false,false
IONQ,,,5,12,false,false
INTU,57,80,,,false,false
INTU,,,49,60,false,false
INTC,68,75,,,false,false
INTC,,,22,87,false,false
ILMN,8,59,,,false,false
ILMN,,,21,32,false,false
IDXX,72,80,,,false,false
IDXX,,,33,51,false,false
IBM,,,13,15,false,false
IBM,42,60,,,false,false
HWM,51,55,,,false,false
HUM,40,87,,,false,false
HUM,,,42,88,false,false
HRL,23,35,,,false,false
HRL,,,84,86,false,false
HON,60,76,,,false,false
HON,,,76,79,false,false
HIMS,3,46,,,false,false
HD,78,84,,,false,false
HD,,,21,53,false,false
GRAB,11,15,,,false,false
GOOGL,,,9,46,false,false
GOOGL,9,39,,,false,false
GOOG,,,7,69,false,false
GOOG,9,39,,,false,false
GOOG,12,29,,,false,false
GILD,31,40,,,false,false
GE,63,69,,,false,false
FUTU,3,11,,,false,false
FTNT,21,37,,,false,false
FTNT,29,31,,,false,false
FTNT,,,8,14,false,false
FTM-USD,2,13,,,false,false
FSLR,,,16,63,false,false
FSLR,20,30,,,false,false
FSLR,17,27,,,false,false
FMX,7,42,,,false,false
FMX,,,17,24,false,false
FET-USD,25,34,,,false,false
FCX,15,72,,,false,false
FCX,,,19,55,false,false
