TICKER,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW,SMA_SIGNAL,EMA_SIGNAL
RUNE-USD,,,8,12,false,false
RUNE-USD,3,26,,,true,false
ADA-USD,2,18,,,true,false
SOL-USD,26,32,,,false,false
SOL-USD,27,30,,,false,false
SOL-USD,27,29,,,false,false
BNB-USD,11,21,,,false,false
SOL-USD,29,30,,,false,false
BNB-USD,,,16,18,false,false
BNB-USD,,,12,22,false,false
FTM-USD,2,13,,,false,false
SOL-USD,30,31,,,false,false
SOL-USD,19,22,,,false,false
FET-USD,25,34,,,false,false
DOGE-USD,2,8,,,true,false
SOL-USD,15,21,,,false,false
BNB-USD,18,19,,,false,false
TRX-USD,10,27,,,false,false
BTC-USD,8,44,,,false,false
SOL-USD,27,28,,,false,false
BTC-USD,11,36,,,false,false
BTC-USD,,,11,17,false,false
LTC-USD,7,48,,,false,false
BTC-USD,10,35,,,false,false
SOL-USD,,,4,5,false,true
BTC-USD,,,5,68,false,false
SOL-USD,,,3,6,false,true
BTC-USD,26,38,,,false,false
BTC-USD,27,29,,,false,false
LTC-USD,17,30,,,false,false
BTC-USD,12,21,,,false,false
BTC-USD,,,8,37,false,false
LTC-USD,30,34,,,false,false
SOL-USD,2,11,,,true,false
LINK-USD,,,5,6,false,false
BTC-USD,74,77,,,false,false
BTC-USD,,,24,32,false,false
TRX-USD,,,11,32,false,false
MATIC-USD,,,7,20,false,false
TRX-USD,,,10,34,false,false
LTC-USD,,,10,34,false,false
AVAX-USD,2,10,,,true,false
BTC-USD,,,7,8,false,false
MATIC-USD,2,4,,,false,false
TRX-USD,2,4,,,false,false
SOL-USD,12,21,,,false,false
CAKE-USD,2,6,,,false,false
ETH-USD,13,20,,,false,false
STX4847-USD,30,32,,,false,false
AVAX-USD,,,5,9,false,false
UNI7083-USD,18,21,,,false,false
MKR-USD,,,14,17,false,false
MKR-USD,5,12,,,false,false
BTC-USD,2,7,,,true,false
STX4847-USD,,,11,19,false,false
PENDLE-USD,,,5,18,false,false
NEAR-USD,,,2,17,false,true
DOT-USD,28,33,,,false,false
ZEC-USD,,,2,22,false,false
