Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period
GD,EMA,56,88,0,true,false,1,65,1.0732760167766424,39.0625,2.5837167179409115,11.884067787614224,0.7906641274950078,-0.7584292817988074,154 days 14:14:59.999999999,0.0027703010263237,0.08557993730407523,0.16984326018808776,1.0170377761814053,0,15950,15951 days 00:00:00,1000.0,91551.82218475468,9055.18221847547,37484.60196626086,100.0,3115.8571068765277,65.12854500221692,2758 days 00:00:00,64,-91.5518221847451,231.17012987012987,-19.735301915853572,42.2983343950446,-7.612256960738575,315 days 23:02:24,51 days 03:41:32.307692307,1416.3027188584285,0.5284434896311565,0.1671905949286315,1.1055225137976277,0.3761689186171616,9.633783616546399,1.076200739706021,0.43379775280898875,-0.020477815699658754,None,None,0.00037474004989258494,0.0944344925729314,90.55182218475547,0.07396756546280359,0.21506922052071603,9895,9894,23102.18253968254
GD,EMA,57,83,0,true,false,1,67,1.0740529303129063,39.39393939393939,2.5290016880942305,11.017037741217994,0.7683215895040668,-0.7917498339773555,149 days 21:27:16.363636363,0.0028568729333963154,0.08821316614420063,0.17510971786833857,0.9718477806829917,0,15950,15951 days 00:00:00,1000.0,79061.7458276657,7806.17458276657,37484.60196626086,100.0,2777.7476414159128,69.13696861933319,2790 days 00:00:00,66,-79.0617458276538,228.3266094420601,-19.735301915853583,39.73301595899174,-7.648348100334941,299 days 07:23:04.615384616,52 days 18:36:00,1183.9516299014144,0.5144830895704542,0.1521230257363559,1.1027460501695516,0.3538908704590656,9.716185809293325,1.0737083664930993,0.43341121495327106,-0.020537902221508156,None,None,0.0003662915502056219,0.09230547065181671,78.06174582766691,0.07148180162422735,0.21592478621265296,9894,9893,23102.18253968254
GD,EMA,57,86,0,true,false,1,66,1.0587862996214947,38.46153846153847,2.500086580644282,11.475080444392802,0.7710928810307978,-0.7890439682446693,152 days 05:54:27.692307693,0.0028135869798600077,0.08689655172413793,0.17247648902821316,0.9971449213748228,0,15950,15951 days 00:00:00,1000.0,80076.02882730459,7907.602882730458,37484.60196626086,100.0,2778.499085675543,68.6701379142374,2764 days 00:00:00,65,-80.07602882730134,228.32660944206015,-19.73530191585357,42.185267362709034,-7.7187863795548495,315 days 21:07:12,49 days 23:24:00,1217.786228555875,0.516312615379448,0.1536267009217564,1.1030241385747659,0.3578039406483446,9.68661005230285,1.0746769897284925,0.43366888369584755,-0.020495308324964573,None,None,0.0003665783622060104,0.09237774727591462,79.0760288273045,0.07169760731801289,0.2153281417971715,9897,9896,23102.18253968254
GD,EMA,57,88,0,true,false,1,63,1.120129597068644,41.935483870967744,2.8341939184400307,12.295085683185093,0.7883600640502574,-0.7585202511250266,159 days 15:29:01.935483869,0.002683729119251084,0.08294670846394984,0.164576802507837,1.0198368877024375,0,15950,15951 days 00:00:00,1000.0,91517.72269491001,9051.772269491003,37484.60196626086,100.0,2734.7790001409758,68.69550977004334,2764 days 00:00:00,62,-91.51772269490175,231.17012987012987,-24.214419377379027,40.78102857131226,-8.278095291573418,304 days 09:13:50.769230768,55 days 02:40:00,1461.4393615742738,0.5279269087583981,0.15849558375401698,1.1055271034894572,0.3436773406057951,9.790857747615995,1.0743983900164642,0.4343134610196925,-0.020477815699658772,None,None,0.0003751009959130757,0.09452545097009507,90.51772269490974,0.0739612447756699,0.21548702285264884,9899,9898,23102.18253968254
GD,EMA,58,82,0,true,false,1,66,1.0879381076811863,40.0,2.606468084313725,11.348909856191792,0.7863242088519583,-0.7641092163661191,152 days 04:25:50.769230768,0.0028135869798600077,0.08689655172413793,0.17247648902821316,0.9861811323311488,0,15950,15951 days 00:00:00,1000.0,89422.72132025387,8842.272132025388,37484.60196626086,100.0,3088.6367352411607,69.13696861933319,2790 days 00:00:00,65,-89.42272132023936,228.32660944206015,-19.735301915853576,39.67603407428349,-7.535839622536007,303 days 03:41:32.307692304,51 days 12:55:23.076923077,1361.7252929472938,0.5256521225650416,0.15663385244675868,1.1050245233092058,0.37089217095087756,9.670395413079063,1.0752456700691155,0.4335400377460231,-0.020525592605625465,None,None,0.00037376091879362565,0.09418775153599367,88.42272132025418,0.07356840101715312,0.21564637838263298,9893,9892,23102.18253968254
GD,EMA,58,85,0,true,false,1,66,1.0590987319367955,38.46153846153847,2.503863210047347,11.472734190980788,0.7710019681890294,-0.7891403000824213,152 days 06:16:36.923076925,0.0028135869798600077,0.08689655172413793,0.17247648902821316,0.9969410400438478,0,15950,15951 days 00:00:00,1000.0,80039.91922135647,7903.991922135647,37484.60196626086,100.0,2776.305325950414,68.59239454013682,2764 days 00:00:00,65,-80.03991922135174,228.3266094420601,-19.735301915853583,42.17962329491242,-7.719071498976487,315 days 22:04:48,49 days 23:24:00,1217.230140624274,0.516264817661659,0.15378418891241868,1.103009156945961,0.3576857934491447,9.685251207669058,1.0744397113143322,0.43379775280898875,-0.020495308324964608,None,None,0.000366555917049843,0.09237209109656043,79.03991922135558,0.07168997069238614,0.215334892171641,9898,9897,23102.18253968254
GD,EMA,59,81,0,true,false,1,66,1.0950405323556895,40.0,2.684974063246496,11.372703471400179,0.7870637015906141,-0.7628240794326653,152 days 02:57:13.846153844,0.0028135869798600077,0.08689655172413793,0.17247648902821316,0.9882487154458086,0,15950,15951 days 00:00:00,1000.0,89904.44978448043,8890.444978448044,37484.60196626086,100.0,3063.2712199505113,69.32326410676663,2764 days 00:00:00,65,-89.9044497844734,228.32660944206003,-19.73530191585357,39.78203519827689,-7.566851013184294,303 days 03:41:32.307692304,51 days 10:27:41.538461538,1369.1439112963833,0.5264230081356099,0.1564094828422872,1.1051700526655461,0.3639158973739327,9.674420994417122,1.0746999828055719,0.4335400377460231,-0.02049530832496465,None,None,0.00037390545617443097,0.0942241749559566,88.90444978448043,0.07365952821765354,0.21541385988166997,9889,9888,23102.18253968254
GD,EMA,59,85,0,true,false,1,64,1.081655315515859,39.682539682539684,2.63490196591533,12.10668479294176,0.7942279752888792,-0.7517999265174186,157 days 02:40:00,0.002727015072787392,0.08426332288401255,0.1672100313479624,1.020149489762616,0,15950,15951 days 00:00:00,1000.0,94036.80962491261,9303.68096249126,37484.60196626086,100.0,3115.6980581177795,64.93104466678538,2737 days 00:00:00,63,-94.03680962490034,231.17012987012987,-19.735301915853572,42.25283240707293,-7.726307058460333,313 days 05:45:36,54 days 09:28:25.263157894,1478.2674037228178,0.5308058511151494,0.16874603076126962,1.106001486227749,0.37577126409240347,9.632351929405793,1.0759919181465902,0.4340555605502113,-0.020477815699658702,None,None,0.00037642377546497443,0.09485879141717356,93.0368096249117,0.07442205558533388,0.21507406691629732,9899,9898,23102.18253968254
GD,EMA,60,80,0,true,false,1,65,1.0838101426807434,39.0625,2.704424994433568,11.865084207610607,0.7901298643931928,-0.7575847519151278,154 days 11:37:30,0.0027703010263237,0.08557993730407523,0.16984326018808776,1.015413162594889,0,15950,15951 days 00:00:00,1000.0,91868.39085013817,9086.839085013817,37484.60196626086,100.0,3035.4407808802875,69.40681585810353,2790 days 00:00:00,64,-91.86839085012616,228.32660944206003,-19.735301915853555,42.200225359917404,-7.58051909515016,315 days 07:40:48,51 days 09:13:50.769230769,1421.254050640442,0.5284284064412373,0.15701108294319727,1.1055993562161117,0.36399313056236443,9.686822408903073,1.0746590757249903,0.4335400377460231,-0.020477815699658796,None,None,0.0003751941683687424,0.0945489304289231,90.86839085013821,0.07402613432563077,0.2153359925359651,9888,9887,23102.18253968254
GD,EMA,60,84,0,true,false,1,64,1.1012086575644258,41.269841269841265,2.6834887675556196,12.047697946428045,0.7831064094348701,-0.7674319579789047,157 days 04:34:17.142857143,0.002727015072787392,0.08426332288401255,0.1672100313479624,1.0151790620689212,0,15950,15951 days 00:00:00,1000.0,88177.20485233386,8717.720485233385,37484.60196626086,100.0,2851.7786228990158,68.69550977004334,2764 days 00:00:00,63,-88.17720485232712,231.17012987012987,-24.214419377379027,40.803069570069994,-8.158779410725753,304 days 08:18:27.692307696,53 days 18:48:38.918918919,1385.1647945585105,0.5245922780617529,0.1571226987755211,1.1047941866922495,0.34238893438515167,9.783146917135074,1.0737054200069303,0.43470048569886666,-0.020495308324964597,None,None,0.0003728080639421079,0.09394763211341119,87.17720485233346,0.07333053191279149,0.21553118007805247,9904,9903,23102.18253968254
