expected_appreciation,time_premium,risk_premium,market_adjustment,total_discount,vesting_days
372.07,50.0,150,0.0,572.0699999999999,30
496.09527777777777,58.333333333333336,150,0.0,704.4286111111111,35
620.1244444444444,66.66666666666667,150,0.0,836.791111111111,40
744.1575,75.0,150,0.0,969.1575,45
868.1944444444445,83.33333333333333,150,0.0,1101.5277777777778,50
992.2352777777778,91.66666666666667,150,0.0,1233.9019444444446,55
744.28,100.0,150,0.0,994.28,60
868.3286111111111,108.33333333333333,150,0.0,1126.6619444444445,65
992.3811111111111,116.66666666666667,150,0.0,1259.0477777777778,70
1116.4375,125.0,150,0.0,1391.4375,75
1240.4977777777776,133.33333333333334,150,0.0,1523.8311111111109,80
1364.5619444444444,141.66666666666666,150,0.0,1656.2286111111111,85
1116.63,150.0,150,0.0,1416.63,90
1488.8575,175.0,250,0.0,1913.8575,105
1489.12,200.0,250,0.0,1939.12,120
1861.4175,225.0,250,0.0,2336.4175,135
1861.75,250.0,250,0.0,2361.75,150
2234.1175,275.0,250,0.0,2759.1175,165
2234.52,300.0,250,0.0,2784.52,180
2606.9575,325.0,250,0.0,3181.9575,195
2607.43,350.0,250,0.0,3207.43,210
2979.9375,375.0,250,0.0,3604.9375,225
2980.48,400.0,250,0.0,3630.48,240
3353.0575,425.0,250,0.0,4028.0575,255
3353.67,450.0,250,0.0,4053.67,270
3726.3175,475.0,250,0.0,4451.3175,285
3727.0,500.0,250,0.0,4477.0,300
4099.717500000001,525.0,250,0.0,4874.717500000001,315
4100.47,550.0,250,0.0,4900.47,330
4473.2575,575.0,250,0.0,5298.2575,345
4474.08,600.0,250,0.0,5324.08,360
4598.361944444445,608.3333333333334,250,0.0,5456.695277777778,365
4972.135277777777,658.4233333333334,400,0.0,6030.558611111111,395
5346.048611111111,708.6933333333334,400,0.0,6454.741944444445,425
5720.101944444445,759.1433333333333,400,0.0,6879.245277777778,455
6094.295277777778,809.7733333333334,400,0.0,7304.068611111112,485
6468.628611111111,860.5833333333334,400,0.0,7729.211944444444,515
6843.101944444445,911.5733333333334,400,0.0,8154.675277777778,545
6892.871811111111,914.9790666666667,400,0.0,8207.850877777779,547
7217.715277777777,962.7433333333333,400,0.0,8580.458611111111,575
7592.468611111111,1014.0933333333334,400,0.0,9006.561944444446,605
7967.361944444445,1065.6233333333332,400,0.0,9432.985277777778,635
8342.395277777778,1117.3333333333333,400,0.0,9500.0,665
8717.568611111112,1169.2233333333334,400,0.0,9500.0,695
9092.881944444445,1221.2933333333333,400,0.0,9500.0,725
9217.447777777777,1229.9891666666667,400,0.0,9500.0,730
9468.335277777778,1273.5433333333333,600,0.0,9500.0,755
9843.92861111111,1325.9733333333334,600,0.0,9500.0,785
10219.661944444444,1378.5833333333333,600,0.0,9500.0,815
10595.535277777777,1431.3733333333332,600,0.0,9500.0,845
10971.548611111111,1484.3433333333332,600,0.0,9500.0,875
11347.701944444445,1537.4933333333333,600,0.0,9500.0,905
11723.995277777778,1590.8233333333333,600,0.0,9500.0,935
12100.42861111111,1644.3333333333333,600,0.0,9500.0,965
12477.001944444444,1698.0233333333333,600,0.0,9500.0,995
12853.715277777777,1751.8933333333332,600,0.0,9500.0,1025
13230.568611111112,1805.9433333333332,600,0.0,9500.0,1055
13607.561944444444,1860.1733333333332,600,0.0,9500.0,1085
13807.317144444443,1874.6650666666667,600,0.0,9500.0,1093
