Score
Win Rate [%]
Profit Factor
Expectancy
Calmar Ratio
Total Return [%]
Total Fees Paid
Sharpe Ratio
Omega Ratio
Sortino Ratio
Max Drawdown Duration
Avg Losing Trade Duration
Best Trade [%]
Avg Winning Trade [%]
Worst Trade [%]
Max Drawdown [%]
Avg Winning Trade Duration
Total Trades
Avg Losing Trade [%]
