cumulative_return,max_drawdown,sharpe_ratio,final_portfolio_value,initial_portfolio_value,sequence_id,mean_cumulative_return,median_cumulative_return,std_cumulative_return,mean_max_drawdown,median_max_drawdown,mean_sharpe_ratio,median_sharpe_ratio,mean_final_portfolio_value,std_final_portfolio_value,worst_case_portfolio_value,var_5_percent
448.66814981631046,-0.5337823699695965,5.314130669894468,4258620.5966207655,9470.585360249359,0,447.22719713549407,447.3328998812127,3.5324027176864474,-0.43520252464135295,-0.42551250632150317,5.311927773583625,5.312109607940009,4489395.5750644915,233947.2850390082,3759870.147169113,4112128.177512047
445.9884885598841,-0.4523104378145054,5.309905310703213,4404439.072741818,9853.58501497907,1,447.22719713549407,447.3328998812127,3.5324027176864474,-0.43520252464135295,-0.42551250632150317,5.311927773583625,5.312109607940009,4489395.5750644915,233947.2850390082,3759870.147169113,4112128.177512047
446.68271104218667,-0.41804130625363894,5.31067937900078,4196228.224121652,9373.219292639216,2,447.22719713549407,447.3328998812127,3.5324027176864474,-0.43520252464135295,-0.42551250632150317,5.311927773583625,5.312109607940009,4489395.5750644915,233947.2850390082,3759870.147169113,4112128.177512047
444.91537688461915,-0.42556372514133467,5.309593658175093,4575768.091336686,10261.516710424337,3,447.22719713549407,447.3328998812127,3.5324027176864474,-0.43520252464135295,-0.42551250632150317,5.311927773583625,5.312109607940009,4489395.5750644915,233947.2850390082,3759870.147169113,4112128.177512047
448.22136214732006,-0.4895390729677082,5.312939442639778,4521842.906916541,10065.956982325395,4,447.22719713549407,447.3328998812127,3.5324027176864474,-0.43520252464135295,-0.42551250632150317,5.311927773583625,5.312109607940009,4489395.5750644915,233947.2850390082,3759870.147169113,4112128.177512047
450.25672641981237,-0.39350813000726836,5.315265122346221,4284673.807543561,9494.98047716069,5,447.22719713549407,447.3328998812127,3.5324027176864474,-0.43520252464135295,-0.42551250632150317,5.311927773583625,5.312109607940009,4489395.5750644915,233947.2850390082,3759870.147169113,4112128.177512047
444.54622930927377,-0.3541133886158649,5.308558216315941,4387846.043637884,9848.23965504168,6,447.22719713549407,447.3328998812127,3.5324027176864474,-0.43520252464135295,-0.42551250632150317,5.311927773583625,5.312109607940009,4489395.5750644915,233947.2850390082,3759870.147169113,4112128.177512047
451.0701006668406,-0.39904511638685725,5.316879825241778,4020393.465716434,8893.296548004442,7,447.22719713549407,447.3328998812127,3.5324027176864474,-0.43520252464135295,-0.42551250632150317,5.311927773583625,5.312109607940009,4489395.5750644915,233947.2850390082,3759870.147169113,4112128.177512047
439.25817583104066,-0.26926988227416326,5.302856647959255,4573171.525128634,10387.476658431653,8,447.22719713549407,447.3328998812127,3.5324027176864474,-0.43520252464135295,-0.42551250632150317,5.311927773583625,5.312109607940009,4489395.5750644915,233947.2850390082,3759870.147169113,4112128.177512047
448.9689413113042,-0.5147273302372002,5.314118091046377,4417712.6897608545,9817.816929512312,9,447.22719713549407,447.3328998812127,3.5324027176864474,-0.43520252464135295,-0.42551250632150317,5.311927773583625,5.312109607940009,4489395.5750644915,233947.2850390082,3759870.147169113,4112128.177512047
