Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Most Total Return [%],SPY,EMA,2,11,0,true,1,515,-2.564053380874679e-7,32.295719844357976,0.9317445234703773,0.0001,-0.045819692781899894,-1.023638150418013,9 days 20:04:40.155642022,0.04377343442416583,1.3340323177500926,2.665474281485136,0.00013340323177500927,0,8107,8108 days 00:00:00,1000.0,733.5943487010624,-26.640565129893762,1127.0156361130898,100.0,779.5992996251737,63.54976242811716,6606 days 00:00:00,514,-0.7335943487009899,17.239497092543843,-7.902754316863465,2.98057561792598,-1.4541957333602458,21 days 12:17:20.963855421,4 days 06:24:49.655172413,-0.5168717061288648,-0.03362838909467282,-0.02179317009270233,0.9937077014018678,-0.492913394758692,11.241103734838411,1.0717847350834353,0.48825256975036707,-0.011515921289884545,None,None,-0.000012584453706382165,-0.0031712823340083055,-0.2664056512989431,-0.009582475870484664,0.11349454976951154,11742.281746031746
Mean Total Trades,SPY,EMA,2,11,0,true,1,515,-2.564053380874679e-7,32.295719844357976,0.9317445234703773,0.0001,-0.045819692781899894,-1.023638150418013,9 days 20:04:40.155642022,0.04377343442416583,1.3340323177500926,2.665474281485136,0.00013340323177500927,0,8107,8108 days 00:00:00,1000.0,733.5943487010624,-26.640565129893762,1127.0156361130898,100.0,779.5992996251737,63.54976242811716,6606 days 00:00:00,514,-0.7335943487009899,17.239497092543843,-7.902754316863465,2.98057561792598,-1.4541957333602458,21 days 12:17:20.963855421,4 days 06:24:49.655172413,-0.5168717061288648,-0.03362838909467282,-0.02179317009270233,0.9937077014018678,-0.492913394758692,11.241103734838411,1.0717847350834353,0.48825256975036707,-0.011515921289884545,None,None,-0.000012584453706382165,-0.0031712823340083055,-0.2664056512989431,-0.009582475870484664,0.11349454976951154,11742.281746031746
Median Total Trades,SPY,EMA,2,11,0,true,1,515,-2.564053380874679e-7,32.295719844357976,0.9317445234703773,0.0001,-0.045819692781899894,-1.023638150418013,9 days 20:04:40.155642022,0.04377343442416583,1.3340323177500926,2.665474281485136,0.00013340323177500927,0,8107,8108 days 00:00:00,1000.0,733.5943487010624,-26.640565129893762,1127.0156361130898,100.0,779.5992996251737,63.54976242811716,6606 days 00:00:00,514,-0.7335943487009899,17.239497092543843,-7.902754316863465,2.98057561792598,-1.4541957333602458,21 days 12:17:20.963855421,4 days 06:24:49.655172413,-0.5168717061288648,-0.03362838909467282,-0.02179317009270233,0.9937077014018678,-0.492913394758692,11.241103734838411,1.0717847350834353,0.48825256975036707,-0.011515921289884545,None,None,-0.000012584453706382165,-0.0031712823340083055,-0.2664056512989431,-0.009582475870484664,0.11349454976951154,11742.281746031746
Mean Best Trade [%],SPY,EMA,2,11,0,true,1,515,-2.564053380874679e-7,32.295719844357976,0.9317445234703773,0.0001,-0.045819692781899894,-1.023638150418013,9 days 20:04:40.155642022,0.04377343442416583,1.3340323177500926,2.665474281485136,0.00013340323177500927,0,8107,8108 days 00:00:00,1000.0,733.5943487010624,-26.640565129893762,1127.0156361130898,100.0,779.5992996251737,63.54976242811716,6606 days 00:00:00,514,-0.7335943487009899,17.239497092543843,-7.902754316863465,2.98057561792598,-1.4541957333602458,21 days 12:17:20.963855421,4 days 06:24:49.655172413,-0.5168717061288648,-0.03362838909467282,-0.02179317009270233,0.9937077014018678,-0.492913394758692,11.241103734838411,1.0717847350834353,0.48825256975036707,-0.011515921289884545,None,None,-0.000012584453706382165,-0.0031712823340083055,-0.2664056512989431,-0.009582475870484664,0.11349454976951154,11742.281746031746
Median Best Trade [%],SPY,EMA,2,11,0,true,1,515,-2.564053380874679e-7,32.295719844357976,0.9317445234703773,0.0001,-0.045819692781899894,-1.023638150418013,9 days 20:04:40.155642022,0.04377343442416583,1.3340323177500926,2.665474281485136,0.00013340323177500927,0,8107,8108 days 00:00:00,1000.0,733.5943487010624,-26.640565129893762,1127.0156361130898,100.0,779.5992996251737,63.54976242811716,6606 days 00:00:00,514,-0.7335943487009899,17.239497092543843,-7.902754316863465,2.98057561792598,-1.4541957333602458,21 days 12:17:20.963855421,4 days 06:24:49.655172413,-0.5168717061288648,-0.03362838909467282,-0.02179317009270233,0.9937077014018678,-0.492913394758692,11.241103734838411,1.0717847350834353,0.48825256975036707,-0.011515921289884545,None,None,-0.000012584453706382165,-0.0031712823340083055,-0.2664056512989431,-0.009582475870484664,0.11349454976951154,11742.281746031746
Most Profit Factor,SPY,EMA,2,11,0,true,1,515,-2.564053380874679e-7,32.295719844357976,0.9317445234703773,0.0001,-0.045819692781899894,-1.023638150418013,9 days 20:04:40.155642022,0.04377343442416583,1.3340323177500926,2.665474281485136,0.00013340323177500927,0,8107,8108 days 00:00:00,1000.0,733.5943487010624,-26.640565129893762,1127.0156361130898,100.0,779.5992996251737,63.54976242811716,6606 days 00:00:00,514,-0.7335943487009899,17.239497092543843,-7.902754316863465,2.98057561792598,-1.4541957333602458,21 days 12:17:20.963855421,4 days 06:24:49.655172413,-0.5168717061288648,-0.03362838909467282,-0.02179317009270233,0.9937077014018678,-0.492913394758692,11.241103734838411,1.0717847350834353,0.48825256975036707,-0.011515921289884545,None,None,-0.000012584453706382165,-0.0031712823340083055,-0.2664056512989431,-0.009582475870484664,0.11349454976951154,11742.281746031746
Most Expectancy,SPY,EMA,2,11,0,true,1,515,-2.564053380874679e-7,32.295719844357976,0.9317445234703773,0.0001,-0.045819692781899894,-1.023638150418013,9 days 20:04:40.155642022,0.04377343442416583,1.3340323177500926,2.665474281485136,0.00013340323177500927,0,8107,8108 days 00:00:00,1000.0,733.5943487010624,-26.640565129893762,1127.0156361130898,100.0,779.5992996251737,63.54976242811716,6606 days 00:00:00,514,-0.7335943487009899,17.239497092543843,-7.902754316863465,2.98057561792598,-1.4541957333602458,21 days 12:17:20.963855421,4 days 06:24:49.655172413,-0.5168717061288648,-0.03362838909467282,-0.02179317009270233,0.9937077014018678,-0.492913394758692,11.241103734838411,1.0717847350834353,0.48825256975036707,-0.011515921289884545,None,None,-0.000012584453706382165,-0.0031712823340083055,-0.2664056512989431,-0.009582475870484664,0.11349454976951154,11742.281746031746
Most Sharpe Ratio,SPY,EMA,2,11,0,true,1,515,-2.564053380874679e-7,32.295719844357976,0.9317445234703773,0.0001,-0.045819692781899894,-1.023638150418013,9 days 20:04:40.155642022,0.04377343442416583,1.3340323177500926,2.665474281485136,0.00013340323177500927,0,8107,8108 days 00:00:00,1000.0,733.5943487010624,-26.640565129893762,1127.0156361130898,100.0,779.5992996251737,63.54976242811716,6606 days 00:00:00,514,-0.7335943487009899,17.239497092543843,-7.902754316863465,2.98057561792598,-1.4541957333602458,21 days 12:17:20.963855421,4 days 06:24:49.655172413,-0.5168717061288648,-0.03362838909467282,-0.02179317009270233,0.9937077014018678,-0.492913394758692,11.241103734838411,1.0717847350834353,0.48825256975036707,-0.011515921289884545,None,None,-0.000012584453706382165,-0.0031712823340083055,-0.2664056512989431,-0.009582475870484664,0.11349454976951154,11742.281746031746
Most Calmar Ratio,SPY,EMA,2,11,0,true,1,515,-2.564053380874679e-7,32.295719844357976,0.9317445234703773,0.0001,-0.045819692781899894,-1.023638150418013,9 days 20:04:40.155642022,0.04377343442416583,1.3340323177500926,2.665474281485136,0.00013340323177500927,0,8107,8108 days 00:00:00,1000.0,733.5943487010624,-26.640565129893762,1127.0156361130898,100.0,779.5992996251737,63.54976242811716,6606 days 00:00:00,514,-0.7335943487009899,17.239497092543843,-7.902754316863465,2.98057561792598,-1.4541957333602458,21 days 12:17:20.963855421,4 days 06:24:49.655172413,-0.5168717061288648,-0.03362838909467282,-0.02179317009270233,0.9937077014018678,-0.492913394758692,11.241103734838411,1.0717847350834353,0.48825256975036707,-0.011515921289884545,None,None,-0.000012584453706382165,-0.0031712823340083055,-0.2664056512989431,-0.009582475870484664,0.11349454976951154,11742.281746031746
Most Omega Ratio,SPY,EMA,2,11,0,true,1,515,-2.564053380874679e-7,32.295719844357976,0.9317445234703773,0.0001,-0.045819692781899894,-1.023638150418013,9 days 20:04:40.155642022,0.04377343442416583,1.3340323177500926,2.665474281485136,0.00013340323177500927,0,8107,8108 days 00:00:00,1000.0,733.5943487010624,-26.640565129893762,1127.0156361130898,100.0,779.5992996251737,63.54976242811716,6606 days 00:00:00,514,-0.7335943487009899,17.239497092543843,-7.902754316863465,2.98057561792598,-1.4541957333602458,21 days 12:17:20.963855421,4 days 06:24:49.655172413,-0.5168717061288648,-0.03362838909467282,-0.02179317009270233,0.9937077014018678,-0.492913394758692,11.241103734838411,1.0717847350834353,0.48825256975036707,-0.011515921289884545,None,None,-0.000012584453706382165,-0.0031712823340083055,-0.2664056512989431,-0.009582475870484664,0.11349454976951154,11742.281746031746
