Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
BRO,SMA,21,25,0,true,false,1,309,0.9734927971926979,45.77922077922078,1.4412450264612875,1.7946770414456625,1.0564450905375011,-0.8572351696030922,19 days 07:47:31.948051946,0.019044113858361612,0.5811391724879098,1.160397635679742,1.0429571307487826,0,11166,11167 days 00:00:00,1000.0,91923.23588332305,9092.323588332307,63687.41911473768,100.0,24043.535643428135,64.017930903192,4759 days 00:00:00,308,-91.92323588331055,63.37303582486899,-14.091537502588784,7.196859299790305,-2.7664469012285577,27 days 14:28:05.106382978,12 days 08:02:52.455089820,295.5037633740469,0.676222335226793,0.24875264628473462,1.1861335524766878,3.321007931430767,170.85631746930102,1.2327399789001374,0.9621928166351608,-0.017332295190298105,0.000504877281553079,0.1272290749513759,90.92323588332214,0.1074079031275521,0.22643472040123597,5953,616,16172.97619047619,,
BRO,SMA,37,39,0,true,false,1,350,0.9586901199006712,48.42406876790831,1.4340884707851418,1.389026002710958,0.8755343093253827,-0.9332723235987171,17 days 23:14:36.790830945,0.021579206936909748,0.6582482536270823,1.3146157979580873,0.914323940527095,0,11166,11167 days 00:00:00,1000.0,43497.13493521094,4249.713493521093,63687.41911473768,100.0,11796.684370789224,56.76947596917251,4654 days 00:00:00,349,-43.497134935205395,63.37303582486899,-35.16513330659168,5.9965525003883196,-2.936929431219453,24 days 19:44:22.721893491,11 days 12:48:00,121.89292856775381,0.5937821590465904,0.23117737239667116,1.1530476342759233,-0.3336550537732224,46.53902862802952,1.2215455135398463,0.9439252336448599,-0.017857163671462627,0.00043804758553707326,0.11038799155534246,42.49713493521097,0.08886567333687778,0.2237385653602857,6272,698,16172.97619047619,,
BRO,SMA,38,39,0,true,false,1,486,0.8893947475533316,44.948453608247426,1.3522370345622743,0.9413147031035995,0.8187820070053363,-0.9510386994390473,12 days 22:51:42.680412370,0.02998829617306942,0.9140247178936056,1.826168726491134,0.8603849059533707,0,11166,11167 days 00:00:00,1000.0,32182.188692280433,3118.2188692280433,63687.41911473768,100.0,12141.779588743091,62.54712741166013,5205 days 00:00:00,485,-32.18218869227712,63.37303582486899,-35.16513330659168,5.162261657951939,-2.505001537184558,18 days 16:57:14.862385321,8 days 06:06:44.494382022,64.35952758963452,0.5561662591789865,0.1920997863431419,1.1422001621643714,-0.3299856420010768,46.00349081288803,1.283996526545786,0.8895663956639567,-0.01797671654881838,0.00041178394893050805,0.10376955513048802,31.182188692280413,0.08148772041265073,0.22454918267727272,6283,970,16172.97619047619,,
