Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Mean Win Rate [%],SBAC,true,4,10,345,41.56976744186046,1.2013549057075077,53.325065881258716,299.1450957211057,188.41503121968867,1.1230816927608123,3,335.9643804835546,1.3597232813830586,0,0,6451,6452 days 00:00:00,1000.0,103802.11081724324,10280.211081724325,2209.859154929575,100.0,60490.21820002811,49.686897780347394,913 days 00:00:00,344,1,-103.80211081722518,126.5387974807697,-17.708247422680408,9.149613436171485,-3.346423959158144,16 days 16:26:51.188811189,5 days 22:19:42.089552238,0.7898469784048919,0.6044838634393257,1.2153937266217323,3.6519756966375256,10 days 09:37:40.465116278,1
Most Max Drawdown Duration,SBAC,true,4,10,345,41.56976744186046,1.2013549057075077,53.325065881258716,299.1450957211057,188.41503121968867,1.1230816927608123,3,335.9643804835546,1.3597232813830586,0,0,6451,6452 days 00:00:00,1000.0,103802.11081724324,10280.211081724325,2209.859154929575,100.0,60490.21820002811,49.686897780347394,913 days 00:00:00,344,1,-103.80211081722518,126.5387974807697,-17.708247422680408,9.149613436171485,-3.346423959158144,16 days 16:26:51.188811189,5 days 22:19:42.089552238,0.7898469784048919,0.6044838634393257,1.2153937266217323,3.6519756966375256,10 days 09:37:40.465116278,1
Least Best Trade [%],SBAC,true,4,9,381,43.15789473684211,1.179945331949117,58.905596031623006,238.95735980837867,156.25600880611685,1.2402728259184623,3,296.3723199235526,1.3283773293928065,0,0,6451,6452 days 00:00:00,1000.0,91712.08464254114,9071.208464254114,2209.859154929575,100.0,61899.19458476327,52.68551780406837,1860 days 00:00:00,380,1,-91.71208464252413,60.55000565438651,-17.708247422680397,8.079396284006272,-3.32835007091329,14 days 08:55:36.585365853,5 days 13:06:40,0.7726317567766043,0.552849585881216,1.2109205639622398,3.104880821937812,9 days 08:31:34.736842104,1
Least Avg Winning Trade Duration,SBAC,true,6,8,480,41.962421711899786,1.1281246846199815,74.25205394512479,177.9710037098837,113.15294409339728,1.562548442102,4,278.088314586208,1.3253786664966114,0,0,6451,6452 days 00:00:00,1000.0,86161.94882820551,8516.194882820551,2209.859154929575,100.0,84624.50866771706,62.12400319139295,4718 days 00:00:00,479,1,-86.16194882820128,91.01303897580046,-17.708247422680408,7.546162894365444,-3.1332723379206238,10 days 20:46:34.029850746,4 days 19:09:55.683453237,0.7653688308819236,0.46152783917935614,1.2119867776517868,2.8537274485676214,7 days 08:16:02.004175364,1
Most Worst Trade [%],SBAC,true,4,7,484,41.200828157349896,1.0959384533582428,74.87211285072081,174.18495595376476,108.7358248158579,1.5755696791195164,4,274.4405351595202,1.3308961170697544,0,0,6451,6452 days 00:00:00,1000.0,85046.2874382295,8404.62874382295,2209.859154929575,100.0,111095.24728931034,58.954247086245296,2758 days 00:00:00,483,1,-85.04628743822104,92.09370243349323,-15.497652757078976,8.046896051593329,-3.29293667595969,11 days 03:08:08.442211055,4 days 14:21:58.309859154,0.7551647539337336,0.48473390634826435,1.212305536869342,2.803241815241747,7 days 06:57:23.478260868,1
Mean Total Fees Paid,SBAC,true,3,17,252,41.832669322709165,1.2004384269422836,38.90869632615099,114.73826002516489,72.72435894387489,0.8203379321035499,2,94.12414696220317,1.0733753301413067,0,0,6451,6452 days 00:00:00,1000.0,29769.53373258376,2876.953373258376,2209.859154929575,100.0,14098.574305144715,79.9047216683349,2562 days 00:00:00,251,1,-29.769533732582204,119.67999823570254,-29.36000400156582,11.112561119505573,-4.25118074988172,25 days 01:36:00,6 days 21:22:11.506849315,0.6448415142901354,0.26486561686972987,1.168301540280672,0.30187182601239576,14 days 11:51:23.665338645,1
Mean Max Drawdown [%],SBAC,true,3,29,181,37.77777777777778,1.438528654196219,27.902650751821422,121.73179157023264,69.67812985501531,0.5892109750426291,2,71.72570760478287,1.0005020767375439,0,0,6451,6452 days 00:00:00,1000.0,22888.833648992866,2188.8833648992863,2209.859154929575,100.0,4730.015787170182,87.07081573641902,1739 days 00:00:00,180,1,-22.88883364899084,248.30124004481374,-34.988266768818136,16.430704581088413,-4.453453933708699,41 days 04:35:17.647058823,8 days 13:17:08.571428571,0.618625805023133,0.22252857642151577,1.154773280116232,-0.009491912633209119,20 days 21:11:59.999999998,1
Mean Total Return [%],SBAC,true,3,25,187,38.70967741935484,1.3487663999327397,28.83273911021547,107.40952243759142,62.99678735342606,0.608742830568904,2,65.38477671871361,0.986580103508635,0,0,6451,6452 days 00:00:00,1000.0,20957.21395943259,1995.721395943259,2209.859154929575,100.0,5044.415376188775,84.05289154521846,1544 days 00:00:00,186,1,-20.9572139594311,233.31625455891705,-33.12793330779546,15.850190338723083,-4.848742910059422,38 days 07:20:00,8 days 15:34:44.210526315,0.6034607721890164,0.2234523474266179,1.1527276399281345,-0.09690108915250772,20 days 03:05:48.387096773,1
Median Max Drawdown [%],SBAC,true,4,33,152,39.735099337748345,1.4577805695534365,23.407223686250195,88.55410802888261,53.313731504444675,0.49480700666563326,1,43.81719312171653,0.8990828439713323,0,0,6451,6452 days 00:00:00,1000.0,14357.312999361919,1335.7312999361918,2209.859154929575,100.0,2362.5779746677704,91.71778180758045,1549 days 00:00:00,151,1,-14.357312999360147,253.29623520677936,-29.36000400156581,19.070301782307013,-5.567096588242325,47 days 22:23:59.999999999,9 days 18:59:20.439560439,0.5609706643884936,0.17736226124117904,1.137540770493588,-0.39555817529974685,24 days 22:43:42.516556290,1
Median Avg Losing Trade [%],SBAC,true,4,33,152,39.735099337748345,1.4577805695534365,23.407223686250195,88.55410802888261,53.313731504444675,0.49480700666563326,1,43.81719312171653,0.8990828439713323,0,0,6451,6452 days 00:00:00,1000.0,14357.312999361919,1335.7312999361918,2209.859154929575,100.0,2362.5779746677704,91.71778180758045,1549 days 00:00:00,151,1,-14.357312999360147,253.29623520677936,-29.36000400156581,19.070301782307013,-5.567096588242325,47 days 22:23:59.999999999,9 days 18:59:20.439560439,0.5609706643884936,0.17736226124117904,1.137540770493588,-0.39555817529974685,24 days 22:43:42.516556290,1
