Fast Period,Slow Period,Signal Period,Signal
2,6,13,1
2,7,11,1
2,8,9,1
2,9,8,1
2,11,7,1
2,13,6,1
3,4,12,1
3,4,13,1
3,4,14,1
3,4,15,1
3,5,8,1
3,5,9,1
3,5,10,1
3,5,11,1
3,6,7,1
3,6,8,1
3,6,9,1
3,7,6,1
3,7,7,1
3,8,5,1
3,8,6,1
3,9,5,1
3,9,6,1
3,10,5,1
3,11,5,1
3,12,4,1
3,13,4,1
3,14,4,1
3,15,4,1
3,24,3,1
3,25,3,1
3,26,3,1
3,27,3,1
3,28,3,1
3,29,3,1
3,30,3,1
3,31,3,1
3,32,3,1
3,33,3,1
3,34,3,1
3,35,3,1
3,36,3,1
4,5,6,1
4,5,7,1
4,6,5,1
4,6,6,1
4,7,4,1
4,7,5,1
4,8,4,1
4,9,4,1
4,10,4,1
4,12,3,1
4,13,3,1
4,14,3,1
4,15,3,1
5,6,4,1
5,6,5,1
5,7,4,1
5,8,3,1
5,9,3,1
5,10,3,1
5,11,3,1
6,7,3,1
6,8,3,1
6,9,3,1
6,13,2,1
7,11,2,1
8,9,2,1
