Ticker,Strategy Type,Fast Period,Slow Period,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
KEY,SMA,73,79,0,true,false,None,1,126,1.2668096909696982,57.599999999999994,1.3547277660153967,2.298342310164195,0.5243784651491284,0.927378480947396,43 days 23:25:26.399999999,0.009088181325085688,0.2786436394271272,0.5550758213984835,0.6404184659535026,0,9496,9497 days 00:00:00,1000.0,4829.250622250868,382.92506222508683,198.6766304648485,100.0,684.174315987316,76.82876763592354,6412 days 00:00:00,125,-4.8292506222505835,102.58728227036265,-52.68342193143377,9.072301693393142,-6.904017606675127,54 days 22:20:00,29 days 02:15:50.943396226,30.67263898298495,0.34629891148254693,0.08120562362164438,1.079246379226748,3.67727406806106,157.79323044906326,1.0532548954735999,1.0246772968868643,-0.0210034919716556,,,0.00029583585995575774,0.07455063670885095,3.829250622250889,0.042669189656106,0.2590874593957646,0,126,13754.126984126984,6.666666666666667,,,
KEY,SMA,73,80,0,true,false,None,1,115,1.4715180968804336,62.28070175438597,1.6433546081987132,2.883201592481384,0.6540069054329619,3.111354678019803,48 days 07:22:06.315789473,0.008288421368478148,0.25431760741364784,0.5064237573715248,0.7332489306910849,0,9496,9497 days 00:00:00,1000.0,9168.300940748664,816.8300940748666,198.6766304648485,100.0,858.3503530999012,62.64710561186364,3958 days 00:00:00,114,-9.16830094074794,101.42237488846047,-35.58892755423098,8.954022505115129,-7.140712007448753,57 days 12:30:25.352112676,33 days 02:13:57.209302325,71.73218633060884,0.42389423386825187,0.14188931702592103,1.0986188582334164,4.076750018615722,161.7101104739394,1.0665097610079435,1.0301067073170733,-0.02079536843652787,,,0.00036455530613258296,0.0918679371454109,8.168300940748638,0.06055706539981354,0.26082704277459634,0,115,13754.126984126984,6.666666666666667,,,
KEY,SMA,73,81,0,true,false,None,1,107,1.4180003480409809,59.43396226415094,1.575765152920211,2.9586386566501077,0.6269846719073884,2.5347342074178516,52 days 01:21:30.566037736,0.007706777763672664,0.23662594776748103,0.4710404380791912,0.7000906762313386,0,9496,9497 days 00:00:00,1000.0,8022.690819186156,702.2690819186156,198.6766304648485,100.0,768.8597778702725,65.90818801837591,4403 days 00:00:00,106,-8.0226908191853,101.99653152102508,-36.061540506853675,9.816784124684172,-7.08934191279515,66 days 00:45:42.857142858,31 days 13:57:12.558139535,66.32748594344656,0.4085216556628164,0.126415039791319,1.094176357370383,4.012990732867191,164.78595932762113,1.0638050669178327,1.0285496764370006,-0.020807418393832725,,,0.0003486227770430928,0.08785293981485938,7.022690819186128,0.0568074276530941,0.2588137690331787,0,107,13754.126984126984,6.666666666666667,,,
KEY,SMA,73,82,0,true,false,None,1,104,1.3938070272793632,57.28155339805825,1.663267436707746,3.0087844694640578,0.6339799617382582,2.6641931863309525,53 days 15:36:41.941747572,0.007488661411870608,0.22999157540016849,0.45777169334456613,0.6919950801715987,0,9496,9497 days 00:00:00,1000.0,8279.895556324904,727.9895556324904,198.6766304648485,100.0,716.6722105300407,61.90337596764941,3565 days 00:00:00,103,-8.279895556324846,99.70000000000002,-36.061540506853675,10.112573192944868,-6.5167504097488465,69 days 20:20:20.338983051,31 days 22:21:49.090909091,70.75898496972069,0.41228403527951674,0.13671713871517885,1.094947447919131,4.032978762208604,164.36565382853163,1.063767361569358,1.0293110011419873,-0.020807418393832752,,,0.0003521217468897577,0.08873468021621894,7.27989555632487,0.05769270690363015,0.2590258051070654,0,104,13754.126984126984,6.666666666666667,,,
KEY,SMA,73,83,0,true,false,None,1,100,1.4468300853433314,60.60606060606061,1.9093871525926918,3.5225248314365096,0.7230603183331404,4.906030775696824,55 days 23:59:59.999999999,0.007197839609467865,0.22114574557708508,0.4400800336983993,0.7789913801618229,0,9496,9497 days 00:00:00,1000.0,12733.902939371404,1173.3902939371405,198.6766304648485,100.0,911.2544323657861,53.863135316208655,2383 days 00:00:00,99,-12.733902939369727,99.70000000000002,-30.20659623716356,10.156060611655384,-6.6829148304386825,70 days 07:36:00,33 days 23:23:04.615384615,118.65289739707856,0.46588369892472997,0.1907147381259092,1.1074908339967153,4.190501961752162,166.5949846115145,1.0692172537041758,1.0357958872810358,-0.02079536843652781,,,0.00039606495918789145,0.09980836971534865,11.733902939371385,0.06984242869279633,0.257831282406926,0,100,13754.126984126984,6.666666666666667,,,
KEY,SMA,73,84,0,true,false,None,1,96,1.3952289449744242,56.84210526315789,1.934807943022102,3.7759983735823193,0.7558976060846823,5.387652836032621,58 days 08:35:22.105263157,0.006907017807065124,0.21229991575400167,0.4223883740522325,0.8016441365987738,0,9496,9497 days 00:00:00,1000.0,13690.773420421949,1269.0773420421947,198.6766304648485,100.0,913.1475205033872,56.25152496819721,2369 days 00:00:00,95,-13.690773420419646,97.34939975211839,-30.096698432485304,11.42415926631309,-6.297189143672842,75 days 22:40:00,35 days 04:40:58.536585366,133.73120204044596,0.47653183608108945,0.18808363747725096,1.1085410924649481,5.0003394305203095,167.40471149722262,1.0738353860710141,1.032319391634981,-0.02089411233833055,,,0.00039820214944372964,0.10034694165981987,12.690773420422037,0.07190123206395316,0.25343020935373456,0,96,13754.126984126984,6.666666666666667,,,
KEY,SMA,73,85,0,true,false,None,1,94,1.400594708221644,59.13978494623656,1.728415429907764,3.590123718373992,0.6966592682166308,3.690820389963591,59 days 11:05:48.387096774,0.006761606905863752,0.20787700084245997,0.4135425442291491,0.7463041512289659,0,9496,9497 days 00:00:00,1000.0,10319.563891937729,931.9563891937729,198.6766304648485,100.0,769.2484098238288,64.23120591416091,2369 days 00:00:00,93,-10.319563891936923,97.34939975211834,-30.096698432485304,11.200669370299586,-7.425139725202526,74 days 07:25:05.454545455,37 days 23:22:06.315789473,100.3213274820395,0.44206765521257524,0.14611461157697436,1.1001993107815917,4.995442260246997,171.37420448796422,1.0696608399049692,1.0285496764370006,-0.020839773574736795,,,0.00036674088225549707,0.09241870232838525,9.319563891937861,0.06389114645875948,0.2516038532968282,0,94,13754.126984126984,6.666666666666667,,,
KEY,SMA,73,86,0,true,false,None,1,92,1.3469169426392944,57.14285714285714,1.6683285695942631,3.4330650640034555,0.6645606390245384,2.9005270822039355,60 days 18:27:41.538461537,0.006616196004662381,0.20345408593091827,0.4046967144060657,0.6984711145381924,0,9496,9497 days 00:00:00,1000.0,8749.43577729165,774.943577729165,198.6766304648485,100.0,681.4412953888389,60.51876951564626,2413 days 00:00:00,91,-8.749435777290273,93.23588173324423,-30.096698432485297,11.518264109753494,-7.347200330329927,78 days 06:00:00,37 days 11:04:36.923076923,85.25478256119708,0.4220469350745812,0.14364850791509604,1.0950831431405355,5.0775541992203745,175.6400499803222,1.0646641669421824,1.0285714285714285,-0.020894112338330648,,,0.0003475172887789046,0.08757435677228395,7.749435777291756,0.05924190432536269,0.24972519862394518,0,92,13754.126984126984,6.666666666666667,,,
KEY,SMA,73,87,0,true,false,None,1,86,1.2890167000005501,58.82352941176471,1.4420102866011313,3.1961325300911896,0.5485957254594143,1.261209466623177,65 days 01:58:35.294117647,0.006179963301058268,0.19018534119629318,0.3781592249368155,0.6078575557439647,0,9496,9497 days 00:00:00,1000.0,5492.494776039101,449.2494776039101,198.6766304648485,100.0,538.3428940902296,66.92717574731685,4999 days 00:00:00,85,-5.4924947760382565,94.94283332322333,-30.09669843248529,11.35980062103056,-8.466250456965055,82 days 10:04:48,40 days 07:32:34.285714286,52.91749730370759,0.37287197170555614,0.10109031126373656,1.0785458259141072,0.9358801728076892,36.36945751440091,1.051332053683245,1.025885039969547,-0.020839773574736688,,,0.0002865293763259415,0.07220540283413726,4.492494776039154,0.0462357653807568,0.2330537620323664,0,86,13754.126984126984,6.666666666666667,,,
KEY,SMA,73,88,0,true,false,None,1,86,1.2742166636550907,56.470588235294116,1.5129940709215746,3.4217425584202745,0.581822702722162,1.6812723098529028,64 days 23:26:07.058823528,0.006179963301058268,0.19018534119629318,0.3781592249368155,0.6507652759590371,0,9496,9497 days 00:00:00,1000.0,6327.061478802759,532.7061478802759,198.6766304648485,100.0,585.1664443988317,65.32317055093357,4709 days 00:00:00,85,-6.327061478801625,103.26782580637166,-35.96084880013474,11.899670951071608,-7.57665103204632,86 days 19:30:00,36 days 15:34:03.243243243,62.74574753272415,0.39256807583426134,0.11248231752873517,1.0827314984632788,1.0537371007327665,36.33871015001681,1.0573549789680403,1.0239999999999998,-0.02080740515940255,,,0.0003004159543784153,0.07570482050336065,5.327061478802764,0.050170107746794645,0.23208908514941867,0,86,13754.126984126984,6.666666666666667,,,
