Metric,Merton Jump-Diffusion,Geometric Brownian Motion
Final Price Mean,1351211.189584469,844652.9556626535
Final Price Std Dev,9401273.721590616,1043957.4378118608
VaR (95%),-0.9102437184397884,-240.13581055068013
