Metric,Merton Jump-Diffusion,Geometric Brownian Motion
Final Price Mean,11808.604364244324,6577.857404152013
Final Price Std Dev,160677.67285908482,18737.478540081236
VaR (95%),-0.33542053052782395,-75.02497324510672
