Trade No.,Entry Date,Exit Date,Entry Price,Exit Price,Return (%),PnL ($),Size,Drawdown (%)
0,2014-11-14 00:00:00,2014-11-22 00:00:00,397.8179931640625,352.9200134277344,-0.11474774526876186,-114.63311215660526,2.511201142651698,0.1180690718565171
1,2014-11-25 00:00:00,2014-11-27 00:00:00,375.3479919433594,369.6700134277344,-0.0171121110512436,-15.135361144725383,2.3564330286104918,0.018590739729399876
2,2014-11-28 00:00:00,2014-12-09 00:00:00,376.4469909667969,352.218994140625,-0.06629529099750586,-57.63461768001206,2.3093880025483164,0.07630438906020282
3,2015-03-02 00:00:00,2015-03-28 00:00:00,275.6700134277344,252.79800415039062,-0.08488582781984792,-68.90905225364472,2.944771227747512,0.171348162179266
4,2015-06-17 00:00:00,2015-08-14 00:00:00,249.28399658203125,265.67999267578125,0.06370658494824916,47.33048313884277,2.9803153112104424,0.16042228481056772
5,2015-10-07 00:00:00,2016-01-18 00:00:00,242.968994140625,387.1679992675781,0.5908937831402903,466.9408785206204,3.2523825296601294,0.24413996459761222
6,2016-02-19 00:00:00,2016-08-02 00:00:00,420.7850036621094,547.4650268554688,0.29875535503586637,375.44660631473045,2.98656678582039,0.28558094302037645
7,2016-09-09 00:00:00,2017-03-24 00:00:00,622.8610229492188,937.52001953125,0.5026781320446785,820.2571317190824,2.6198044034962105,0.3264598371930667
8,2017-04-06 00:00:00,2017-07-14 00:00:00,1182.6800537109375,2233.340087890625,0.885483788072785,2170.5082610774766,2.0725907543822353,0.24501117037963113
9,2017-07-22 00:00:00,2017-09-21 00:00:00,2810.1201171875,3631.0400390625,0.2898377036401986,1338.9202466829845,1.643898293747443,0.3550810193918735
10,2017-09-29 00:00:00,2018-01-17 00:00:00,4163.06982421875,11188.599609375,1.6838963581491695,10031.196803105246,1.4309474934177422,0.42614915910764944
11,2018-03-05 00:00:00,2018-03-08 00:00:00,11573.2998046875,9395.009765625,-0.19002863364362618,-3036.336409132727,1.3806183393689482,0.1882168504941204
12,2018-04-24 00:00:00,2018-05-19 00:00:00,9697.5,8247.1796875,-0.1514065472737817,-1959.9587917968265,1.3348808302490258,0.17892104467016803
13,2018-07-20 00:00:00,2018-08-09 00:00:00,7354.1298828125,6568.22998046875,-0.10875824536038083,-1194.9275008858078,1.4939912995026212,0.2514722159237656
14,2018-09-02 00:00:00,2018-09-07 00:00:00,7272.720214843749,6467.06982421875,-0.11266625917929182,-1103.3713544007858,1.3465762471141371,0.12152018879488057
15,2019-02-19 00:00:00,2019-07-27 00:00:00,3947.0944824218755,9477.677734375,1.3977771508400998,12148.085701880555,2.201873617823124,0.2718597820434687
16,2019-08-04 00:00:00,2019-08-22 00:00:00,10970.1845703125,10131.0556640625,-0.07841528471748122,-1633.1514461582133,1.8985052463374454,0.16000651563568946
17,2019-11-01 00:00:00,2019-11-16 00:00:00,9261.1044921875,8550.7607421875,-0.07862513762247605,-1509.2435640052645,2.0726937105600434,0.0978070792025535
18,2020-01-08 00:00:00,2020-03-02 00:00:00,8079.86279296875,8869.669921875,0.09565231687646514,1691.869217926865,2.189108609741675,0.17079132730842417
19,2020-04-24 00:00:00,2020-07-01 00:00:00,7550.90087890625,9228.3251953125,0.2199267500611897,4261.713345542419,2.5662999098081363,0.13562981858826312
20,2020-07-23 00:00:00,2020-09-06 00:00:00,9581.072265625,10280.3515625,0.07091250897715215,1676.0407021415974,2.466877555966149,0.17012946877828025
21,2020-10-10 00:00:00,2021-04-24 00:00:00,11296.361328125,50050.8671875,3.425276290917101,86692.71009943481,2.240517785753832,0.25406053586932753
22,2021-05-08 00:00:00,2021-05-12 00:00:00,58803.77734375,49150.53515625,-0.16599607951949819,-18577.584445535857,1.9032077108104395,0.1641602397592576
23,2021-07-28 00:00:00,2021-09-22 00:00:00,39995.90625,43574.5078125,0.08738472199107888,8157.9560080857555,2.334158312647047,0.22684889661229973
