Ticker,Range Length,Candle Lookback,Total Trades,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Expectancy Adjusted,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,RSI Window,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy per Trade,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
BTC-USD,2,1,523,593.0656847059837,18797.766456929934,100.0,4039.910345314611,48.6446924430652,1145 days 00:00:00,522,1,-6.930656847059254,39.272030651341,38.80448462188822,-10.261100422514383,4.455412246761684,-2.087971724045365,2 days 06:40:23.414634146,1 days 03:10:47.318611987,1.2146703375943952,11.374688704802551,0.7268996808776316,0.41521095253437984,1.2675753575007755,1.2372175526750322,0.2910649781727295,0.1359375,4.0859375,8.1640625,1.9683923601435107,0,0,0,0,3840,3841 days 00:00:00,1000.0,6930.656847059838,14,2.337379341103825,34.04765158043635,2.9030567333981114,0.11949868842902944,0.4817480346049128,-0.015212012528981243,None,None,0.000644318536121019,0.16236827110249677,5.930656847059822,0.1354328496260786,0.2688269780010989,-0.9684502046525136,1 days 13:58:37.241379309
BTC-USD,2,2,444,593.5740813120307,18797.766456929934,100.0,3625.8120466106584,47.656883470665576,1145 days 00:00:00,444,0,0.0,39.86486486486486,38.804484621888214,-10.261100422514374,4.489635815513291,-2.0602711005007315,2 days 06:30:30.508474576,1 days 03:30:20.224719101,1.2405969295979216,13.368785615135835,0.7566447289394338,0.42399299891968745,1.3094365842395665,1.290521498991585,0.33783353409791156,0.115625,3.46875,6.9375,1.9107277774387286,0,0,0,0,3840,3841 days 00:00:00,1000.0,6935.7408131203065,14,2.574886131522797,42.56998109943875,2.857610225274212,0.10405288876113826,0.5508404403426965,-0.011177132564841636,None,None,0.0006266629863072043,0.15791907254941548,5.935740813120308,0.13548747534204364,0.2511821281028213,-0.9684231590666876,1 days 14:16:12.972972971
BTC-USD,2,3,398,539.1510488014502,18797.766456929934,100.0,3340.7269901962677,42.502876778654155,1535 days 00:00:00,398,0,0.0,38.94472361809046,38.80448462188823,-10.280143522603485,4.684806897430471,-2.030952010330379,2 days 07:16:38.709677419,1 days 03:15:33.333333333,1.236618820073576,13.546508763855549,0.7466676816881092,0.45353057333262486,1.3253632943961393,1.2894396100149232,0.3501919943909085,0.10364583333333334,3.109375,6.21875,1.8173728952456325,0,0,0,0,3840,3841 days 00:00:00,1000.0,6391.510488014502,14,2.8724745322336647,48.179632830472485,2.918268868716986,0.0915032679738562,0.5844817351543743,-0.009857873625339419,None,None,0.0005967506088424551,0.1503811534282987,5.391510488014478,0.12941607826359758,0.2423886162543905,-0.9713183451854894,1 days 14:10:15.075376884
BTC-USD,2,4,365,1439.7587771455894,18797.766456929934,100.0,6312.68534742128,33.67723324712665,1507 days 00:00:00,365,0,0.0,41.64383561643836,38.80448462188822,-9.740122967440321,4.843853588507177,-1.9593080009287742,2 days 07:25:15.789473684,1 days 03:36:20.281690140,1.3489897811906624,39.44544594919418,1.0422092457435193,0.8810190871287881,1.5046704399360453,1.8966321343236092,0.5598145124159516,0.09505208333333333,2.8515625,5.703125,2.4916651660567353,0,0,0,0,3840,3841 days 00:00:00,1000.0,15397.587771455894,14,3.2921937510587433,50.79428273582,3.0857685847577505,0.08933635847986388,0.8737894280966085,-0.007914962594906226,None,None,0.0008225178673677908,0.20727450257668328,14.397587771455859,0.19648234479191218,0.2393520336574285,-0.9234079867709595,1 days 15:11:20.547945204
BTC-USD,2,5,350,1568.0152491105507,18797.766456929934,100.0,5522.597524871308,37.02420007634169,934 days 00:00:00,349,1,-16.68015249110249,42.97994269340974,38.80448462188823,-9.740122967440309,4.6522277926698905,-1.876448590221989,2 days 06:24:00,1 days 03:37:05.125628140,1.4942039197426085,44.976597832654974,1.0875119539567568,0.8281050582708808,1.5533539912595324,2.007999821299796,0.6146613033611086,0.09088541666666666,2.734375,5.4609375,2.5418005642507095,0,0,0,0,3840,3841 days 00:00:00,1000.0,16680.152491105506,14,3.5224697214301,55.12470697683073,3.1424760020546634,0.08594854396381114,0.9295727777831166,-0.0067977078050873024,None,None,0.0008380860751107006,0.21119769092789656,15.680152491105495,0.20277943598420545,0.2337229116903576,-0.916585023401411,1 days 15:07:44.183381087
BTC-USD,2,6,343,810.8613335055699,18797.766456929934,100.0,3101.1620557609313,43.599236408311064,849 days 00:00:00,342,1,-9.108613335054542,40.643274853801174,38.804484621888236,-9.963240001921516,4.728281128462396,-1.9428033363369008,2 days 07:46:11.223021582,1 days 03:39:54.088669950,1.4400564661647453,23.736029088861827,0.8929673854247352,0.5357881107929439,1.4346864925633418,1.581242780893407,0.48055598884605705,0.0890625,2.6796875,5.3515625,2.0594573706117423,0,0,0,0,3840,3841 days 00:00:00,1000.0,9108.6133350557,14,3.256761627165934,56.69848775410193,3.0024882267047417,0.08197183098591548,0.7685438584207085,-0.006931819585996751,None,None,0.0006776130427981617,0.17075848678513675,8.108613335055695,0.15597292535517382,0.23014039931553712,-0.9568639532061725,1 days 15:05:15.789473682
BTC-USD,2,7,341,736.3297603257327,18797.766456929934,100.0,2907.9383006646153,41.76817899426112,934 days 00:00:00,340,1,-8.363297603256797,40.88235294117647,38.8044846218882,-9.963240001921498,4.80478134921769,-2.051577696119336,2 days 07:56:32.805755395,1 days 03:20:35.820895522,1.3981090654495405,21.681355590766422,0.862215392924245,0.5354141044398079,1.414611272790956,1.5135707435517578,0.4726397550752842,0.08854166666666667,2.6640625,5.3203125,2.001944951788922,0,0,0,0,3840,3841 days 00:00:00,1000.0,8363.297603257326,14,3.1765072855089884,55.961210957092455,2.961383460340945,0.08136261261261261,0.7514632077096246,-0.007194433742995645,None,None,0.0006559791432202733,0.1653067440915089,7.363297603257324,0.14951665394038227,0.2307389765279465,-0.9608288696418887,1 days 15:02:07.058823528
BTC-USD,2,8,336,864.8619213816593,18797.766456929934,100.0,3112.2368899642943,37.80117424230934,934 days 00:00:00,335,1,-9.648619213816346,42.38805970149254,38.80448462188822,-9.96324000192151,4.786997384697425,-2.1203507694806745,2 days 07:56:37.183098591,1 days 03:21:27.046632124,1.4357166579104363,25.84557562098624,0.9024815056497493,0.6358785777153969,1.4387438944125315,1.591540107441828,0.5266162698788699,0.08723958333333333,2.625,5.2421875,2.119792735993488,0,0,0,0,3840,3841 days 00:00:00,1000.0,9648.619213816593,14,3.169554412272277,54.247172816740466,2.961827948152708,0.0816671360180231,0.8075400899022811,-0.0071690163585327055,None,None,0.0006960129213610294,0.1753952561829794,8.648619213816584,0.1603491985345351,0.23389756152348176,-0.9539912402165831,1 days 15:28:28.656716416
BTC-USD,2,9,345,822.9393681978918,18797.766456929934,100.0,3112.3593694112865,34.37977980032316,918 days 00:00:00,344,1,-9.229393681978763,43.895348837209305,38.80448462188823,-9.963240001921509,4.559304572508462,-2.1883439850480593,2 days 06:11:55.231788079,1 days 03:13:59.378238341,1.4125213394601654,23.949485685060687,0.8816683649697611,0.683962177705443,1.421408698163986,1.5544297896633978,0.5223950940413458,0.08958333333333333,2.6953125,5.3828125,2.0849856345476767,0,0,0,0,3840,3841 days 00:00:00,1000.0,9229.393681978918,14,3.142051611925837,52.69496614447203,2.9689492261991957,0.08258173618940248,0.7735598876002974,-0.007665375794522548,None,None,0.0006864655240819772,0.17298931206865825,8.229393681978944,0.15697240048427408,0.236134897852274,-0.9562214282168343,1 days 15:04:11.162790696
BTC-USD,2,10,352,531.4998540349761,18797.766456929934,100.0,2783.608642125736,32.8942020944227,934 days 00:00:00,351,1,-6.3149985403488245,41.5954415954416,38.804484621888236,-9.963240001921493,4.626398687017222,-2.1873981498650727,2 days 06:24:39.452054794,1 days 03:09:39.512195121,1.2760476053020133,15.160437432735328,0.7546501665191783,0.5818633150421654,1.3499962771621763,1.3201494939795837,0.41392630787833873,0.09140625,2.75,5.4921875,1.77878451809396,0,0,0,0,3840,3841 days 00:00:00,1000.0,6314.998540349761,14,3.1719513180423173,53.16772608909473,2.9539988225012244,0.08075407990996061,0.6468307338523491,-0.008434072818327483,None,None,0.0005876212193492627,0.1480805472760142,5.314998540349765,0.12852405354189655,0.23615573697598866,-0.9717253719875302,1 days 14:29:44.615384613
