Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
NFLX,true,10,87,48,51.06382978723404,4.387249625120541,0.008181026979982594,28.174231194366985,16.004297009817932,0.17545691906005223,0.3472584856396867,4.943363802249247,1.675587991313888,0,0,5745,5746 days 00:00:00,1000.0,481610.5346330352,48061.05346330352,81140.92434179908,100.0,8856.643311355165,70.38981547128179,1587 days 00:00:00,47,1,-481.61053463298595,438.5313266333096,-44.12824176918454,65.90733262586288,-11.199439864585239,137 days 16:00:00,22 days 05:13:02.608695652,10236.00308867379,1.0430780247259237,0.6826417422246782,1.2292372627160182,1.3485186756216854,27.167221504993144,1.245301523859717,0.49908687711974953,-0.03254708710410467,None,None,0.0013985051238608445,0.3524232912129328,480.61053463303773,0.3111546315660303,0.40662489916897193,-0.40768417597942913,81 days 04:05:06.382978722,true
MSTR,false,7,82,72,38.028169014084504,1.9531244030329704,0.0105388154965118,23.149527172050625,13.543602029152044,0.22443223986937808,0.4457473652961259,5.195500235140352,1.2381600344424435,0,0,6737,6738 days 00:00:00,1000.0,223481.58949664293,22248.158949664292,3078.4142127403657,100.0,7761.48716512675,85.31641839356287,2382 days 00:00:00,71,1,-223.48158949663048,727.9867469879517,-28.865463917525762,76.46297610464507,-9.5655437638596,109 days 21:20:00,15 days 21:16:21.818181818,3136.691142058302,0.7927323880162895,0.3990753892807624,1.2058843091787408,0.3394930792425928,39.19483707782862,1.2202556281397026,0.3773507767784138,-0.038854789370103705,None,None,0.0013229546527591784,0.33338457249531295,222.48158949664116,0.2242249411003523,0.506133470981413,6.227149243785248,51 days 15:12:40.563380281,true
TRGP,true,7,30,65,48.4375,3.0002607388139544,0.017807456872565387,8.083095107789623,5.93079167672138,0.3797996661101837,0.7537562604340567,3.069956823075358,2.0248384349392423,0,0,3594,3595 days 00:00:00,1000.0,38028.40790691759,3702.840790691759,729.7975724008679,100.0,1253.5517225979436,38.646806527489495,608 days 00:00:00,64,1,-38.02840790691698,125.9387982508924,-19.702131574952652,22.83188326715439,-5.771827102522735,57 days 06:11:36.774193548,12 days 21:49:05.454545454,579.163067419133,1.2695121343914755,1.1562810905249967,1.2868457818184922,1.2874188183708997,19.429869115752492,1.1548060968884188,0.4941812136325852,-0.023799426933395262,None,None,0.0011639364518818798,0.2933119858742337,37.02840790691746,0.29051009257913596,0.2780603824724184,4.073791597456615,34 days 09:22:29.999999999,true
SMCI,true,15,43,65,45.3125,1.2082929516733742,0.014143646408839779,7.034729429230046,4.828571679234824,0.30165745856353593,0.5986740331491712,2.1220786013036492,0.722521921580109,0,0,4525,4526 days 00:00:00,1000.0,4058.656761943253,305.8656761943253,4662.557286970722,100.0,317.9713606961957,76.70100266197096,2218 days 00:00:00,64,1,-4.058656761942984,204.14952446907466,-43.53273875257658,30.252676719639076,-12.202998325680294,63 days 04:57:55.862068965,21 days 08:13:42.857142857,47.85492841726875,0.48074832748212504,0.15593084029742785,1.1158970078257637,0.5882158550076563,40.58723907412369,1.082133104411975,0.41260923845193515,-0.03503794160842773,None,None,0.0007085067856061494,0.17854370997274965,3.0586567619432836,0.0811194870055576,0.4469644009776379,-0.934399588601506,40 days 07:29:59.999999999,true
ZS,true,33,38,41,62.5,2.3860200807819507,0.022675736961451247,7.265625491414162,4.299186681310155,0.4880952380952381,0.9642857142857143,3.5463172041426265,1.6085973794513344,0,0,1764,1765 days 00:00:00,1000.0,7305.301335620888,630.5301335620887,535.9696821732933,100.0,289.4144571303899,37.26386942001587,356 days 00:00:00,40,1,-7.305301335620243,130.06970584255748,-27.677200780964988,17.760549522582536,-10.225914560533129,30 days 18:14:24,19 days 08:00:00,157.81516592391264,1.064733626814145,1.365096647072324,1.2306363500567346,0.972857161474618,18.075756912408735,1.0889651551189312,0.4919695688926458,-0.03957547289439648,None,None,0.0014714556211558342,0.37080681653127023,6.305301335620868,0.32833303810411363,0.4191340082967306,0.1764287319487252,26 days 11:24:00,true
CHTR,true,57,64,42,51.21951219512195,2.349113680454245,0.010713352495427228,6.317754218838034,3.1401855288899103,0.23046772929187354,0.4554481316958453,1.4560384690397559,1.329539645374979,0,0,3827,3828 days 00:00:00,1000.0,7675.47830370056,667.547830370056,950.0000000000032,100.0,390.5085480661958,31.478819239924093,542 days 00:00:00,41,1,-7.675478303699492,66.45547038042072,-17.435955402546817,16.932032981135308,-4.8272384815741045,87 days 05:42:51.428571429,26 days 15:36:00,163.0037507805916,0.8711070844727244,0.6813868597118734,1.1864258483453671,0.6281799175853547,17.035111704373463,1.1037413888982819,0.47571318427139553,-0.018987303819376793,None,None,0.00062647773156155,0.1578723883535106,6.675478303700583,0.14358152311594785,0.21811262034372395,-0.2973180732946803,57 days 16:23:24.878048781,true
