Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
MSTR,SMA,52,90,,false,16,7.455804631738479,37.5,4.317801619988242,29.61162963785916,8.718471654989122,1.224597008184103,5 days 04:37:30,0.0758997446948692,2.308617234468938,4.617234468937876,68.36191852267285,0,0,3493,145 days 14:00:00,1000.0,17098.603234532362,1609.860323453236,723.6637995694037,100.0,245.9541633242577,38.69554747271186,26 days 23:00:00,16,0,0.0,194.91857097596665,-10.556341245742189,87.56874876272708,-5.162641837061597,9 days 14:30:00,2 days 13:06:00,1006.1627021582726,5.2228061239799315,3185.7406651222177,1.2677167837676304,1.5641403087317522,21.573199262358585,1.1966069448328895,0.42032520325203254,-0.020948055232751287,None,None,0.0009578798385563318,5.7932572635886945,16.098603234532437,135.21176818797278,1.3349502222518685,210.80439814814812
MSTR,SMA,84,90,,false,40,3.3244862275420055,43.58974358974359,2.5852934208985188,10.541247131262883,5.843106140035693,-0.26429467512172455,2 days 00:41:32.307692307,0.18500562769374368,5.771543086172345,11.39879759519038,60.83926200007436,0,0,3493,145 days 14:00:00,1000.0,6324.0331076485545,532.4033107648554,723.6637995694037,100.0,291.9655318484621,47.627216981139284,26 days 23:00:00,39,1,-2506.115143261637,215.38136373816016,-27.787132155815534,31.579343729345467,-5.715463876346385,3 days 09:56:28.235294117,0 days 23:00:00,200.7730320746203,3.6593960211513106,211.87452697391564,1.1827999011976458,1.2052910996188728,22.723171468418794,1.1994089268914936,0.39927913496195433,-0.020899885742234788,None,None,0.0006756489184632355,4.0863246588656486,5.324033107648559,23.34976157883871,1.3439082460008054,210.80439814814812
MSTR,SMA,16,82,,false,24,1.8643627037172334,41.66666666666667,1.7566415085505835,14.162542634193692,6.38372982736535,-0.12567381994212645,3 days 06:24:59.999999999,0.1138496170423038,3.4629258517034067,6.925851703406813,49.043835013801,0,0,3493,145 days 14:00:00,1000.0,7327.1820552368345,632.7182055236834,723.6637995694037,100.0,242.53302648304006,62.8748013669844,26 days 23:00:00,24,0,0.0,185.3829084628353,-24.580284636152793,45.38512196171204,-8.13929974260513,6 days 05:24:00,1 days 03:42:51.428571428,263.63258563486806,3.96142815625032,232.86187168908472,1.2055592331843337,1.4209235352768523,24.381273989694236,1.148739843095728,0.3876092136616362,-0.02061119280234695,None,None,0.0007083689108329948,4.2842151727179525,6.327182055236865,30.41793927215307,1.3015643740401819,210.80439814814812
MSTR,SMA,18,21,,false,118,1.7523806115717468,47.45762711864407,1.5593154446765845,2.329177652271037,6.954747570383109,-0.008931182271485545,0 days 15:24:54.915254236,0.5597606171246603,17.026052104208418,34.052104208416836,39.65670006752451,0,0,3493,145 days 14:00:00,1000.0,8172.006262721737,717.2006262721736,723.6637995694037,100.0,994.7527439885913,46.889343413911284,45 days 18:00:00,118,0,0.0,80.3528421592921,-16.224404171523158,9.387080896603957,-4.04570269744902,0 days 21:22:30,0 days 10:01:56.129032258,60.779714090862214,4.2256343665068,411.1768305617386,1.2229391582521314,1.7621575398268186,25.19063193944607,1.3051645232146527,0.36644505279624556,-0.019040635964829085,None,None,0.0007299514121853894,4.414746140897235,7.172006262721704,36.94994902459814,1.2573609882409569,210.80439814814812
MSTR,SMA,82,114,,false,15,0.9944442582173528,35.714285714285715,2.187173881766169,25.527335786413985,5.022597374221097,-0.5046745401896284,5 days 12:17:08.571428571,0.06641227660801055,2.164328657314629,4.18436873747495,55.24954438742907,0,0,3493,145 days 14:00:00,1000.0,4584.491042698355,358.4491042698355,723.6637995694037,100.0,99.63623593372007,52.5852765924064,45 days 18:00:00,14,1,-1043.1729711882526,225.733625223101,-22.75048482402443,90.00242221558817,-10.292156674238342,11 days 19:48:00,2 days 00:06:40,330.5474295633291,3.176956468002685,84.61409715873702,1.1559821434869724,1.1951535731363438,23.340206470023887,1.1490043840695447,0.39760000000000006,-0.02164978441649359,None,None,0.0005805988074816489,3.5114615876490127,3.5844910426983425,12.953185478255332,1.3302179987253748,210.80439814814812
MSTR,SMA,6,84,,false,38,0.5001385830123876,28.947368421052634,1.9289048168541418,7.445519361959658,5.5212702680659005,-0.40133069903653756,2 days 02:41:03.157894735,0.18026189365031434,5.482965931863728,10.965931863727455,40.823529006656564,0,0,3493,145 days 14:00:00,1000.0,5332.353010207782,433.23530102077814,723.6637995694037,100.0,234.81363513073558,53.085823415871694,41 days 02:00:00,38,0,0.0,161.5120128416934,-13.90682607797476,38.2322709130282,-5.097231269957156,5 days 15:27:16.363636363,0 days 16:08:53.333333333,114.00928974231012,3.4634258125926864,123.29191150803098,1.174830974750215,1.3820014351199197,24.66424767904137,1.1441318739024684,0.3981592637054822,-0.020762665051340574,None,None,0.0006159510642909705,3.72527203683179,4.332353010207787,17.124785926269684,1.2944887036489756,210.80439814814812
MSTR,SMA,6,27,,false,89,0.18465205768287757,35.95505617977528,1.3861783055025823,1.7421670695957374,3.595869757786503,-0.7909132658001795,0 days 20:26:57.977528089,0.42219232986520994,12.841683366733466,25.683366733466933,22.372357879698367,0,0,3493,145 days 14:00:00,1000.0,2513.0850051060015,151.30850051060014,723.6637995694037,100.0,257.74131968247684,40.3107359234308,48 days 00:00:00,89,0,0.0,88.29730928997228,-13.392905188108827,12.622667535267848,-4.366184069027202,1 days 14:13:07.500000,0 days 10:28:25.263157894,17.000955113550567,2.2963314287888315,22.520465394579645,1.1149682920934592,1.459710709686879,25.794276288622914,1.191071219939492,0.3590042784908596,-0.019716877691161736,None,None,0.0003859191007237381,2.334038721177168,1.5130850051060047,3.92884963053468,1.2232624613941985,210.80439814814812
BTC-USD,SMA,8,44,,false,285,0.003942715576035588,31.929824561403507,1.0706990328650219,0.10424915118076106,0.6290586345994452,-0.8832719376781504,1 days 08:27:47.368421051,0.3925394548063128,11.776183644189382,23.552367288378765,1.2276571490555046,0,0,17425,726 days 02:00:00,1000.0,1200.2068512047235,20.020685120472343,171.51561263194876,100.0,635.6686011090145,31.98543504947124,246 days 04:00:00,285,0,0.0,13.972395576678625,-5.123423961367828,2.9689269868185817,-1.2394914830617219,2 days 14:32:18.461538461,0 days 18:21:20.412371134,0.702480179665697,0.43967492039543593,0.30038325541594224,1.020269332611781,-0.07612107783673579,26.414710105013825,1.092718425285839,0.35917635129865066,-0.004712163715885998,None,None,0.000017099241166935272,0.10341621057762453,0.2002068512047206,0.06538658737963976,0.28307602485984457,726.0416666666666
BTC-USD,EMA,5,68,,false,267,0.0008916974826711564,22.09737827715356,1.028730006334243,0.08729745753079865,0.392748096657269,-0.9567901374145114,1 days 10:47:38.426966290,0.3677474892395983,11.032424677187949,22.064849354375898,0.96310262471855,0,0,17425,726 days 02:00:00,1000.0,1074.111660530924,7.411166053092404,171.51561263194876,100.0,569.5005554277576,40.24373110257169,300 days 20:00:00,267,0,0.0,26.181941698269657,-4.422173644219269,4.360497588857998,-1.124812195105282,4 days 13:13:13.220338983,0 days 13:40:57.692307692,0.27757176228810465,0.2771201667646,0.09092956215208764,1.012710013921996,-0.27952789700202985,26.34426834717535,1.0655527309894253,0.3647114104471767,-0.004772486519879943,None,None,0.000010962270965804601,0.06629981480118623,0.0741116605309311,0.025123646768256735,0.28793227283366485,726.0416666666666
BTC-USD,SMA,11,36,,false,310,0.0005728275897136896,31.290322580645164,1.0008609375214035,0.0391129187542234,0.24795562743629793,-0.9985900292840205,1 days 05:46:03.870967740,0.4269727403156385,12.809182209469153,25.618364418938306,0.5010045030670108,0,0,17425,726 days 02:00:00,1000.0,1002.4183199114432,0.24183199114431775,171.51561263194876,100.0,635.3222271300386,32.692627578234195,251 days 00:00:00,310,0,0.0,15.429150648597082,-5.759242464408547,2.8274163239559784,-1.2306778338493929,2 days 05:41:26.597938144,0 days 18:52:23.661971830,0.007801031972405781,0.1734864270350244,0.0037162883844521623,1.0079857760864586,-0.022816500230900504,26.08289168870485,1.092094680949935,0.3563200498132005,-0.004690462638101332,None,None,6.7288215203744716e-6,0.040695912555224804,0.0024183199114384824,0.0008386587262634304,0.2823133727446237,726.0416666666666
