TICKER,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW
MSTR,2,13,4,8
CRWD,2,22,2,3
NCLH,15,25,2,3
ZS,68,88,2,6
OKTA,38,41,2,3
LINK-USD,2,13,5,6
