Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration
QQQ,true,102,109,42,65.85365853658537,8.352818332768253,6.2739097169089515,427.2255936644222,264.8092522713361,0.1349655700076511,1,57.66074577077588,1.1480400365214796,0,0,6535,6536 days 00:00:00,1000.0,17084.39246577619,1608.439246577619,873.4149087744785,100.0,325.6615071753885,54.86282277118752,3017 days 00:00:00,41,1,-1431.8568744651202,69.8656108597285,-29.68386766786849,17.7604736393617,-7.616728770137107,141 days 01:46:40,50 days 22:17:08.571428571,0.7975393999927526,0.3130486475156585,1.1592609861409922,0.8415523142769352,110 days 07:01:27.804878048
QQQ,true,69,77,63,70.96774193548387,4.963146260419035,9.487375669472074,206.72096598072446,194.1924225879533,0.20244835501147665,1,41.85031950918109,1.1134718380135482,0,0,6535,6536 days 00:00:00,1000.0,14075.313143163303,1307.5313143163303,873.4149087744785,100.0,562.2429132089001,42.02105197495111,1894 days 00:00:00,62,1,258.6132523583856,33.5047768198498,-14.982007965681232,8.485044926292165,-4.4201845966867745,79 days 12:32:43.636363636,45 days 00:00:00,0.7790852119918502,0.3787100750499268,1.1557018335046156,0.497033427275677,69 days 12:00:00
SPY,true,108,115,59,62.06896551724138,3.644763740546243,7.180883991581032,146.9181267751875,121.41993948362602,0.15339853906153275,1,22.53702600897082,1.083248534008674,0,0,8077,8078 days 00:00:00,1000.0,11509.791066393627,1050.9791066393627,1228.6373133001455,100.0,416.20667493766393,37.98652446747053,1386 days 00:00:00,58,1,1988.539713432754,35.83448266513612,-13.699908748397032,9.271076832489623,-3.3756679701704617,119 days 14:40:00,48 days 12:00:00,0.7688230103632891,0.30726317607176584,1.1500704742969148,-0.1445977626901051,92 days 15:18:37.241379310
SPY,true,12,73,69,51.470588235294116,3.274941272458375,8.418967438405348,103.52401179271678,80.73396641588874,0.17939829144484337,1,18.572030839129205,1.0169054971013691,0,0,8077,8078 days 00:00:00,1000.0,7731.363318591792,673.1363318591792,1228.6373133001455,100.0,486.93924863715074,24.92797040083224,1122 days 00:00:00,68,1,-308.26948331294534,34.27865251533145,-6.679999817462414,9.215080959468821,-2.6001713752387454,127 days 07:32:34.285714286,35 days 21:05:27.272727272,0.7245557778080343,0.38839907903772986,1.1347387400788647,-0.4521277153376361,82 days 22:35:17.647058823
SPY,false,51,72,34,45.45454545454545,3.4711581764993187,4.0856753745202425,160.06080634470698,55.11735755671727,0.08839915810325616,1,14.149240526200419,0.9948633640234341,0,0,8077,8078 days 00:00:00,1000.0,8127.029144542111,712.702914454211,1228.6373133001455,100.0,203.1899258299329,23.960519881725027,1682 days 00:00:00,33,1,1845.0225351667777,55.341768579492026,-7.805218413037923,19.422715379600707,-3.7545036303567847,295 days 03:12:00,70 days 16:00:00,0.7157521624852621,0.4144163416241994,1.1291490163915907,-0.41992408439893775,172 days 16:43:38.181818180
QQQ,true,17,28,110,54.54545454545454,2.146318946363864,16.832440703902066,62.496319074329016,51.64985047465208,0.35348125478194337,1,22.091277285646523,0.9451037032003836,0,0,6535,6536 days 00:00:00,1000.0,7874.595098176194,687.4595098176195,873.4149087744785,100.0,720.1390997164654,43.64032847939041,1836 days 00:00:00,110,0,0.0,61.311800302571875,-13.185137393887475,7.633769785900267,-4.157501247075091,52 days 10:24:00,18 days 00:00:00,0.668675878972438,0.27989307455022316,1.1358716134496494,-0.21290614241721614,36 days 18:45:49.090909091
QQQ,false,34,52,46,40.0,3.2332886252228814,6.885998469778118,114.84882380946598,47.458191656804125,0.14781943381790358,1,16.976888110167426,0.8350056117577841,0,0,6535,6536 days 00:00:00,1000.0,6455.965922449077,545.5965922449077,873.4149087744785,100.0,179.82462701757228,46.12299914529475,2460 days 00:00:00,45,1,287.76885102310735,64.97161626895954,-12.235935761082148,20.283554597827486,-4.614916534425291,200 days 20:00:00,31 days 22:13:20,0.5999033021027709,0.2379882048324598,1.113188936675275,-0.3753294261825059,99 days 11:44:00
QQQ,true,15,28,112,54.46428571428571,2.175012217333537,17.13848508033665,56.95845696170535,47.00305566374494,0.35990818668706964,1,20.49981496158087,0.9210652201269026,0,0,6535,6536 days 00:00:00,1000.0,7379.347179711001,637.9347179711002,873.4149087744785,100.0,616.2268610493371,46.89080897098098,2448 days 00:00:00,112,0,0.0,73.8075510204082,-17.87318435754189,7.670751010869731,-4.298514564828753,51 days 12:59:00.983606557,18 days 09:24:42.352941176,0.6522074017117487,0.2518256345374859,1.131449387273629,-0.2696086229324725,36 days 10:42:51.428571427
SPY,false,46,51,42,46.34146341463415,2.489885770039928,5.076142131979695,94.22716922197486,41.10000494071447,0.10919896000990467,1,10.289508883716953,0.8834804531130438,0,0,8077,8078 days 00:00:00,1000.0,6243.6062849625905,524.360628496259,1228.6373133001455,100.0,219.9219478893292,35.84627603929462,2557 days 00:00:00,41,1,1380.292346861621,41.46438613159022,-9.048658649164638,14.892176424474002,-4.172371847633704,237 days 05:03:09.473684212,51 days 02:10:54.545454545,0.6397060553132636,0.2406912043933325,1.1151337430154196,-0.573217724368296,137 days 08:11:42.439024390
SPY,false,18,32,98,39.795918367346935,1.8292559140275297,12.133217778878297,25.64773476743186,15.464775138061881,0.25479757335644426,1,6.534980580831346,0.6650637803708701,0,0,8077,8078 days 00:00:00,1000.0,3513.4780072083204,251.34780072083203,1228.6373133001455,100.0,399.0216489346036,39.13469304868268,2624 days 00:00:00,98,0,0.0,36.13342363697936,-7.519990759190401,7.552611789139838,-2.4889771249865125,102 days 22:09:13.846153846,26 days 08:08:08.135593220,0.4809880378232599,0.1492842935660956,1.0883722010629446,-0.7954255515440056,56 days 19:35:30.612244897
