Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
BTC-USD,StrategyTypeEnum.SMA,73,79,0,false,false,1,40,1.8943321458620674,66.66666666666666,4.509369380254942,55.91964282691606,2.0010472683305576,1.250918964695175,58 days 15:23:04.615384614,0.009966777408637873,0.3066700741119346,0.6056733963710708,17.148881010043258,0,3913,3914 days 00:00:00,1000.0,515963.4384091612,51496.34384091612,22877.91992897882,100.0,10734.673469422833,64.3271929581157,1173 days 00:00:00,39,3986.1774322415586,1647.6451727194394,-35.6609972912274,88.27753309663818,-8.796137712528118,75 days 02:46:09.230769231,25 days 16:36:55.384615384,13101.981050690247,1.3214976535280072,1.2288154736050678,1.3174266235826806,-0.012993509750151209,16.08992118906697,1.1552494053318954,1.1403828623518688,-0.039411335179994095,0.0020313248333307613,0.5118938579993518,514.9634384091622,0.49503020397496167,0.4661864906236493,2310,79,3913,,
BTC-USD,StrategyTypeEnum.SMA,74,78,0,false,false,1,50,1.8026357290456043,67.3469387755102,2.6412094783460116,31.876509060901,1.9354406286293557,0.7738010297799799,46 days 22:02:26.938775509,0.012522361359570662,0.38333759263991823,0.759008433427038,12.21946424517033,0,3913,3914 days 00:00:00,1000.0,406808.77929246554,40580.877929246555,22877.91992897882,100.0,12397.790986305761,64.3271929581157,1173 days 00:00:00,49,-2423.1498698014184,900.674101232926,-35.6609972912274,52.45020662998711,-10.556742175339085,58 days 21:49:05.454545454,22 days 04:30:00,8331.263860454428,1.281509995936273,1.167798024681231,1.3063425915439824,-0.017392989047437368,16.05901523020141,1.1602659439272442,1.1258992805755395,-0.039743064885454094,0.00197111708922401,0.49672150648445046,405.80877929246503,0.4723249403076537,0.4664844031545386,2316,99,3913,,
BTC-USD,StrategyTypeEnum.SMA,12,42,0,false,false,1,45,1.7766397929167972,54.54545454545454,3.224289948606927,26.07622656747447,2.3667788339675973,2.63268762810976,48 days 20:10:54.545454545,0.011244569384104269,0.3450038333759264,0.6823409148990545,8.996398125757867,0,3913,3914 days 00:00:00,1000.0,832083.3668288708,83108.33668288708,22877.91992897882,100.0,15328.593583243097,58.37421270021973,753 days 00:00:00,44,156987.73260939727,342.5276290917101,-18.169826524434786,54.905059666180435,-8.518373150972682,72 days 06:00:00,20 days 18:00:00,15320.35532316985,1.5092905194849051,1.4939156119974928,1.3722855041061073,0.5498806729736646,10.802368978328637,1.1764074072544477,1.1665053242981605,-0.03527051421662072,0.0020552946645033326,0.5179342554548398,831.0833668288705,0.5417458420841006,0.41299800461301256,2195,89,3913,,
BTC-USD,StrategyTypeEnum.SMA,73,78,0,false,false,1,47,1.7637039148428768,63.04347826086957,3.386966662506682,31.625188790052086,1.8524985009236608,0.38515605095667266,49 days 22:26:05.217391304,0.011755686174290826,0.3603373370815231,0.7130079223102479,11.395736313307804,0,3913,3914 days 00:00:00,1000.0,317894.89222927263,31689.489222927263,22877.91992897882,100.0,8366.749400222105,64.3271929581157,1045 days 00:00:00,46,-1893.535749291419,899.8002305166639,-35.660997291227396,55.37101160810939,-8.882391311339791,66 days 23:10:20.689655173,20 days 21:10:35.294117647,6930.183216925303,1.236140048380189,1.1059018028753822,1.2944135461625248,-0.10488179468503847,16.199798838585718,1.1484036981553922,1.127141568981064,-0.039743064885454024,0.001915301230424513,0.4826559100669773,316.8948922292725,0.4491311057921572,0.46991154314858624,2314,93,3913,,
BTC-USD,StrategyTypeEnum.SMA,74,89,0,false,false,1,26,1.7526903980052768,68.0,5.2411273109867,75.45506069978276,1.7753154884478457,-0.0652170626011781,90 days 09:36:00,0.006388959877331971,0.19933554817275748,0.3910043444927166,15.040875886999887,0,3913,3914 days 00:00:00,1000.0,214858.89192785867,21385.889192785868,22877.91992897882,100.0,3319.092061659294,64.3271929581157,1062 days 00:00:00,25,-3704.88971086737,1466.062372426385,-33.01440445238821,116.21849655063154,-11.167240483270934,114 days 05:38:49.411764706,39 days 18:00:00,8702.551265549046,1.1836093245046342,1.0104648856492218,1.2816919738588317,-0.06773979309971344,16.521392133826073,1.120827618541587,1.1435228331780054,-0.0394113351799942,0.0017972019159929323,0.45289488283021895,213.85889192785956,0.4130384197943642,0.46050589884162896,2276,51,3913,,
BTC-USD,StrategyTypeEnum.SMA,57,85,0,false,false,1,22,1.7435764957846291,66.66666666666666,4.146685408090794,85.53134048474485,1.8363345018855775,0.22441723836099214,106 days 11:25:42.857142855,0.005366726296958855,0.168668540761564,0.32967032967032966,14.426446388942397,0,3913,3914 days 00:00:00,1000.0,281121.1953888415,28012.11953888415,22877.91992897882,100.0,3188.900257956284,67.48724618696394,1294 days 00:00:00,21,5805.299814268656,1296.2359665185209,-36.79781747996997,136.32044612513934,-16.04687079604409,140 days 06:51:25.714285714,38 days 20:34:17.142857142,13062.661694027276,1.2281318170552948,1.0252124945476515,1.294124890668834,-0.09998239743851754,16.497808826301245,1.1027920473692985,1.17349857006673,-0.040008360092232666,0.0018673936815358735,0.4705832077470401,280.1211953888412,0.4377063987624701,0.46114510700399464,2260,43,3913,,
BTC-USD,StrategyTypeEnum.SMA,74,79,0,false,false,1,46,1.736796349887346,62.22222222222222,3.449210664523476,31.64314227086814,1.818067951118016,0.12275496587183883,50 days 22:55:59.999999999,0.011500127779197547,0.35267058522872474,0.6976744186046512,11.159605503142865,0,3913,3914 days 00:00:00,1000.0,257862.98209079274,25686.298209079276,22877.91992897882,100.0,7351.230526691501,64.3271929581157,1306 days 00:00:00,45,-4446.4248167235055,900.6741012329261,-38.55979297747106,55.56131742031424,-7.751499151748965,69 days 15:25:42.857142857,20 days 04:14:07.058823529,5806.875709055917,1.2099290574781378,1.0544796698846488,1.2867875054735798,-0.06059214352157037,16.175016930710537,1.154995559348463,1.1141060197663972,-0.039575306031672655,0.0018494920933276584,0.4660720075185699,256.8629820907947,0.42973484015649976,0.4635955673671619,2309,91,3913,,
BTC-USD,StrategyTypeEnum.SMA,72,79,0,false,false,1,36,1.7323941564389982,60.0,4.132960764708732,58.08141741262722,1.8429375570913191,0.343545254211435,65 days 08:13:42.857142856,0.008944543828264758,0.2760030667007411,0.5443393815486839,16.030649324210934,0,3913,3914 days 00:00:00,1000.0,308375.207468087,30737.520746808703,22877.91992897882,100.0,5559.621654214479,64.3271929581157,1192 days 00:00:00,35,2382.413561050198,1542.7832630771686,-35.6609972912274,103.46327164448188,-9.991363935154766,87 days 19:25:42.857142857,31 days 15:25:42.857142857,8714.079825915336,1.2310646916149754,1.098369345898062,1.2930682630886832,-0.10899190878983765,16.18836432323503,1.1336347062306718,1.1406392694063925,-0.03981876981321042,0.0019076647833287696,0.48073152539884995,307.37520746808764,0.44629719133040435,0.46996756898009695,2310,71,3913,,
BTC-USD,StrategyTypeEnum.SMA,71,84,0,false,false,1,28,1.7287165323556455,62.96296296296296,4.2215430396095375,79.8966504865099,1.8281642258242672,0.19457920596771988,84 days 02:40:00,0.006900076667518528,0.2146690518783542,0.42167135190391003,17.151338208195327,0,3913,3914 days 00:00:00,1000.0,274294.8742295259,27329.487422952592,22877.91992897882,100.0,4182.24957256686,64.32719295811572,1294 days 00:00:00,27,4676.344143035589,1706.7096400153337,-33.282890196874355,133.63336849396217,-11.455770126158964,112 days 22:35:17.647058824,35 days 02:24:00,9948.834447647792,1.2192888918857943,1.0695533123805674,1.289120860566695,-0.07668173055421869,16.047233894037152,1.1205675277080958,1.1504178272980503,-0.039933592186420716,0.0018667943288416908,0.47043217086810607,273.2948742295254,0.43543273400031457,0.46434049309133246,2290,55,3913,,
BTC-USD,StrategyTypeEnum.SMA,14,37,0,false,false,1,49,1.7242937732567643,54.166666666666664,3.2282953718956886,21.580511648994822,2.314570340427649,1.8071417948106325,44 days 21:59:59.999999999,0.012266802964477384,0.3756708407871198,0.7436749297214413,8.10716895579412,0,3913,3914 days 00:00:00,1000.0,643215.6521096753,64221.565210967536,22877.91992897882,100.0,13941.62097913617,50.194364826425364,752 days 00:00:00,48,70699.05280004616,247.33671759751164,-19.300627309354304,45.77106010558281,-7.0083183451546125,66 days 02:46:09.230769231,19 days 20:43:38.181818181,11906.595818950607,1.473422951823673,1.6488920696889957,1.360945838431176,0.5687705347288141,10.598471409055183,1.1938121389747172,1.1399999999999997,-0.03498659878243465,0.0019807584792816088,0.4991511367789654,642.215652109678,0.5164006654278872,0.407709466829904,2200,97,3913,,
