Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Signal Conversion Rate,Total Period
SPY,SMA,61,76,0,false,0,63,1.731336767509954,61.904761904761905,3.17125413241694,3.86486970284046,0.9663351320007094,-0.36563656662824606,88 days 00:00:00,0.005365226398292698,0.16319230294806958,0.32638460589613916,0.630716987400756,0,8107,8108 days 00:00:00,1000.0,8149.375083883509,714.9375083883509,1127.0156361130898,100.0,401.3034047511495,30.674066240579585,1332 days 00:00:00,63,0.0,38.47096774193549,-21.843971120866698,8.739875399229149,-4.057014553791161,111 days 17:13:50.769230770,49 days 11:00:00,113.48214418862713,0.6984709796150667,0.32290193789402066,1.134978522279695,-0.8122919478702263,16.034857571592617,0.9501884260168516,0.5960629921259842,-0.0125835590837626,None,None,0.00029049185735997575,0.07320394805471389,7.14937508388355,0.06737768992156079,0.12613403805259082,5544,5544,1.0,11742.281746031746
SPY,SMA,60,75,0,false,0,64,1.034741453420703,65.625,2.9188313915211905,3.563042801288809,0.9027293918696151,-0.46593744798811215,86 days 10:29:59.999999999,0.005450388722075122,0.1657826569631183,0.3315653139262366,0.5906907024709707,0,8107,8108 days 00:00:00,1000.0,7018.96846779858,601.8968467798579,1127.0156361130898,100.0,349.4888651669748,31.314853270915645,1950 days 00:00:00,64,0.0,37.68532731376976,-21.93053377714234,8.113526957583822,-5.124245133456215,104 days 21:08:34.285714286,51 days 05:27:16.363636363,94.04638230935282,0.6541471522905664,0.29278091212408186,1.1261001378733864,-0.8166241531158779,16.017084397914537,0.946192856980124,0.5926144175996856,-0.01264071838969708,None,None,0.0002720757812870665,0.06856309688434076,6.01896846779853,0.0624353798942765,0.12614241242868024,5532,5532,1.0,11742.281746031746
SPY,SMA,60,76,0,false,0,60,1.0320199594531634,63.33333333333333,3.2110236375057424,3.8953573171208165,0.9247043523793658,-0.4321227759474402,92 days 12:00:00,0.005109739426945427,0.1554212409029234,0.3108424818058468,0.6054212679871998,0,8107,8108 days 00:00:00,1000.0,7400.0651089973135,640.0065108997313,1127.0156361130898,100.0,334.44632116578833,31.02408798311246,1890 days 00:00:00,60,0.0,38.47096774193549,-21.930533777142337,8.770484149838989,-4.525316303028753,120 days 20:12:37.894736842,43 days 13:05:27.272727273,106.66775181662189,0.6695689290872551,0.30391033171256177,1.1290205831583529,-0.8145309852965225,15.977071121671376,0.9476907737019886,0.5954348681621409,-0.012647509478346653,None,None,0.0002786296985268839,0.07021468402877475,6.400065108997342,0.06418271552209487,0.1262056550689821,5550,5550,1.0,11742.281746031746
SPY,SMA,61,79,0,false,0,57,1.0291084342675554,64.91228070175438,3.296810440410672,3.99745187611551,0.9003831317319985,-0.4692801913651049,98 days 00:25:15.789473684,0.004854252455598155,0.14765017885777723,0.29530035771555446,0.5902244844838122,0,8107,8108 days 00:00:00,1000.0,6981.295227264736,598.1295227264736,1127.0156361130898,100.0,317.9877655600367,31.98323205596828,1954 days 00:00:00,57,0.0,40.499291755407334,-21.843971120866716,8.490252256041448,-4.314228826747475,122 days 06:29:11.351351352,53 days 03:36:00,104.9350039871006,0.6516909450341959,0.28583558475634896,1.1249263076930645,-0.8030925799827978,15.883810444508118,0.9469948529083327,0.6001578843497137,-0.012647509478346584,None,None,0.0002715185132615369,0.0684226653419073,5.981295227264725,0.06225768260181663,0.12635850031870938,5587,5587,1.0,11742.281746031746
SPY,SMA,61,75,0,false,0,67,0.9799787999802005,62.68656716417911,3.0353410772515783,3.4208610710297314,0.9139775216205511,-0.44822517572466275,82 days 12:32:14.328358208,0.005705875693422393,0.17355371900826447,0.34710743801652894,0.5937031610878046,0,8107,8108 days 00:00:00,1000.0,7218.588545718576,621.8588545718576,1127.0156361130898,100.0,394.38753458447076,30.674066240579595,1906 days 00:00:00,67,0.0,37.7297741935484,-21.84397112086671,7.899391843337046,-4.103070626446559,105 days 04:00:00,44 days 11:31:11.999999999,92.81475441371006,0.662267646253373,0.3033929509088162,1.1277513511233181,-0.8217288901866142,16.017763103267324,0.9482683774697417,0.5923016496465043,-0.012633759213179186,None,None,0.00027556092423977575,0.06944135290842349,6.2185885457185615,0.0633617953749881,0.12619170154947976,5529,5529,1.0,11742.281746031746
SPY,SMA,54,74,0,false,0,58,0.9116304038765457,62.06896551724138,2.9227897933382323,3.8896353802927948,0.8974488562916154,-0.4693812123047466,95 days 14:04:08.275862069,0.00493941477938058,0.15024053287282596,0.3004810657456519,0.5843808922161865,0,8107,8108 days 00:00:00,1000.0,6980.156705479225,598.0156705479226,1127.0156361130898,100.0,334.832968429852,30.772700534262952,1334 days 00:00:00,58,0.0,36.763000000000005,-17.063506646558416,9.016188263190577,-4.499269337176303,120 days 11:20:00,54 days 20:43:38.181818182,103.10615009446943,0.6494077147416809,0.2970536986041815,1.125206895329428,-0.8110452544214671,15.872569542317361,0.951868250099396,0.5910518053375197,-0.012650920118569785,None,None,0.00027178840219993196,0.06849067735438286,5.980156705479187,0.062252297965981196,0.1269288015592397,5544,5544,1.0,11742.281746031746
SPY,SMA,60,79,0,false,0,56,0.9074049784497252,60.71428571428571,3.3722011368904528,4.102739650144543,0.8999853523293875,-0.46721596336277643,99 days 21:51:25.714285712,0.004769090131815732,0.1450598248427285,0.290119649685457,0.5951426950252846,0,8107,8108 days 00:00:00,1000.0,7004.559399616003,600.4559399616003,1127.0156361130898,100.0,301.86832099495456,30.674066240579588,1865 days 00:00:00,56,0.0,46.08814693441699,-21.84397112086672,9.310663664876625,-3.945870190805035,129 days 06:21:10.588235292,54 days 13:05:27.272727273,107.22427499314293,0.6515835013154838,0.2985679351917077,1.1247956163473467,-0.8033014726412605,15.756399443672215,0.948110665767644,0.6007897334649556,-0.012669678222691336,None,None,0.00027206885368197926,0.06856135112785877,6.004559399616023,0.06236752452484273,0.126635494435395,5595,5595,1.0,11742.281746031746
SPY,SMA,61,77,0,false,0,61,0.9070482483892597,59.01639344262295,3.070351181536434,3.851701122154935,0.9310664798100136,-0.4239319224113153,91 days 01:10:49.180327869,0.005194901750727851,0.15801159491797212,0.31602318983594424,0.6086134374590442,0,8107,8108 days 00:00:00,1000.0,7492.3773090805635,649.2377309080563,1127.0156361130898,100.0,363.3013772844235,30.674066240579595,1339 days 00:00:00,61,0.0,39.40551612903228,-21.843971120866705,9.27616725903096,-3.9595301149465403,119 days 18:40:00,49 days 16:19:12,106.43241490296,0.6731602383147024,0.30936978890075184,1.129525649316636,-0.8017745540081058,15.946024665366643,0.9489805983690633,0.5960629921259842,-0.012624196253647128,None,None,0.0002801665131671835,0.07060196131813024,6.492377309080495,0.06459283972977059,0.12622473634495324,5554,5554,1.0,11742.281746031746
SPY,SMA,61,78,0,false,0,60,0.9037399576318108,58.333333333333336,3.155301256721113,3.9526169382989043,0.9407017844292357,-0.40916439795876186,92 days 16:47:59.999999999,0.005109739426945427,0.1554212409029234,0.3108424818058468,0.6143206293643295,0,8107,8108 days 00:00:00,1000.0,7658.809618727664,665.8809618727664,1127.0156361130898,100.0,357.90637652423715,31.983232055968298,1520 days 00:00:00,60,0.0,38.186167146974064,-21.843971120866716,9.593806490987934,-3.9450484354657376,124 days 00:00:00,48 days 21:07:12,110.98016031212774,0.6799724384700132,0.30009392110612787,1.1309725620662932,-0.8045553224300762,15.993434068147742,0.9528107681080294,0.5960629921259842,-0.012605096890624497,None,None,0.0002828412405138059,0.07127599260947909,6.65880961872764,0.06532004510009748,0.12615315787930728,5562,5562,1.0,11742.281746031746
SPY,SMA,61,74,0,false,0,69,0.8994692514937788,62.31884057971014,2.8337348866882133,3.282660414189417,0.9023763729605172,-0.4667853127595339,79 days 21:54:46.956521739,0.005876200340987241,0.17873442703836193,0.35746885407672385,0.5867244282916573,0,8107,8108 days 00:00:00,1000.0,7009.412899251562,600.9412899251562,1127.0156361130898,100.0,411.63927178501535,30.674066240579595,1516 days 00:00:00,69,0.0,37.60087096774195,-21.93053377714234,7.8004157890287615,-4.189011936506422,100 days 08:55:48.837209302,46 days 01:50:46.153846154,87.09294056886318,0.6543786961033593,0.2986789024965847,1.12645589312199,-0.8278884613824011,16.135344618434008,0.9464474929254196,0.5904276186739899,-0.012624196253647095,None,None,0.00027182978245069616,0.06850110517757543,6.009412899251577,0.062390395781187324,0.125983766484993,5514,5514,1.0,11742.281746031746
