Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
BTC-USD,EMA,12,16,0,false,false,1,67,1.468098484758873,46.96969696969697,2.5961521006257335,15.383249088451599,2.202700022648865,1.11741380526051,33 days 08:21:49.090909090,0.016819571865443424,0.5122324159021406,1.0168195718654434,7.879798845001965,0,3924,3925 days 00:00:00,1000.0,483402.0658500944,48240.20658500944,22782.60700159851,100.0,15696.144325473126,69.73385582105722,827 days 00:00:00,66,-26581.124141732755,210.71025640845198,-23.262488855774325,40.86155116727587,-7.183247038507037,59 days 13:56:07.741935484,10 days 02:44:34.285714285,7711.866515027685,1.4145951947779671,1.1138618657122843,1.3431402679564828,0.5465030848335025,10.594442854820635,1.1988729119478359,1.1203358208955225,-0.03510305506402924,,,0.001904261587781655,0.479873920120977,482.4020658500915,0.4871092134931658,0.40826404217673506,2208,133,3924,0.02612330198537095,
BTC-USD,EMA,11,17,0,false,false,1,68,1.4672298642092954,46.26865671641791,2.4735591925290454,15.781456627257615,2.251901199780098,1.4060448797299254,32 days 21:51:02.686567164,0.017074413863404688,0.5198776758409785,1.0321100917431192,8.204426992763898,0,3924,3925 days 00:00:00,1000.0,549159.7492309525,54815.974923095244,22782.60700159851,100.0,18568.33246256497,66.13956646733496,827 days 00:00:00,67,-30196.98197251279,251.6006587287988,-23.26248885577432,42.412443604885354,-7.150782159032936,59 days 08:30:58.064516129,10 days 03:20:00,8632.190017962166,1.4406313722897377,1.2064446224790457,1.3498080199655849,0.5729323819861603,10.590929730665469,1.2040646291055128,1.121042830540037,-0.03499106843013743,,,0.0019352877174396142,0.48769250479478277,548.1597492309511,0.4993365447746674,0.40741721419161697,2212,135,3924,0.02612330198537095,
BTC-USD,EMA,13,15,0,false,false,1,67,1.4665542974380927,46.96969696969697,2.5825380021136057,15.376782348948776,2.200773447553201,1.1070347966870382,33 days 09:05:27.272727272,0.016819571865443424,0.5122324159021406,1.0168195718654434,7.876486371403424,0,3924,3925 days 00:00:00,1000.0,481037.45711613813,48003.74571161381,22782.60700159851,100.0,15662.693337061035,69.73385582105725,827 days 00:00:00,66,-26451.099959495652,210.71025640845193,-23.26248885577434,40.878793379151766,-7.210713134945296,59 days 13:56:07.741935484,10 days 04:06:51.428571428,7674.0690466005135,1.4134173678295736,1.1127002853623749,1.3425303877506212,0.5461405516052154,10.58056865831184,1.2005642268477668,1.1182495344506516,-0.03510305506402927,,,0.0019031877390733652,0.47960331024648806,480.0374571161393,0.48664110067106425,0.4083738366083794,2210,133,3924,0.02612330198537095,
BTC-USD,EMA,13,16,0,false,false,1,67,1.4408561243841145,46.96969696969697,2.5559375982971253,14.877260683231036,2.117277017444078,0.6171690605627128,33 days 05:05:27.272727272,0.016819571865443424,0.5122324159021406,1.0168195718654434,7.620615181777365,0,3924,3925 days 00:00:00,1000.0,369433.2716194454,36843.327161944544,22782.60700159851,100.0,11397.172655886168,68.95277307837063,839 days 00:00:00,66,-3781.8665932946024,210.71025640845193,-23.262488855774308,40.63094385035803,-7.933144407652868,59 days 16:15:29.032258065,9 days 18:30:51.428571428,5639.623306253638,1.3685354386973452,1.0628492934821656,1.329823539641767,0.5019275874398726,10.57445419156732,1.1876201870317877,1.1197380729653883,-0.03514912965856098,,,0.0018324317802444175,0.4617728086215932,368.4332716194482,0.4616575150586266,0.4060864231116801,2201,133,3924,0.02612330198537095,
BTC-USD,EMA,12,17,0,false,false,1,69,1.4340977173724758,45.588235294117645,2.578204093042142,14.51511066998211,2.1309555227154893,0.6901040914486168,32 days 07:03:31.764705882,0.017329255861365953,0.5275229357798165,1.047400611620795,7.6570537937979015,0,3924,3925 days 00:00:00,1000.0,386049.77307267545,38504.977307267545,22782.60700159851,100.0,11841.137975125943,71.48918798253298,839 days 00:00:00,68,-3951.9687377709197,210.71025640845198,-23.26248885577433,40.835240043683456,-7.536889616091987,59 days 17:48:23.225806452,9 days 07:08:06.486486486,5720.6138501536225,1.3763718327709524,1.0350773076962034,1.33171160477819,0.5031415678559752,10.546621044950328,1.1938716723971408,1.1154562383612665,-0.035149129658561,,,0.0018440371647093765,0.4646973655067629,385.0497730726742,0.4657921287489597,0.40633159778659766,2205,137,3924,0.02612330198537095,
BTC-USD,EMA,13,14,0,false,false,1,75,1.4249524263746647,43.24324324324324,2.4406129990260235,13.840891885375546,2.1907932359695605,1.0036597245451175,29 days 20:25:56.756756755,0.018858307849133536,0.573394495412844,1.13914373088685,7.936291218678639,0,3924,3925 days 00:00:00,1000.0,457485.92069242534,45648.592069242535,22782.60700159851,100.0,15971.080064795142,69.42496003347752,827 days 00:00:00,74,-25156.05726598465,251.60065872879872,-23.262488855774325,41.01356204536659,-6.862094903189056,56 days 19:30:00,9 days 07:25:42.857142857,6508.675377816353,1.4044865632524823,1.1057374170024716,1.3392406577313078,0.5658148986325168,10.539913121266622,1.2111103119417075,1.1057957681692734,-0.03544951148348441,,,0.001889789476131068,0.4762269479850291,456.4859206924252,0.4818574145548171,0.4080773968328438,2216,149,3924,0.02612330198537095,
BTC-USD,EMA,11,18,0,false,false,1,71,1.4223760368672225,44.285714285714285,2.5405313831370657,14.167745884173224,2.1425779137228553,0.7515191112548725,31 days 10:37:42.857142856,0.01783893985728848,0.5428134556574923,1.0779816513761467,7.690443102265281,0,3924,3925 days 00:00:00,1000.0,400041.7156750885,39904.171567508856,22782.60700159851,100.0,12712.097135163534,71.48918798253298,829 days 00:00:00,70,-4095.203428223729,210.710256408452,-23.262488855774322,40.972044697111144,-7.138235223546661,59 days 10:50:19.354838710,9 days 04:18:27.692307692,5759.098844333033,1.3829662059118626,1.04314880505428,1.333142106136277,0.5041046131779822,10.53406613725204,1.198716943767536,1.1121408711770158,-0.03510305506402943,,,0.0018532419580569496,0.4670169734303513,399.04171567509076,0.46914649519761453,0.4064126889896709,2210,141,3924,0.02612330198537095,
BTC-USD,EMA,14,15,0,false,false,1,68,1.4166957267309876,46.26865671641791,2.430526911208961,14.49580010977619,2.086646695165624,0.47723634671283105,32 days 17:54:37.611940297,0.017074413863404688,0.5198776758409785,1.0321100917431192,7.536042870525848,0,3924,3925 days 00:00:00,1000.0,337552.9513563555,33655.29513563555,22782.60700159851,100.0,11352.930351519852,68.95277307837063,839 days 00:00:00,67,-3455.509636710747,210.71025640845193,-23.26248885577432,40.40656581111537,-7.816248133043664,59 days 17:01:56.129032258,9 days 12:40:00,5074.753149150241,1.350464662827437,1.0418463008251484,1.3244817108249285,0.498406053893554,10.530974290154766,1.184073382548831,1.1185807656395894,-0.03556241936866806,,,0.0018100957857324238,0.4561441380045708,336.5529513563543,0.45321279512246493,0.4065041982784135,2203,135,3924,0.02612330198537095,
BTC-USD,EMA,10,18,0,false,false,1,71,1.4101234129947648,42.857142857142854,2.4649261822283033,14.84540188056247,2.200683821056823,1.0819386689369448,31 days 13:42:51.428571428,0.01783893985728848,0.5428134556574923,1.0779816513761467,8.058283895412348,0,3924,3925 days 00:00:00,1000.0,475319.9049582152,47431.99049582152,22782.60700159851,100.0,15599.897945030472,69.20729923736275,827 days 00:00:00,70,-5675.212593971286,251.60065872879875,-23.262488855774315,43.501559484130134,-6.646716322113276,59 days 22:24:00,10 days 07:12:00,6857.073107888378,1.4109997827764464,1.1183144065675432,1.340657493287557,0.5624405750798869,10.502312088867601,1.2038102968772921,1.1136783733826248,-0.0354495114834844,,,0.0019000906065324535,0.47882283284617827,474.3199049582143,0.48550025887517845,0.4084078364625147,2218,141,3924,0.02612330198537095,
BTC-USD,EMA,12,15,0,false,false,1,74,1.4009876246642785,42.465753424657535,2.392279295260871,14.014268508808726,2.1866540759907127,0.9798602105564892,30 days 07:13:58.356164383,0.018603465851172275,0.565749235474006,1.1238532110091741,7.928561694585976,0,3924,3925 days 00:00:00,1000.0,452063.7709521057,45106.37709521057,22782.60700159851,100.0,15697.15990897763,69.42496003347752,825 days 00:00:00,73,-24857.9062121429,251.60065872879875,-23.262488855774315,42.28691772606622,-6.853639246786096,57 days 22:27:05.806451613,9 days 21:42:51.428571428,6519.475029647238,1.402054307304095,1.1029159483732673,1.3383158844549836,0.5654946699705876,10.530425529791042,1.2082635933576156,1.107635694572217,-0.03544951148348447,,,0.001886872333564104,0.4754918280581542,451.0637709521037,0.48072349746806253,0.40815430662610236,2219,147,3924,0.02612330198537095,
