TICKER,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW
CRWD,2,5,2,3
DLTR,17,41,13,44
MSFT,14,18,58,73
NVDA,3,41,4,32
TSLA,15,16,,
FTNT,11,13,,
