Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%]
TEM,EMA,4,6,0,true,false,1,11,1.40818771027678,50.0,2.585520188693578,8.650315915833469,2.4698813887419693,0.4565707729487266,11 days 07:12:00,0.029254701648479223,0.978813559322034,1.8686440677966103,8.467046510836997,0,236,237 days 00:00:00,1000.0,1927.139060957455,92.71390609574551,63.65218073684991,100.0,28.37603117810123,50.01279801407848,120 days 00:00:00,10,-1.9271390609571881,42.68318054792635,-15.63552901324102,26.030302897242553,-8.729671065575616,17 days 09:36:00,5 days 04:48:00,92.90662000184128,1.4455760216466946,3.4922394803177332,1.3242962549425392,1.1815655575698403,5.61571724030561,1.3677158042849167,0.3465909090909091,-0.09133098775340869,None,None,0.00437095524818703,1.1014807225431316,0.9271390609574568,1.0088408255896457,0.9170270085631469,114,113,341.8253968253968,
TEM,EMA,3,7,0,true,false,1,13,1.2556800831093287,41.66666666666667,2.5185115665341793,7.275583257467566,2.481753895578437,0.4689566395447036,9 days 11:59:59.999999999,0.03510564197817507,1.1567796610169492,2.2245762711864407,8.416246734273921,0,236,237 days 00:00:00,1000.0,1935.0229351489515,93.50229351489516,63.65218073684991,100.0,32.49083113459888,50.012798014078484,120 days 00:00:00,12,-1.9350229351487087,42.683180547926355,-15.635529013241031,26.907780815251144,-6.747414998092138,16 days 09:36:00,4 days 13:42:51.428571428,78.07982984034169,1.450487016973882,3.5268780028660847,1.3242981260304114,1.1780732244976806,5.552360167627906,1.432847152754215,0.3465909090909091,-0.09133098775340857,None,None,0.00439464750148923,1.107451170375286,0.9350229351489516,1.017580203122089,0.9188759873495279,115,114,341.8253968253968,
TEM,EMA,3,4,0,true,false,1,18,1.2206284033451513,35.294117647058826,2.5554386868941212,7.743233485496134,2.902807179343901,0.9170701394881869,6 days 16:56:28.235294116,0.04973299280241467,1.6016949152542375,3.1144067796610173,12.402297701345503,0,236,237 days 00:00:00,1000.0,2220.256950039201,122.02569500392013,63.65218073684991,100.0,46.34488227499047,52.89547492956269,119 days 00:00:00,17,-2.220256950039129,117.9463097933422,-15.635529013241037,32.86890286392178,-5.961677084554222,11 days 20:00:00,3 days 21:49:05.454545454,71.91042394054358,1.6217367378707435,4.567087414789972,1.381802165370917,1.5628353517651825,7.984604651525606,1.6083271105136896,0.3465909090909091,-0.08516097637033421,None,None,0.005032344876398763,1.2681509088524883,1.2202569500392024,1.335218345329781,0.9411021033280067,115,114,341.8253968253968,
TEM,EMA,2,5,0,false,false,1,20,1.1688667490279452,31.57894736842105,2.500841517737297,7.312217057988179,3.205138163256625,1.3583869432722413,6 days 02:31:34.736842104,0.05558393313211052,1.7796610169491527,3.4703389830508478,13.013267645572185,0,236,237 days 00:00:00,1000.0,2501.164719605917,150.1164719605917,63.65218073684991,100.0,56.53745552061446,48.97127225731672,113 days 00:00:00,19,123.30932821846181,117.94630979334222,-15.635529013241017,34.25265679441072,-5.121832051129915,11 days 16:00:00,3 days 12:55:23.076923076,72.51870480986608,1.7792196522156547,6.33774192651193,1.418889669017664,1.5229152170982085,7.641984789707138,1.6666323096397964,0.3620689655172413,-0.08516097637033422,None,None,0.005562627067557252,1.4017820210244274,1.5011647196059172,1.6505815671597488,0.9481937327678233,118,117,341.8253968253968,
TEM,EMA,2,6,0,true,false,1,19,1.1566357971228594,33.33333333333333,2.235586613002295,7.303569317220806,2.8707436429233315,0.8739360371780236,6 days 07:59:59.999999999,0.0526584629672626,1.690677966101695,3.2923728813559325,12.347983718521617,0,236,237 days 00:00:00,1000.0,2192.8011532775186,119.28011532775184,63.65218073684991,100.0,50.59394860937515,52.895474929562724,119 days 00:00:00,18,-2.192801153277287,117.9463097933422,-15.635529013241031,34.25265679441072,-6.1709744213741455,11 days 16:00:00,3 days 16:00:00,66.38855302393311,1.6049665513437943,4.444515331119708,1.3774649836075754,1.5660517959909983,8.008730968181386,1.6258603085204173,0.3465909090909091,-0.08516097637033425,None,None,0.004978230505123744,1.2545140872911835,1.1928011532775193,1.3045253088654087,0.9407099085652812,115,114,341.8253968253968,
TEM,EMA,4,7,0,true,false,1,12,1.1255295532793361,45.45454545454545,1.6121551386078807,5.201735676771194,1.7845223565486823,-0.26699156219555176,10 days 06:32:43.636363636,0.03218017181332714,1.0677966101694916,2.0466101694915255,5.554395722653987,0,236,237 days 00:00:00,1000.0,1466.5758556476476,46.657585564764744,63.65218073684991,100.0,28.991706194217016,50.012798014078484,133 days 00:00:00,11,-1.466575855647534,42.68318054792635,-15.635529013241015,23.15744233591462,-9.761353205848328,17 days 14:24:00,4 days 04:00:00,42.54931195484501,1.0641029428702982,1.6066457801893836,1.231442345850409,1.2231650249687798,6.076924545524765,1.3775456750191009,0.3314606741573034,-0.09114947204228496,None,None,0.003169896369776179,0.7988138851835971,0.46657585564764914,0.5025541561543516,0.9034583224067556,114,113,341.8253968253968,
TEM,EMA,5,6,0,true,false,1,12,1.1255295532793361,45.45454545454545,1.6121551386078807,5.201735676771194,1.7845223565486823,-0.26699156219555176,10 days 06:32:43.636363636,0.03218017181332714,1.0677966101694916,2.0466101694915255,5.554395722653987,0,236,237 days 00:00:00,1000.0,1466.5758556476476,46.657585564764744,63.65218073684991,100.0,28.991706194217016,50.012798014078484,133 days 00:00:00,11,-1.466575855647534,42.68318054792635,-15.635529013241015,23.15744233591462,-9.761353205848328,17 days 14:24:00,4 days 04:00:00,42.54931195484501,1.0641029428702982,1.6066457801893836,1.231442345850409,1.2231650249687798,6.076924545524765,1.3775456750191009,0.3314606741573034,-0.09114947204228496,None,None,0.003169896369776179,0.7988138851835971,0.46657585564764914,0.5025541561543516,0.9034583224067556,114,113,341.8253968253968,
TEM,EMA,4,5,0,true,false,1,14,1.1113729329591202,38.46153846153847,1.91229780735899,6.094739246644943,2.2256179645081793,0.173726255082471,8 days 20:18:27.692307691,0.03803111214302299,1.2457627118644068,2.402542372881356,7.592598892006836,0,236,237 days 00:00:00,1000.0,1747.1023572409545,74.71023572409544,63.65218073684991,100.0,33.64995564873986,45.97757214841325,63 days 00:00:00,13,-1.747102357240692,42.68318054792636,-15.635529013241017,28.742678521157206,-8.060222799925224,16 days 04:48:00,4 days 06:00:00,57.60380458447653,1.3075499509550101,2.961259000699966,1.2878948588653025,1.185733038937128,5.555574699179143,1.4356860721777143,0.3465909090909091,-0.0913309877534087,None,None,0.003967028254666495,0.9996911201759568,0.7471023572409548,0.8099015588440324,0.9201395698043727,116,115,341.8253968253968,
TEM,EMA,3,6,0,true,false,1,15,1.0637864342697243,35.714285714285715,1.828822070707865,5.777824038024842,2.1854256825928156,0.13317529792910743,8 days 05:08:34.285714284,0.04095658230787091,1.3347457627118644,2.580508474576271,7.711926152448411,0,236,237 days 00:00:00,1000.0,1721.290788703173,72.12907887031729,63.65218073684991,100.0,34.314255819573255,45.97757214841328,63 days 00:00:00,14,-1.7212907887030724,44.169190296744254,-15.635529013241017,30.725427056893178,-8.081955416902012,16 days 00:00:00,3 days 21:20:00,51.643719963705436,1.2866517631349028,2.8448610975250004,1.2824409439641582,1.1794253422544114,5.527516162578449,1.450629920221753,0.3465909090909091,-0.09133098775340871,None,None,0.003908427613689757,0.9849237586498187,0.721290788703173,0.7814831891752454,0.9212717543195802,116,115,341.8253968253968,
TEM,EMA,3,5,0,true,false,1,17,0.9911988883018709,31.25,1.7374144078944063,5.10767639448609,2.1941475213152626,0.1358790632023787,7 days 05:59:59.999999999,0.046807522637566754,1.5127118644067798,2.936440677966102,7.7264426814895515,0,236,237 days 00:00:00,1000.0,1723.0117942616157,72.30117942616157,63.65218073684991,100.0,40.31779927217252,45.977572148413266,63 days 00:00:00,16,-1.723011794261538,44.16919029674428,-15.635529013241033,31.903077281590843,-7.072051281470617,15 days 00:00:00,3 days 17:27:16.363636363,45.29592537849235,1.2856239942192855,2.8525928719849056,1.2804470677409119,1.1813003927501184,5.31130439096232,1.5113473586450108,0.3465909090909091,-0.0913309877534086,None,None,0.003942446768151981,0.9934965855742992,0.7230117942616152,0.7833771704821846,0.9300334555038027,117,116,341.8253968253968,
