Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
QCOM,true,61,88,51,50.0,1.296970969462577,0.005975857535556352,38.66669627458258,22.879701937622826,0.12800286841161707,0.2534958766583005,4.949448035147357,0.894311534822043,0,0,8367,8368 days 00:00:00,1000.0,35993.25487460825,3499.3254874608247,27451.99924045123,100.0,3537.0659466639154,70.64674577064149,2101 days 00:00:00,50,1,-35.99325487460737,1722.4658536585366,-28.28993229163131,89.96706827298235,-12.633675723817191,136 days 20:09:36,52 days 13:26:24,700.5849625896572,0.5733611441896724,0.23946831365279184,1.1276995219692942,1.4159630474102336,23.49346021635445,1.1479057420728376,0.3891102257636122,-0.03178970620787088,None,None,0.0006831214076421534,0.17214659472582267,34.99325487460864,0.11394864004288707,0.36134024937359177,-0.8725293026270933,94 days 16:48:00,true
BIDU,true,76,81,62,50.81967213114754,1.0993995473379936,0.012378246753246754,11.577753915081345,8.494920032367377,0.26420454545454547,0.5241477272727273,3.058895210518651,0.663997070807072,0,0,4928,4929 days 00:00:00,1000.0,3756.4423905122635,275.64423905122635,655.5899994163201,100.0,956.445529337833,82.93318235274259,1556 days 00:00:00,61,1,-3.756442390511893,692.709886718818,-29.790706768939764,33.52492058429008,-11.10098497643435,54 days 17:01:56.129032258,30 days 12:00:00,45.249161195127556,0.44385206404267363,0.12415834846239156,1.095101109900866,0.41386058956939853,11.749982175100586,1.1532704529210067,0.3578512396694215,-0.03117725146825992,None,None,0.0004924573240499648,0.12409924566059112,2.756442390512254,0.07000554659057356,0.3364937946019403,-0.5795478282209371,42 days 19:16:43.278688524,true
AMGN,true,47,88,66,47.69230769230769,1.2898178194825536,0.006182233212859045,11.064540721729337,8.118361239612057,0.1318242343541944,0.26165113182423433,1.4585746091227754,0.761085722949018,0,0,10514,10515 days 00:00:00,1000.0,27219.901276128287,2621.9901276128285,95131.99573863707,100.0,3045.607802601762,67.46568313079658,6320 days 00:00:00,65,1,-27.21990127612662,281.5586804302155,-40.67988954879827,35.43285888030903,-11.153631716975678,144 days 22:27:05.806451614,54 days 04:14:07.058823530,403.8018642677598,0.5036884594437085,0.18012584244231117,1.1047153737580924,0.6412456424279875,13.56862526464749,1.1314831987934915,0.4093285082428628,-0.025721881745760098,None,None,0.0004769829726764512,0.1201997091144657,26.219901276128233,0.08240091612082079,0.28720207818869725,-0.9724383988031072,97 days 11:04:36.923076924,true
NTES,true,58,60,149,50.0,1.2289854567288592,0.02384020618556701,8.666717072300198,6.666705440230921,0.5040270618556701,1.0046713917525774,4.368259941885844,0.7567852701350243,0,0,6208,6209 days 00:00:00,1000.0,8245.168774899463,724.5168774899463,16790.722233304838,100.0,1838.3619673600767,78.91449467040222,4979 days 00:00:00,148,1,-8.245168774898048,1176.400018378099,-58.72727136030669,25.057850589788067,-7.724416445187673,31 days 03:34:03.243243243,17 days 05:50:16.216216216,49.00955367347544,0.49658759021858123,0.16731240668371564,1.1141699171319361,0.8743922153652195,25.78614958030152,1.1852075964121642,0.40443338611173946,-0.03425681249747198,None,None,0.0006945628752862582,0.17502984457213708,7.245168774899408,0.08939430378505908,0.4241919345126565,-0.9568501659772056,24 days 04:42:09.729729729,true
CI,true,21,88,71,52.85714285714286,2.5125618695022967,0.00646830530401035,6.888936955560805,5.601992689137358,0.13777490297542044,0.27360931435963776,0.9491226206561781,0.8711720386723206,0,0,10822,10823 days 00:00:00,1000.0,38376.84561149324,3737.6845611493245,5527.023540523047,100.0,1474.6142568424423,67.5587801552421,1194 days 00:00:00,70,1,-38.37684561149217,64.31263273495732,-22.295086181479103,19.242529247903878,-6.962060463126883,149 days 14:16:12.972972972,33 days 14:32:43.636363636,534.503177958639,0.5992772288856243,0.1937483399959246,1.1232565053050132,-0.015362387056780683,17.571030003928076,1.0429527905978286,0.4550954557676795,-0.019457488921841338,None,None,0.0004320880478376612,0.10888618805509062,37.376845611493025,0.0886369457151488,0.21867099447939736,-0.3237436870414323,94 days 21:56:34.285714285,true
IDXX,true,85,88,125,54.83870967741935,1.8062971497292013,0.01460713865001767,5.057273227818711,4.266682127688242,0.30922370126045473,0.6159736129108258,1.5638287457915088,1.0088360190026218,0,0,8489,8490 days 00:00:00,1000.0,63535.911150771455,6253.591115077145,46073.0687805333,100.0,4748.442448604884,67.15782685294985,2005 days 00:00:00,124,1,-63.53591115076415,174.74674743749182,-23.502270013925433,14.756402902398023,-6.7202413770275955,60 days 21:52:56.470588235,25 days 22:17:08.571428571,504.8342504993725,0.6803032952674183,0.2909634192201429,1.1411765523948292,0.35377454163394967,12.354749218990271,1.016677468874328,0.5253323751347467,-0.027170984939194887,None,None,0.0006609139247994333,0.1665503090494572,62.5359111507718,0.13114213338486191,0.29463818470812214,-0.8642679708428843,45 days 02:42:34.838709677,true
PFE,true,57,88,87,46.51162790697674,1.3103777278392772,0.006464707208900248,4.527770023554254,3.2399069935987503,0.13733744268210177,0.273096294069007,0.6218323560876209,0.5758115851256916,0,0,13303,13304 days 00:00:00,1000.0,10726.607766660562,972.6607766660562,3167.324461687795,100.0,1391.042028212635,66.72620723243985,6518 days 00:00:00,86,1,-10.726607766659072,120.35526054076453,-22.300616442547557,17.02809071381198,-6.342074054930726,136 days 09:00:00,44 days 19:18:15.652173913,113.22481830729345,0.394473039933972,0.10080318579640733,1.0788987759256967,0.11167053237122883,7.146404016964443,1.0928661076048278,0.35368335368335374,-0.01904748360224775,None,None,0.0002539730596370449,0.06400121102853532,9.726607766660571,0.04596868011905153,0.1952616822910236,-0.6929077559209872,87 days 09:29:18.139534884,true
QQQ,true,39,54,66,58.46153846153847,2.2553417187240608,0.009938837920489297,3.415033596093153,3.071509506545321,0.21192660550458714,0.42064220183486234,0.7237364777041452,0.8070271594274754,0,0,6540,6541 days 00:00:00,1000.0,6000.721767904744,500.0721767904745,825.7870472192458,100.0,354.0134514831882,47.30585511312418,3017 days 00:00:00,65,1,-6.000721767903997,52.723814328960664,-17.894693217023104,9.86051604015018,-5.65638613998711,87 days 17:03:09.473684211,31 days 01:46:40,77.02649984111767,0.5746098903845507,0.2222983247766664,1.1158313991917734,-0.17615431447145743,13.016126362362627,0.9405980342268349,0.5372502937720328,-0.01741228916881793,None,None,0.00033679182182786864,0.0848715391006229,5.0007217679047455,0.07147301612449697,0.1777604507475569,-0.3944296190229468,64 days 04:25:50.769230769,true
SPY,true,39,65,67,46.96969696969697,1.7338812680847935,0.008166295471417966,2.350565910177424,1.6985441308974394,0.174090571640683,0.3455827765404603,0.4092113629818901,0.6123046257463782,0,0,8082,8083 days 00:00:00,1000.0,3345.3026075097814,234.53026075097813,1175.8577913851382,100.0,253.85394456086513,46.32577292559079,3483 days 00:00:00,66,1,-3.3453026075094385,37.8351699109205,-17.424137931034473,10.39210262904871,-4.7719380408228576,130 days 11:36:46.451612902,38 days 20:34:17.142857142,35.58557439571652,0.4471838316159307,0.12097620196239244,1.084037753781682,-0.6745924546597054,9.21361919850848,0.9400960362172769,0.5616306027820711,-0.01248550241288892,None,None,0.00017862641146852799,0.04501385569006905,2.3453026075098036,0.03836510104393942,0.12114522010579581,-0.8005453869768503,81 days 21:27:16.363636361,true
ZTS,true,12,45,38,45.94594594594595,2.5409811361517414,0.012159053565560303,4.096937373676797,1.6484718426628533,0.2622412093328952,0.5175813342096616,1.0743858114341387,1.2574851650495262,0,0,3043,3044 days 00:00:00,1000.0,3656.6642726267846,265.6664272626785,454.01483967661295,100.0,169.73001920449616,21.889086161583414,680 days 00:00:00,37,1,-3.6566642726265854,38.250509578171744,-8.795672808128261,12.608812244012487,-3.1381562661085396,80 days 09:52:56.470588235,25 days 06:00:00,71.90056586214624,0.8434572070373761,0.7684343862400296,1.1712964493063724,0.3174932227720193,14.419266169604786,1.0617083509306253,0.48487804878048785,-0.01724692024726491,None,None,0.0004866530441208388,0.12263656711845138,2.6566642726267737,0.11330831858800039,0.1749859152808535,-0.41485078449878826,50 days 14:16:12.972972973,true
