Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
BTC-USD,SMA,11,36,0,false,53,6.560208262511113,52.83018867924528,3.068159758746415,19.290687236028802,2.2298802404772204,1.9001114864139685,40 days 12:13:35.094339621,0.013744813278008298,0.41234439834024894,0.8246887966804979,7.954406821910216,0,3856,3857 days 00:00:00,1000.0,483786.0121190539,48278.60121190539,16647.153544984096,100.0,12794.32557524469,56.86020362672907,731 days 00:00:00,53,0,0.0,222.4912061437157,-18.251507913216162,43.10343527569783,-7.37959056840051,60 days 12:51:25.714285714,18 days 01:55:11.999999999,9109.170039982146,1.4349890613150593,1.3981129108064445,1.3505080522882584,0.4898899941866026,10.944861306746748,1.1683784676285203,0.44025392083644505,-0.035135198735875,None,None,0.00193310890594286,0.4871434442976007,482.78601211905044,0.49762763691074463,0.4085586725151647,3856.0
BTC-USD,SMA,8,44,0,false,47,6.532117502142258,48.93617021276596,2.7899720615634376,25.15650890162877,2.3401943567644867,3.3395068458544452,45 days 07:39:34.468085105,0.012188796680497925,0.36566390041493774,0.7313278008298755,9.198827165792677,0,3856,3857 days 00:00:00,1000.0,723404.3677244858,72240.43677244858,16647.153544984096,100.0,15973.231441787671,53.60574920633759,755 days 00:00:00,47,0,0.0,357.662545496104,-19.792472298596227,59.50599606533389,-7.761749630255306,75 days 02:05:13.043478260,16 days 19:00:00,15370.305696265656,1.4952978626844557,1.6129389138389272,1.3688921300106998,0.5354024610580521,10.669073907674086,1.1726686847531922,0.4364990689013036,-0.03553754277762509,None,None,0.002048505288762417,0.5162233327681292,722.4043677244822,0.5375166217118719,0.41548569864270224,3856.0
BTC-USD,EMA,5,68,0,false,42,5.8065000748148625,42.857142857142854,3.404302257045387,26.79514173734742,2.155810302198474,1.6678916294089936,53 days 09:08:34.285714285,0.010892116182572614,0.32676348547717843,0.6535269709543569,8.755673907950662,0,3856,3857 days 00:00:00,1000.0,445128.01596149325,44412.80159614932,16647.153544984096,100.0,11947.66612708756,60.73733099174874,736 days 00:00:00,42,0,0.0,357.96391275742644,-13.451918910389582,70.41813507153536,-5.922103263293529,109 days 14:40:00,11 days 05:00:00,10574.476570511742,1.3903020289790369,1.2856657688624527,1.3325164022047549,0.47320630357148347,10.503907351940722,1.175426669710706,0.4587745839636914,-0.03680877231989307,None,None,0.0019329999247589263,0.4871159810392494,444.1280159614958,0.4895008576893489,0.4216667757858599,3856.0
BTC-USD,SMA,3,47,0,false,62,5.15610849959066,43.54838709677419,2.6709019478687686,18.931102111534063,2.286578128197641,2.68144294657499,34 days 17:25:09.677419354,0.016078838174273857,0.4823651452282158,0.9647302904564315,9.131703819360311,0,3856,3857 days 00:00:00,1000.0,613855.4599873254,61285.54599873254,16647.153544984096,100.0,18467.67079749599,59.404739460533705,756 days 00:00:00,62,0,0.0,409.7899392895237,-21.15388110539338,51.40198660542248,-6.1178659266084265,67 days 02:40:00,9 days 17:49:42.857142857,9884.765483666535,1.4675034000452878,1.407087039058467,1.3597167317947225,0.5045248404400623,10.79319029017548,1.1785740305944141,0.44402845376263567,-0.03502055497117796,None,None,0.002003851168928166,0.5049704945698977,612.8554599873224,0.5211092245333244,0.41412652554653895,3856.0
MSTR,SMA,6,84,0,false,63,4.8794585444836205,44.44444444444444,2.202033597221742,33.59956450150893,1.4138631738234344,30.72528079760304,58 days 03:48:34.285714284,0.006445745466947081,0.19605809128630708,0.39211618257261416,6.587466484217001,0,6748,6749 days 00:00:00,1000.0,683975.8286908447,68297.58286908446,2152.7810361963634,100.0,16221.938335669834,88.73526736933606,2382 days 00:00:00,63,0,0.0,968.2606217616581,-43.82149374097277,89.33300825536105,-10.987190501572767,105 days 23:08:34.285714286,19 days 21:56:34.285714285,10840.886169695945,0.8925505551274792,0.4771420843570842,1.2354615247413216,0.414821576255978,39.837576681386686,1.246187180951774,0.3756624541377905,-0.03851074880977433,None,None,0.0014804420108352385,0.3730713867304801,682.9758286908467,0.2760191849189393,0.5030431955391421,9773.888888888889
BTC-USD,SMA,76,78,0,false,61,4.810950229123455,57.377049180327866,2.226202437974096,25.937894200106125,1.8038488384335178,0.3940977096969907,37 days 12:59:00.983606556,0.015819502074688796,0.4745850622406639,0.9491701244813278,12.30973713334912,0,3856,3857 days 00:00:00,1000.0,233077.5863003647,23207.758630036467,16647.153544984096,100.0,10027.873001062346,64.3271929581157,1302 days 00:00:00,61,0,0.0,996.8003042619595,-33.28289019687436,50.27243223385051,-6.8201377683959254,48 days 22:37:42.857142857,22 days 04:36:55.384615384,3804.550595087946,1.2035517738194779,1.049497929546247,1.2829578066810934,-0.07968960060566188,16.02125737150201,1.1484541656580773,0.47382499044707677,-0.03978754125522828,None,None,0.0018485360123507964,0.4658310751124007,232.07758630036594,0.42784948454531824,0.46581110831712974,3856.0
BTC-USD,SMA,26,38,0,false,54,4.333423919626203,55.55555555555556,3.049770578449054,17.55393370088598,2.064412257443776,0.7346629580398417,40 days 06:40:00,0.014004149377593362,0.42012448132780084,0.8402489626556017,7.374837291347326,0,3856,3857 days 00:00:00,1000.0,289772.00611285545,28877.20061128555,16647.153544984096,100.0,7544.510742377268,67.09803713121846,817 days 00:00:00,54,0,0.0,267.5713900491202,-25.20796837568079,38.11385336508345,-8.145965879360856,53 days 22:24:00,23 days 05:00:00,5347.629742830657,1.3254324530291397,1.0581297270821228,1.318662547854422,0.5703596536294153,10.474468559361224,1.1627396114527173,0.44294799850355404,-0.0359050583710759,None,None,0.0018077906538393625,0.45556324476751936,288.77200611285457,0.44830593724847945,0.41365401057893314,3856.0
BTC-USD,SMA,104,105,0,false,74,4.312223517942268,59.45945945945946,2.613275778287028,15.749016967236047,1.7861321952536784,0.3140451964648614,31 days 07:08:06.486486486,0.019190871369294607,0.5757261410788381,1.1514522821576763,9.067120764331955,0,3856,3857 days 00:00:00,1000.0,219751.12150599342,21875.11215059934,16647.153544984096,100.0,13390.384080206775,64.62311387272726,1049 days 00:00:00,74,0,0.0,635.637382729637,-23.814704618803713,29.780735254667917,-4.830836520997361,43 days 07:05:27.272727273,13 days 16:48:00,2956.096236567479,1.1910017927404064,1.0302899673953734,1.2799211808673296,-0.0711540745461963,15.797342431675371,1.1682226951070922,0.47891104294478526,-0.04108138788740811,None,None,0.0018367117919281548,0.462851371565895,218.75112150599384,0.42236753888015843,0.4677085419198642,3856.0
MSTR,SMA,52,90,0,false,38,4.244942853793268,60.526315789473685,2.8770109087309574,30.51898501049582,1.1368949110153512,3.743765752580964,98 days 22:06:18.947368421,0.003887909964190303,0.11825726141078839,0.23651452282157678,3.6090915883781367,0,6748,6749 days 00:00:00,1000.0,103122.8895231407,10212.28895231407,2152.7810361963634,100.0,1363.0494079426817,92.58642735845723,2380 days 00:00:00,38,0,0.0,548.5691315957581,-38.37834262845191,61.1965040519,-16.519877519657257,129 days 18:46:57.391304348,51 days 14:24:00,2687.444461135282,0.7200271476992176,0.30776717630979544,1.1840570741136884,0.7167266051108082,40.43789527176235,1.1973114443463049,0.38497845269854297,-0.03958076756589811,None,None,0.001211661595742681,0.3053387221271556,102.12288952314006,0.18898504829949414,0.510362991364181,9773.888888888889
BTC-USD,SMA,27,29,0,false,139,4.0474108982521955,52.17391304347826,1.8875320472596608,7.2897406507863,2.2942299496918173,2.3060550532689343,15 days 18:05:13.043478260,0.03578838174273859,1.0814315352697095,2.155082987551867,7.883355423697839,0,3856,3857 days 00:00:00,1000.0,551364.0609993853,55036.406099938526,16647.153544984096,100.0,47449.9962861095,64.84165645822193,752 days 00:00:00,138,1,-50376.726327317185,217.46231727195834,-24.03378449670691,18.66673755979252,-5.1215287044932145,21 days 18:00:00,9 days 05:05:27.272727272,4353.194111063061,1.4454549627437088,1.2604828223274056,1.3480644949047502,0.7040211052984106,9.752700600798345,1.283275560495335,0.44402845376263567,-0.03585865344276369,None,None,0.0019751419495465826,0.4977357712857388,550.3640609993837,0.5104764071559167,0.41441975634519673,3856.0
