TICKER,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW
CRWD,2,4,3,12
LOW,9,53,2,3
FSLR,14,17,5,32
LRCX,80,86,2,67
AMD,2,24,5,12
MSFT,70,76,74,82
NVDA,2,43,3,35
PPG,85,87,2,59
PLD,15,28,11,19
QCOM,61,65,4,13
HST,28,35,66,87
MCD,8,86,11,61
WBA,36,79,10,11
CHRW,22,26,10,39
