Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration
XMR-USD,false,15,16,47,40.42553191489361,1.102708709175709,17.59640584050917,20.68202221518115,9.021084069982596,0.5278921752152752,2,10.917877695022622,0.6664648800992546,0,0,2671,2672 days 00:00:00,1000.0,1972.0550441135144,97.20550441135144,75.82208337681324,100.0,255.00703264683352,83.58899998803398,1394 days 00:00:00,47,0,0.0,160.51218515722215,-37.70441527686803,26.519753218088482,-10.784023988290603,56 days 13:53:41.052631579,13 days 12:51:25.714285714,0.46920346766214155,0.11628527029430481,1.1027799695974467,0.28202101659840906,30 days 22:28:05.106382978
XMR-USD,true,10,13,139,45.32374100719424,1.030511582015598,52.04043429427181,1.8510341084761919,1.2711483413342064,1.5612130288281543,4,2.889858566958338,0.5513961291002237,0,0,2671,2672 days 00:00:00,1000.0,1257.2937410781933,25.729374107819332,75.82208337681324,100.0,352.55068876361355,87.61450911031736,1394 days 00:00:00,139,0,0.0,133.0577743730126,-34.863309750867785,12.329802127215823,-7.82680701969793,15 days 01:31:25.714285714,6 days 16:25:15.789473684,0.3862555062132967,0.0362620477453276,1.0834221845167284,-0.6606612089521204,10 days 11:34:06.043165467
