Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration
BTC-USD,true,8,44,47,48.93617021276596,2.7899720615634376,0.012294009939837824,15370.305696265656,8115.634320801426,0.3688202981951347,0.7376405963902694,5668.880730247076,2.350270261378136,0,0,3823,3824 days 00:00:00,1000.0,723404.3677244858,72240.43677244858,19735.606713795038,100.0,15973.231441787671,53.60574920633759,755 days 00:00:00,47,0,0.0,357.662545496104,-19.792472298596227,59.50599606533389,-7.761749630255306,75 days 02:05:13.043478260,16 days 19:00:00,1.5017740191681812,1.6316921375493607,1.3688921300106998,2.660411246539133,45 days 07:39:34.468085105
BTC-USD,true,11,36,52,51.92307692307693,3.0568881285805696,0.01360188333769291,9233.745983158402,5723.396270552729,0.4080565001307873,0.8161130002615746,3767.890068984333,2.2378377587142104,0,0,3823,3824 days 00:00:00,1000.0,481154.7911242368,48015.47911242369,19735.606713795038,100.0,11829.381175836057,56.86020362672907,731 days 00:00:00,52,0,0.0,222.4912061437157,-18.251507913216162,44.679584646533364,-7.37959056840051,62 days 17:46:40,18 days 01:55:11.999999999,1.4401487993470823,1.4124385005153852,1.350267120137198,1.4329365602356292,41 days 06:27:41.538461538
BTC-USD,false,11,17,65,46.15384615384615,2.378866666305602,0.017002354172116138,7773.766987492902,5353.834013424864,0.5100706251634841,1.0201412503269682,3965.1701871857595,2.261139882727071,0,0,3823,3824 days 00:00:00,1000.0,506294.85418703867,50529.485418703865,19735.606713795038,100.0,15943.304114169496,66.13956646733496,827 days 00:00:00,65,0,0.0,251.6006587287988,-23.26248885577432,43.137720251260895,-7.208032850825771,59 days 16:00:00,10 days 08:13:42.857142857,1.4477495845650858,1.2275589816559251,1.3509828145354752,1.5603208531402353,33 days 02:35:04.615384615
BTC-USD,true,10,35,57,50.877192982456144,2.9796820218051616,0.014909756735547999,7504.198705371619,4995.908229012327,0.44729270206643995,0.8945854041328799,3356.573315769152,2.2207208476043525,0,0,3823,3824 days 00:00:00,1000.0,428739.3262061823,42773.93262061823,19735.606713795038,100.0,11182.924531662136,50.37449847153977,962 days 00:00:00,57,0,0.0,227.45783591841806,-17.858532736465808,40.39360661176371,-7.031639196592905,61 days 04:08:16.551724138,13 days 08:34:17.142857143,1.4209705730327666,1.5550992952258285,1.343422901296498,1.1673482473036707,37 days 16:25:15.789473683
BTC-USD,false,5,68,42,42.857142857142854,3.404302257045387,0.010986136541982735,10574.476570511742,4369.618417566835,0.3295840962594821,0.6591681925189642,3485.1793039091804,2.16509232567968,0,0,3823,3824 days 00:00:00,1000.0,445128.01596149325,44412.80159614932,19735.606713795038,100.0,11947.66612708756,60.73733099174874,736 days 00:00:00,42,0,0.0,357.96391275742644,-13.451918910389582,70.41813507153536,-5.922103263293529,109 days 14:40:00,11 days 05:00:00,1.396318444345334,1.300304825914591,1.3325164022047549,1.2503894732106267,53 days 09:08:34.285714285
BTC-USD,true,27,29,137,52.55474452554745,1.9830965068323143,0.0358357311012294,4623.055913117275,3681.265491533331,1.075071933036882,2.150143866073764,4970.117657052577,2.3529632348933487,0,0,3823,3824 days 00:00:00,1000.0,634358.6600970665,63335.866009706646,19735.606713795038,100.0,45612.78857281152,64.84165645822193,752 days 00:00:00,137,0,0.0,217.46231727195834,-24.03378449670691,18.66673755979252,-5.121136716157977,21 days 18:00:00,9 days 07:23:04.615384615,1.4798402388513128,1.312926582449746,1.356802369007836,2.209218086284389,15 days 20:19:16.204379561
BTC-USD,true,74,77,55,61.111111111111114,2.2751100305857044,0.014125032696834947,4737.237601793195,3588.816364994845,0.4315982212921789,0.8553492021972273,2044.5833227723701,1.8157338628020936,0,0,3823,3824 days 00:00:00,1000.0,256554.27622061194,25555.427622061194,19735.606713795038,100.0,8488.43015479372,64.51968918240847,1302 days 00:00:00,54,1,-256.5542762205878,900.674101232926,-35.66099729122741,51.75489397651604,-9.332338793140119,58 days 13:05:27.272727273,17 days 04:34:17.142857142,1.2147310656857704,1.0819492005502145,1.286107993477717,0.29488938407949455,42 days 11:06:39.999999999
BTC-USD,true,12,21,91,47.25274725274725,1.7850898175596865,0.023803295840962593,4908.01919226718,3513.8998546035423,0.7140988752288778,1.4281977504577557,3504.810984799739,2.232362921891001,0,0,3823,3824 days 00:00:00,1000.0,447629.7464963134,44662.974649631346,19735.606713795038,100.0,23344.88869618496,74.60946590642689,1474 days 00:00:00,91,0,0.0,279.9719701589274,-23.518263900830256,31.56679282154205,-6.758474170160376,37 days 15:37:40.465116279,11 days 10:30:00,1.4306510636860124,1.0598228118120898,1.3435796903256094,1.2630657013656574,23 days 19:46:48.791208790
BTC-USD,false,7,8,137,35.03649635036496,2.08160938594057,0.0358357311012294,3447.694722735004,1830.2294480345076,1.075071933036882,2.150143866073764,3706.5198300917777,2.365083102904843,0,0,3823,3824 days 00:00:00,1000.0,473334.1770146954,47233.41770146954,19734.217890245247,100.0,29039.073698663673,55.755155011835555,1085 days 00:00:00,137,0,0.0,127.76816270679083,-15.076216164114745,25.20195013808098,-4.076858222299848,31 days 00:30:00,7 days 02:25:37.078651685,1.4716510557885685,1.4353779995216773,1.3593050899617336,1.3934780675963512,15 days 11:33:43.357664232
BTC-USD,false,5,13,114,33.33333333333333,2.056188458157236,0.029819513471095998,3195.7894270645234,1614.0350641740015,0.8945854041328799,1.7891708082657598,2858.906576134101,2.2451407238474554,0,0,3823,3824 days 00:00:00,1000.0,365319.994685356,36431.9994685356,19734.217890245247,100.0,20340.61974263911,47.69495612347735,755 days 00:00:00,114,0,0.0,127.76816270679086,-15.076216164114761,30.910352812286163,-4.523669489632226,40 days 18:56:50.526315789,7 days 13:34:44.210526315,1.413773677503747,1.5857696118782931,1.342169648004611,0.8461334353941726,18 days 15:22:06.315789472
