Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Score,Avg Trade Duration
TSLA,true,15,24,true,86,51.76470588235295,2.5360880501781864,0.022886375875067314,9.963850365085777,8.075325401800963,0.4862681744749596,0.9668820678513732,4.845103327771921,1.8889166603010543,0,0,3714,3715 days 00:00:00,1000.0,116402.07864092909,11540.207864092908,16681.913703918417,100.0,4187.106088560491,61.350742619892515,667 days 00:00:00,85,1,-116.40207864090917,379.5311065571732,-19.823638251583823,26.08376420088865,-7.335569361141697,36 days 03:16:21.818181818,12 days 01:45:21.951219512,1359.0409496420007,1.190347388282317,0.9711546183485495,1.270877593142363,0.8381402226562324,11.81377551548283,1.2214673431377356,0.4239172096588731,-0.03666849964456478,None,None,0.001612169140537393,0.406266623415423,115.40207864092936,0.38083103597563084,0.4107556850874874,-0.30822038352936526,5379.4047619047615,2.7150783376391474,24 days 12:42:21.176470587
PAYC,true,45,46,true,104,61.165048543689316,2.0458423248531235,0.03733236679956506,3.0330444652238615,3.0330444652238615,0.7915911562160203,1.5755708590068866,2.4009311750811575,1.5802446210605323,0,0,2759,2760 days 00:00:00,1000.0,13377.844530373892,1237.784453037389,1290.4233704999167,100.0,1307.1649453024506,43.1574580213867,559 days 00:00:00,103,1,-13.377844530372386,53.90032148579189,-27.10709765207851,7.657833276914032,-4.250997913188155,20 days 20:57:08.571428571,9 days 06:00:00,120.30312985343943,1.06496747422006,0.9480646021053784,1.2328951360061395,0.504402464838874,18.107535572109338,1.0596996694496017,0.5341856586992774,-0.031012188921557972,None,None,0.001153270763492114,0.2906242324000127,12.377844530373945,0.2671964638235751,0.3284291082143033,-0.040791974685126034,3996.1706349206347,0.8380765663313395,16 days 08:37:16.893203883
LIN,true,72,85,true,67,57.57575757575758,2.448912579715153,0.007993217875741795,5.454133964097853,3.817592385995919,0.1704008719874046,0.33825844737798233,0.9293891834183938,0.97420982422093,0,0,8257,8258 days 00:00:00,1000.0,20449.768635268214,1944.9768635268215,5786.236235851387,100.0,1184.1349285685721,45.91385230529112,1322 days 00:00:00,66,1,-20.449768635266082,42.051145260747425,-20.88193224592219,13.371757788978023,-5.291212655382379,102 days 20:12:37.894736842,59 days 23:08:34.285714286,295.0033091500529,0.6605371135904015,0.31079731991132575,1.1241593409516384,0.1480097624271059,8.23663000618905,1.0699637825080306,0.5188523082582306,-0.020562931300252146,None,None,0.0004502397620425705,0.11346042003472777,19.449768635268118,0.09647008709500549,0.2067251541805291,-0.6638614836574094,11959.54365079365,0.40448093579418976,84 days 15:38:10.909090909
VTR,true,79,88,true,63,61.29032258064516,1.584535109341822,0.008828136124163463,4.498151266661126,3.1335435790223576,0.18838103374626228,0.37377189235369496,0.847366385560682,0.6767122782900736,0,0,7023,7024 days 00:00:00,1000.0,5807.034866846341,480.70348668463413,184.30889547999968,100.0,431.42468289037254,70.4672375345427,1378 days 00:00:00,62,1,-5.807034866846152,86.15424094027709,-38.04257975655167,13.438657320337905,-9.657649984993773,77 days 08:12:37.894736842,51 days 13:00:00,77.62648228569665,0.4551543853218995,0.1358328393494748,1.1011542864370332,1.2419310966457886,35.83887307874301,1.0085816316088398,0.442003695339766,-0.020976508959895376,None,None,0.00036990299665991825,0.09321555515829939,4.807034866846372,0.06514415373492466,0.24647667168862983,1.6081404559054384,10172.20238095238,0.34551174904272913,67 days 08:30:58.064516128
UHS,true,22,27,true,282,52.66903914590747,1.334365194526565,0.025489840348330916,1.8947100854669894,1.6359436010099435,0.5371915820029027,1.0724782293178519,1.017822308248867,0.8813377166909983,0,0,11024,11025 days 00:00:00,1000.0,57508.87595160066,5650.887595160067,14811.999662422644,100.0,13216.67134275238,60.37586845637124,2602 days 00:00:00,281,1,-57.50887595159293,45.27691117471726,-37.00526315789473,8.192615147586892,-5.113485021252901,28 days 16:12:58.378378378,14 days 19:18:29.774436090,201.30386059627176,0.5927978511967611,0.23777642225203702,1.1327155124884796,-0.5178882189242724,38.27164106912352,1.2152024609588996,0.351931330472103,-0.02220300575609007,None,None,0.0004977660213062463,0.12543703736917408,56.50887595160016,0.09704012256700922,0.2546626940994282,-0.6184925922260107,15967.301587301587,0.2594379783683184,22 days 02:38:51.672597864
