Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
INJ-USD,true,88,89,476,43.15789473684211,1.1962441683770781,0.658008658008658,9.613812159956687,6.8018343150685805,19.78181818181818,39.52207792207792,190.1786841824159,42.64583169970574,0,0,17325,721 days 22:00:00,1000.0,26782.861010417244,2578.286101041724,170.89347633834922,100.0,18271.40648449489,73.5726476792817,253 days 12:00:00,475,1,686.1229560332395,4540.222775670333,-33.28618865687433,25.428052701029486,-2.393296399005997,1 days 00:46:32.195121951,0 days 13:53:33.333333333,52.8352380092295,0.7119299523640585,5.805630827065704,2.2375669885465825,131.5094137592939,17305.141631075,2.672342413749964,0.3251242829827916,-0.012593184674701616,None,None,0.002624541909915928,15.873229471171532,25.782861010417314,2.1508165489886406,26.833306510323364,14.087094933553916,0 days 18:35:22.105263157
UNI-USD,true,54,78,132,41.98473282442748,0.9124092103323123,0.18147186147186148,5.6784099752513235,3.9083036996473886,5.485714285714286,10.92987012987013,31.150134721378688,4.405241941667442,0,0,17325,721 days 22:00:00,1000.0,122.26447247789099,-87.7735527522109,-73.05391634243175,100.0,151.88788547241575,99.08370341768833,350 days 05:00:00,131,1,4.453680558132405,518.3245409022388,-91.44022393338722,22.048654186700038,-6.168477283033932,4 days 04:13:05.454545454,2 days 00:06:18.947368421,-6.734268763971301,1.0539499770585352,-0.6604784914013228,1.6430110596595948,71.98304482896387,6099.383385656713,1.606144173054187,0.37486113315346775,-0.004517838321128097,None,None,0.0006973923501624722,4.217828933782632,-0.8777355275221107,-0.5198209435611572,4.816317679266551,-0.20149003840920135,2 days 21:59:05.038167938
COOKIE31838-USD,true,38,46,95,39.361702127659576,1.4788543703062882,0.34364051789794364,4.542090843181666,2.9308922427227353,10.41888804265042,20.72810357958873,47.32353597465742,4.498614932509444,0,0,6565,273 days 14:00:00,1000.0,8628.978511557645,762.8978511557646,10.300685102889528,100.0,799.4009879366251,64.6674768506589,82 days 00:00:00,94,1,-17.776178743006312,267.4267621193466,-18.330110355552563,17.59857947746994,-3.9331737089001972,1 days 16:48:38.918918918,0 days 21:47:22.105263157,81.34845415213465,2.5954429993023695,25.870643333565663,1.1655760527979209,3.0586519816678743,39.74159462595623,1.4656615671760378,0.24074074074074076,-0.018847588799880806,None,None,0.00046436151470790715,2.8084584409534226,7.628978511557651,6.2798155217725,1.3022748940348186,73.062826262086,1 days 05:16:35.744680849
RUNE-USD,false,70,85,59,37.93103448275862,1.3925901062809007,0.07988522238163559,5.632762096733653,2.2825707520379512,2.4378766140602584,4.834433285509325,13.731978988192,2.291543058891534,0,0,17425,726 days 02:00:00,1000.0,5451.4604522851905,445.1460452285191,-8.92539060929176,100.0,590.4922589026193,50.659919368702276,195 days 15:00:00,58,1,242.87189491058598,238.7201407290732,-14.332704722237585,23.772567138719147,-5.452674317813038,10 days 10:51:49.090909091,2 days 15:11:40,72.56187167887254,1.5971788154767106,2.6560253139057024,1.0746702168492854,-0.005042746205080988,13.130482423203127,1.0207561325186367,0.31417797888386123,-0.010825340516922782,None,None,0.0001235320061045415,0.7471215729202669,4.451460452285254,0.8014397968645437,0.5629682434313258,50.8741248103025,5 days 14:22:45.517241379
PENDLE-USD,true,32,80,108,46.728971962616825,1.3644273694300588,0.1473744619799139,2.822116587658809,2.1618788016384323,4.462553802008609,8.883787661406025,12.59384710796838,2.841408692429951,0,0,17425,726 days 02:00:00,1000.0,12819.24803540405,1181.924803540405,779.45421852928,100.0,1669.1093378980747,55.57551832046559,134 days 05:00:00,107,1,2615.4719187256014,76.77359305669182,-19.263473393316897,11.389185749664437,-4.6928563614689365,4 days 22:12:00,2 days 02:37:53.684210526,86.01659922129397,1.8511525406152551,4.687525469128155,1.0849476965345044,1.392836725982768,28.08298631230926,1.1015356404877235,0.3494927592348796,-0.01410391931392618,None,None,0.0001942355338012534,1.1747365084299806,11.819248035404009,1.4238358057361276,0.7637380365604824,0.5163492292985856,3 days 10:12:20.186915887
RUNE-USD,false,38,89,77,34.21052631578947,1.2817703160569487,0.10467718794835008,4.453846318142084,2.1329895795117735,3.181635581061693,6.321951219512195,14.17051591838147,2.3305345012311136,0,0,17425,726 days 02:00:00,1000.0,5741.815787246186,474.18157872461865,-8.92539060929176,100.0,881.4208267228868,54.367369507783124,197 days 00:00:00,76,1,332.6413501406869,243.50584496711184,-16.578476162186227,22.479248276221128,-4.919362700059018,8 days 19:50:46.153846153,2 days 01:16:48,58.01545311980931,1.629676943888361,2.588925921794871,1.0759247588723069,-0.13177024866112985,14.210742597516454,1.026012036330544,0.3200515112491478,-0.010887018338873317,None,None,0.00012687236079136815,0.7673240380661945,4.74181578724622,0.8341776762069193,0.5666611571236089,54.12726349824655,4 days 08:53:41.052631578
RUNE-USD,true,43,89,96,44.21052631578947,1.2220930725670633,0.1308464849354376,2.8020045514226486,2.0307884583218505,3.9667144906743186,7.892109038737446,11.114752057063614,2.293278528966978,0,0,17425,726 days 02:00:00,1000.0,5677.919828890152,467.7919828890151,-8.940681717650333,100.0,1111.0051480452382,73.92790080939976,125 days 17:00:00,95,1,60.30931150572269,104.6813147561948,-27.646700971610787,13.349492743905609,-5.55638231809215,5 days 19:11:25.714285714,2 days 01:06:47.547169811,48.60642649878355,1.5992126860161828,1.8856554209158438,1.073614303116665,-0.12788232592994164,14.745882539849628,1.033451724259202,0.3361447630731483,-0.01108727209860658,None,None,0.00012754747016039173,0.7714070995300492,4.677919828890118,0.8270677639406536,0.580528528889203,53.32173537343568,3 days 16:56:12.631578946
FET-USD,false,48,58,95,30.851063829787233,1.187946943439917,0.12952118498105408,3.9503720810968512,1.9979210036939083,3.926972097829831,7.812607647261454,15.513000938513297,1.722106946392439,0,0,17418,725 days 19:00:00,1000.0,3293.9340487230966,229.39340487230965,56.38171921522479,100.0,582.2746440606358,58.31377158933262,269 days 04:00:00,94,1,164.55402208899295,365.61461586595976,-18.168928964529364,23.65335777760648,-4.8401907681151375,7 days 03:12:24.827586206,1 days 19:11:04.615384615,22.65297900674574,1.134583401500441,1.4082489425422293,1.0536039448348027,0.699657293168002,21.19468502624529,1.1529636810894253,0.2766783934330108,-0.012760419700673925,None,None,0.00010796920370644403,0.6529977440165735,2.2939340487230875,0.5127051127280267,0.6926620868374116,3.068577689102577,3 days 10:40:51.063829786
PENDLE-USD,false,62,75,68,38.80597014925373,1.2462908892059243,0.09228120516499283,4.021018366564733,1.9257041357650222,2.8097560975609754,5.57819225251076,11.298080873859933,2.317212212115801,0,0,17425,726 days 02:00:00,1000.0,7202.97462256364,620.297462256364,779.45421852928,100.0,749.5948658422343,61.427280801617925,167 days 21:00:00,67,1,1965.9659087498721,120.48616481745069,-13.808130956776694,20.938090909434326,-6.7068812947672045,10 days 12:09:13.846153846,2 days 11:43:54.146341463,63.23893602707119,1.5208032362255763,2.764515259932788,1.0678556997513475,1.2557071434544427,25.329522130209934,1.084930315520929,0.3616190029692139,-0.014771778861033216,None,None,0.00016367660880222797,0.9899161300358748,6.2029746225636675,0.9843331691781494,0.7833782954537487,-0.2041899992192258,5 days 14:24:10.746268656
PENDLE-USD,true,50,79,116,49.56521739130435,1.358024346154501,0.15839311334289816,2.3348472162391642,1.8971673745635405,4.793113342898135,9.544906743185079,11.191187345784504,2.5942988300600387,0,0,17425,726 days 02:00:00,1000.0,9746.574651728886,874.6574651728887,779.45421852928,100.0,1177.713374126455,58.99291199316094,119 days 20:00:00,115,1,2598.5865909213835,81.6175635601335,-15.077211952847586,9.731313221682406,-4.934093513248161,4 days 07:03:09.473684210,1 days 23:14:28.965517241,53.46076574615219,1.7019301258819093,3.6295575636503856,1.0783265222715694,1.230970545083461,27.210913385704742,1.0952471357122795,0.34408021596606253,-0.013955324164906212,None,None,0.00017853514610804576,1.0797805636614608,8.746574651728794,1.2039335454444897,0.7635543256226605,0.12214090883136641,3 days 02:54:15.652173912
COOKIE31838-USD,false,68,88,21,30.0,1.3451958779717177,0.0731150038080731,16.959812085606195,1.8743575707061553,2.303122619954303,4.496572734196497,39.060526844533996,2.849551325745122,0,0,6565,273 days 14:00:00,1000.0,3102.9859471062077,210.29859471062076,10.300685102889528,100.0,101.90826218978872,76.20334205951629,120 days 13:00:00,20,1,56.392117375043654,258.25057188305897,-25.798198257334388,79.95017040950493,-10.036055767493265,8 days 23:00:00,3 days 00:00:00,102.32969148655809,1.739127285988211,4.632447684743588,1.111518523563433,2.4085443300486773,36.671359013580336,1.3538400974208653,0.19143531119579024,-0.018601252260359254,None,None,0.000299870840173605,1.813618841369963,2.1029859471062022,1.837805858658415,1.255049375076118,19.41598132648752,4 days 18:54:00
