Fast Period,Slow Period,Signal Period,Signal
6,27,18,1
6,28,18,1
6,29,18,1
6,30,17,1
6,30,18,1
6,31,17,1
6,31,18,1
6,32,17,1
6,32,18,1
6,33,17,1
6,33,18,1
6,34,17,1
6,34,18,1
6,35,17,1
6,35,18,1
6,36,17,1
6,36,18,1
7,23,18,1
7,24,17,1
7,24,18,1
7,25,17,1
7,25,18,1
7,26,17,1
7,26,18,1
7,27,16,1
7,27,17,1
7,27,18,1
7,28,16,1
7,28,17,1
7,28,18,1
7,29,16,1
7,29,17,1
7,29,18,1
7,30,15,1
7,30,16,1
7,30,17,1
7,30,18,1
7,31,15,1
7,31,16,1
7,31,17,1
7,31,18,1
7,32,15,1
7,32,16,1
7,32,17,1
7,32,18,1
7,33,15,1
7,33,16,1
7,33,17,1
7,33,18,1
7,34,15,1
7,34,16,1
7,34,17,1
7,34,18,1
7,35,15,1
7,35,16,1
7,35,17,1
7,35,18,1
7,36,15,1
7,36,16,1
7,36,17,1
7,36,18,1
8,20,18,1
8,21,17,1
8,21,18,1
8,22,17,1
8,22,18,1
8,23,16,1
8,23,17,1
8,23,18,1
8,24,16,1
8,24,17,1
8,24,18,1
8,25,15,1
8,25,16,1
8,25,17,1
8,25,18,1
8,26,15,1
8,26,16,1
8,26,17,1
8,26,18,1
8,27,14,1
8,27,15,1
8,27,16,1
8,27,17,1
8,27,18,1
8,28,14,1
8,28,15,1
8,28,16,1
8,28,17,1
8,28,18,1
8,29,14,1
8,29,15,1
8,29,16,1
8,29,17,1
8,29,18,1
8,30,14,1
8,30,15,1
8,30,16,1
8,30,17,1
8,30,18,1
8,31,14,1
8,31,15,1
8,31,16,1
8,31,17,1
8,31,18,1
8,32,13,1
8,32,14,1
8,32,15,1
8,32,16,1
8,32,17,1
8,32,18,1
8,33,13,1
8,33,14,1
8,33,15,1
8,33,16,1
8,33,17,1
8,33,18,1
8,34,13,1
8,34,14,1
8,34,15,1
8,34,16,1
8,34,17,1
8,34,18,1
8,35,13,1
8,35,14,1
8,35,15,1
8,35,16,1
8,35,17,1
8,35,18,1
8,36,13,1
8,36,14,1
8,36,15,1
8,36,16,1
8,36,17,1
8,36,18,1
9,18,18,1
9,19,17,1
9,19,18,1
9,20,16,1
9,20,17,1
9,20,18,1
9,21,16,1
9,21,17,1
9,21,18,1
9,22,15,1
9,22,16,1
9,22,17,1
9,22,18,1
9,23,15,1
9,23,16,1
9,23,17,1
9,23,18,1
9,24,14,1
9,24,15,1
9,24,16,1
9,24,17,1
9,24,18,1
9,25,14,1
9,25,15,1
9,25,16,1
9,25,17,1
9,25,18,1
9,26,13,1
9,26,14,1
9,26,15,1
9,26,16,1
9,26,17,1
9,26,18,1
9,27,13,1
9,27,14,1
9,27,15,1
9,27,16,1
9,27,17,1
9,27,18,1
9,28,13,1
9,28,14,1
9,28,15,1
9,28,16,1
9,28,17,1
9,28,18,1
9,29,13,1
9,29,14,1
9,29,15,1
9,29,16,1
9,29,17,1
9,29,18,1
9,30,12,1
9,30,13,1
9,30,14,1
9,30,15,1
9,30,16,1
