Fast Period,Slow Period,Signal Period,Signal
10,36,18,1
11,34,18,1
11,35,18,1
11,36,17,1
11,36,18,1
12,33,18,1
12,34,17,1
12,34,18,1
12,35,17,1
12,35,18,1
12,36,16,1
12,36,17,1
12,36,18,1
13,31,18,1
13,32,18,1
13,33,17,1
13,33,18,1
13,34,16,1
13,34,17,1
13,34,18,1
13,35,16,1
13,35,17,1
13,35,18,1
13,36,15,1
13,36,16,1
13,36,17,1
13,36,18,1
14,30,18,1
14,31,17,1
14,31,18,1
14,32,17,1
14,32,18,1
14,33,16,1
14,33,17,1
14,33,18,1
14,34,15,1
14,34,16,1
14,34,17,1
14,34,18,1
14,35,15,1
14,35,16,1
14,35,17,1
14,35,18,1
14,36,14,1
14,36,15,1
14,36,16,1
14,36,17,1
14,36,18,1
15,28,18,1
15,29,18,1
15,30,17,1
15,30,18,1
15,31,16,1
15,31,17,1
15,31,18,1
15,32,16,1
15,32,17,1
15,32,18,1
15,33,15,1
15,33,16,1
15,33,17,1
15,33,18,1
15,34,14,1
15,34,15,1
15,34,16,1
15,34,17,1
15,34,18,1
15,35,14,1
15,35,15,1
15,35,16,1
15,35,17,1
15,35,18,1
15,36,13,1
15,36,14,1
15,36,15,1
15,36,16,1
15,36,17,1
15,36,18,1
16,27,18,1
16,28,17,1
16,28,18,1
16,29,17,1
16,29,18,1
16,30,16,1
16,30,17,1
16,30,18,1
16,31,15,1
16,31,16,1
16,31,17,1
16,31,18,1
16,32,15,1
16,32,16,1
16,32,17,1
16,32,18,1
16,33,14,1
16,33,15,1
16,33,16,1
16,33,17,1
16,33,18,1
16,34,13,1
16,34,14,1
16,34,15,1
16,34,16,1
16,34,17,1
16,34,18,1
16,35,13,1
16,35,14,1
16,35,15,1
16,35,16,1
16,35,17,1
16,35,18,1
16,36,12,1
16,36,13,1
16,36,14,1
16,36,15,1
16,36,16,1
16,36,17,1
16,36,18,1
17,26,18,1
17,27,17,1
17,27,18,1
17,28,16,1
17,28,17,1
17,28,18,1
17,29,16,1
17,29,17,1
17,29,18,1
17,30,15,1
17,30,16,1
17,30,17,1
17,30,18,1
17,31,14,1
17,31,15,1
17,31,16,1
17,31,17,1
17,31,18,1
17,32,14,1
17,32,15,1
17,32,16,1
17,32,17,1
17,32,18,1
17,33,13,1
17,33,14,1
17,33,15,1
17,33,16,1
17,33,17,1
17,33,18,1
17,34,12,1
17,34,13,1
17,34,14,1
17,34,15,1
17,34,16,1
17,34,17,1
17,34,18,1
17,35,12,1
17,35,13,1
17,35,14,1
17,35,15,1
17,35,16,1
17,35,17,1
17,35,18,1
17,36,11,1
17,36,12,1
17,36,13,1
17,36,14,1
17,36,15,1
17,36,16,1
17,36,17,1
17,36,18,1
18,25,18,1
18,26,17,1
18,26,18,1
18,27,16,1
18,27,17,1
18,27,18,1
18,28,15,1
18,28,16,1
18,28,17,1
18,28,18,1
18,29,15,1
18,29,16,1
18,29,17,1
18,29,18,1
18,30,14,1
18,30,15,1
18,30,16,1
18,30,17,1
18,30,18,1
18,31,13,1
18,31,14,1
18,31,15,1
18,31,16,1
18,31,17,1
18,31,18,1
18,32,13,1
18,32,14,1
18,32,15,1
18,32,16,1
18,32,17,1
18,32,18,1
18,33,12,1
18,33,13,1
18,33,14,1
18,33,15,1
18,33,16,1
18,33,17,1
18,33,18,1
18,34,11,1
18,34,12,1
18,34,13,1
18,34,14,1
18,34,15,1
18,34,16,1
18,34,17,1
18,34,18,1
18,35,11,1
18,35,12,1
18,35,13,1
18,35,14,1
18,35,15,1
18,35,16,1
18,35,17,1
18,35,18,1
18,36,10,1
18,36,11,1
18,36,12,1
18,36,13,1
18,36,14,1
18,36,15,1
18,36,16,1
18,36,17,1
