Fast Period,Slow Period,Signal Period,Signal
2,4,2,1
2,4,3,1
2,5,2,1
2,5,3,1
2,6,2,1
2,7,2,1
2,8,2,1
2,9,2,1
2,10,2,1
2,18,18,1
2,19,17,1
2,19,18,1
2,20,16,1
2,20,17,1
2,21,15,1
2,21,16,1
2,22,15,1
2,22,16,1
2,23,14,1
2,23,15,1
2,24,14,1
2,25,13,1
2,25,14,1
2,26,13,1
2,26,14,1
2,27,12,1
2,27,13,1
2,28,12,1
2,28,13,1
2,29,12,1
2,29,13,1
2,30,12,1
2,31,11,1
2,31,12,1
2,32,11,1
2,32,12,1
2,33,11,1
2,33,12,1
2,34,11,1
2,35,2,1
2,35,10,1
2,35,11,1
2,36,2,1
2,36,10,1
2,36,11,1
3,4,2,1
3,5,2,1
3,28,11,1
3,32,10,1
10,32,3,1
10,35,2,1
10,36,2,1
11,28,3,1
11,31,2,1
11,32,2,1
11,33,2,1
11,34,2,1
11,35,2,1
11,36,2,1
12,27,2,1
12,28,2,1
12,29,2,1
12,30,2,1
12,31,2,1
12,32,2,1
12,33,2,1
13,25,2,1
13,26,2,1
13,27,2,1
13,28,2,1
13,29,2,1
14,23,2,1
14,24,2,1
14,25,2,1
14,26,2,1
15,21,2,1
15,22,2,1
15,23,2,1
16,20,2,1
16,21,2,1
16,22,2,1
17,19,2,1
17,20,2,1
18,19,2,1
