Fast Period,Slow Period,Signal Period,Signal
4,16,18,1
4,17,17,1
4,17,18,1
4,18,16,1
4,18,17,1
4,18,18,1
4,19,15,1
4,19,16,1
4,19,17,1
4,19,18,1
4,20,15,1
4,20,16,1
4,20,17,1
4,20,18,1
4,21,14,1
4,21,15,1
4,21,16,1
4,21,17,1
4,21,18,1
4,22,14,1
4,22,15,1
4,22,16,1
4,22,17,1
4,22,18,1
4,23,14,1
4,23,15,1
4,23,16,1
4,23,17,1
4,23,18,1
4,24,14,1
4,24,15,1
4,24,16,1
4,24,17,1
4,24,18,1
4,25,13,1
4,25,14,1
4,25,15,1
4,25,16,1
4,25,17,1
4,25,18,1
4,26,13,1
4,26,14,1
4,26,15,1
4,26,16,1
4,26,17,1
4,26,18,1
4,27,13,1
4,27,14,1
4,27,15,1
4,27,16,1
4,27,17,1
4,27,18,1
4,28,13,1
4,28,14,1
4,28,15,1
4,28,16,1
4,28,17,1
4,28,18,1
4,29,13,1
4,29,14,1
4,29,15,1
4,29,16,1
4,29,17,1
4,29,18,1
4,30,14,1
4,30,15,1
4,30,16,1
4,30,17,1
4,30,18,1
4,31,14,1
4,31,15,1
4,31,16,1
4,31,17,1
4,31,18,1
4,32,14,1
4,32,15,1
4,32,16,1
4,32,17,1
4,32,18,1
4,33,15,1
4,33,16,1
4,33,17,1
4,33,18,1
4,34,15,1
4,34,16,1
4,34,17,1
4,34,18,1
5,12,17,1
5,12,18,1
5,13,16,1
5,13,17,1
5,13,18,1
5,14,15,1
5,14,16,1
5,14,17,1
5,14,18,1
5,15,14,1
5,15,15,1
5,15,16,1
5,15,17,1
5,15,18,1
5,16,13,1
5,16,14,1
5,16,15,1
5,16,16,1
5,16,17,1
5,16,18,1
5,17,12,1
5,17,13,1
5,17,14,1
5,17,15,1
5,17,16,1
5,17,17,1
5,17,18,1
5,18,12,1
5,18,13,1
5,18,14,1
5,18,15,1
5,18,16,1
5,18,17,1
5,18,18,1
5,19,11,1
5,19,12,1
5,19,13,1
5,19,14,1
5,19,15,1
5,19,16,1
5,19,17,1
5,19,18,1
5,20,11,1
5,20,12,1
5,20,13,1
5,20,14,1
5,20,15,1
5,20,16,1
5,20,17,1
5,20,18,1
5,21,11,1
5,21,12,1
5,21,13,1
5,21,14,1
5,21,15,1
5,21,16,1
5,21,17,1
5,21,18,1
5,22,11,1
5,22,12,1
5,22,13,1
5,22,14,1
5,22,15,1
5,22,16,1
5,22,17,1
5,22,18,1
5,23,10,1
5,23,11,1
5,23,12,1
5,23,13,1
5,23,14,1
5,23,15,1
5,23,16,1
