TICKER,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW
MSFT,,,75,84
INTU,52,86,,
ZS,,,2,6
DOCN,,,2,4
RBLX,,,11,12
JD,,,16,51
GFS,,,2,3
MDLZ,8,12,,
NCLH,,,2,3
BA,7,40,,
NVDA,2,46,3,40
VLO,24,50,4,73
META,24,30,22,26
PPG,84,85,2,45
