Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration
ZTS,FALSE,8,46,36,54.28571429,3.598819347,11.57024793,90.37027979,39.41770698,0.2499173554,1,22.58510133,1.322131594,0,0,3025,3026 days 00:00:00,1000,4208.298733,320.8298733,462.044476,100,158.7062848,23.05920551,782 days 00:00:00,35,1,45.3389405,45.87229845,-6.869823367,11.44183427,-3.206480776,92 days 16:25:15.789473685,17 days 15:00:00,0.8896785981,0.8208010095,1.172473112,-0.3056298906,58 days 08:54:51.428571428
ZTS,TRUE,32,37,76,54.66666667,2.221890181,24.79338843,44.71934331,37.04026416,0.5276033058,2,23.59407336,1.425161122,0,0,3025,3026 days 00:00:00,1000,4349.601147,334.9601147,462.044476,100,370.8185878,27.61593055,782 days 00:00:00,75,1,-4.349601147,24.41203934,-8.410049696,6.515081887,-2.989743617,32 days 00:35:07.317073170,15 days 09:10:35.294117647,0.9378050789,0.7025554237,1.19389686,-0.2750478966,24 days 11:31:11.999999999
ZS,TRUE,35,37,54,51.85185185,1.698010224,31.14186851,104.6965516,67.2980589,0.6539792388,2,68.46937113,1.577489822,0,0,1734,1735 days 00:00:00,1000,6653.613788,565.3613788,522.8181781,100,403.9159957,48.11199162,410 days 00:00:00,54,0,0,102.1043183,-27.67720078,16.67154473,-7.486044636,23 days 23:08:34.285714285,13 days 12:00:00,1.043184737,1.018201657,1.229265386,0.08137284138,18 days 22:13:19.999999999
ZS,FALSE,2,31,50,48.97959184,1.636506671,28.25836217,92.35006321,50.88157753,0.6055363322,2,55.92131855,1.525796672,0,0,1734,1735 days 00:00:00,1000,5880.113524,488.0113524,522.8181781,100,391.4529033,59.94924932,806 days 00:00:00,49,1,354.9604265,118.7525232,-14.779379,17.2730401,-6.373374978,36 days 13:00:00,4 days 19:12:00,0.981679506,0.7533723245,1.222171927,-0.06657539314,20 days 08:19:35.510204080
ZS,FALSE,2,6,133,39.39393939,1.322498451,76.12456747,35.7446792,21.33520797,1.610726644,4,57.57490716,1.604994263,0,0,1734,1735 days 00:00:00,1000,6179.838773,517.9838773,522.8181781,100,1113.43224,40.8681171,315 days 00:00:00,132,1,461.5411181,42.5607232,-15.7212443,10.63856448,-3.989792307,13 days 21:13:50.769230769,3 days 00:54:00,1.025720332,1.142463831,1.227899326,-0.009246619682,7 days 07:27:16.363636363
ZM,TRUE,53,54,50,55.10204082,1.576164139,33.56164384,64.83414156,40.18645138,0.7191780822,2,46.62729359,1.569538559,0,0,1460,1461 days 00:00:00,1000,4169.795249,316.9795249,38.90323024,100,424.5509786,55.54876322,1081 days 00:00:00,49,1,-7.077687774,101.5936123,-26.48788101,12.07962714,-4.928888972,15 days 12:26:40,10 days 05:27:16.363636363,0.9569951225,0.7716449548,1.266410115,7.147897306,13 days 03:25:42.857142856
ZM,FALSE,3,18,54,33.96226415,1.349314745,36.30136986,29.8019384,12.31485058,0.7767123288,2,23.14753298,1.209929235,0,0,1460,1461 days 00:00:00,1000,2706.400705,170.6400705,38.90323024,100,263.8439115,63.50869349,1081 days 00:00:00,53,1,126.8979695,83.70248879,-14.03233813,17.90775783,-4.571024143,27 days 14:40:00,5 days 17:08:34.285714285,0.7260036816,0.4446659785,1.179804788,3.386269969,13 days 03:37:21.509433961
ZEC-USD,FALSE,2,22,88,37.5,1.721486001,33.19502075,180.08745,102.3224148,0.9958506224,2,179.3401991,1.42514471,0,0,2651,2652 days 00:00:00,1000,16847.6956,1584.76956,-87.56373918,100,1126.573244,69.93252407,1078 days 00:00:00,88,0,0,99.76586158,-15.6466873,21.76072858,-5.660831273,27 days 14:32:43.636363636,4 days 13:57:49.090909090,0.8916373986,0.6793192807,1.220010785,19.09846832,13 days 05:10:54.545454544
XYZ,TRUE,7,25,47,54.34782609,2.916838134,19.91341991,617.421903,354.3514135,0.4272727273,1,263.8075404,2.155049316,0,0,2310,2311 days 00:00:00,1000,29832.63017,2883.263017,588.829387,100,974.5207134,35.25337932,485 days 00:00:00,46,1,431.2226362,130.9881036,-18.15241546,21.60343321,-5.052697775,42 days 23:02:24,9 days 22:51:25.714285714,1.397711628,2.013065431,1.312565583,3.896601768,27 days 21:23:28.695652173
XYZ,FALSE,2,19,95,38.29787234,1.54518286,40.69264069,165.6061444,96.09640874,0.8636363636,2,143.0234883,1.830643228,0,0,2310,2311 days 00:00:00,1000,16809.96103,1580.996103,588.829387,100,1827.566189,50.18431315,953 days 00:00:00,94,1,242.9834604,156.2878104,-11.2888859,18.24667515,-4.381172189,29 days 23:20:00,3 days 18:12:24.827586206,1.192706112,1.119050115,1.259581057,1.684981657,13 days 19:08:56.170212764
