TICKER,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW
DLTR,13,23,20,21
NKE,2,38,2,44
SIRI,5,21,4,45
LRCX,80,84,3,12
UPS,13,23,36,83
SMH,84,85,88,89
MAGS,8,12,5,7
CVX,77,88,67,82
HIMS,10,15,3,59
META,9,63,32,40
NVDA,71,72,3,41
PANW,7,11,77,89
RBLX,5,6,8,16
MSFT,13,25,22,27
TSM,2,70,2,75
HD,20,38,20,38
VLO,23,49,33,38
