TICKER,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW
LCID,7,20,9,12
ZS,3,4,2,6
GOOGL,9,39,9,11
GFS,2,3,2,3
LOW,12,21,2,3
CLX,41,66,,
KDP,12,18,9,11
LRCX,58,59,2,49
