Ticker,Use SMA,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio
ASML,TRUE,20,45,,,82,54.32098765,2.473587517,10.76268934,6050.083602,4979.492676,0.2288068031,1,1384.300287,1.516333977,0,0,7526,7527 days 00:00:00,1000,485568.4008,48456.84008,34398.37095,100,19868.96564,48.76604532,908 days 00:00:00,81,1,-5488.370959,265.9103916,-18.14587704,26.42431373,-6.793881008,75 days 09:49:05.454545454,26 days 22:42:09.729729730,0.968265717,0.7172544893,1.2100677
LRCX,FALSE,,,56,61,40,47.5,5.619466417,3.904724717,10889.14369,4749.626496,0.08199921906,1,892.9012789,1.054023525,0,0,10244,10245 days 00:00:00,1000,436565.7477,43556.57477,32930.03366,100,5386.310783,71.0079622,1523 days 00:00:00,40,0,0,442.4080927,-20.93361351,72.864366,-9.435083479,257 days 11:22:06.315789472,69 days 16:00:00,0.6932579704,0.3405483491,1.14294815
BA,FALSE,,,54,83,63,41.26984127,2.061874114,3.973509934,7819.514787,4667.295328,0.08344370861,1,652.4893134,0.9961395481,0,0,15855,15856 days 00:00:00,1000,493629.4316,49262.94316,21857.48688,100,17711.67395,48.40896229,1568 days 00:00:00,63,0,0,137.3168712,-26.13557526,49.31983699,-7.925368781,287 days 20:18:27.692307696,51 days 03:53:30.810810810,0.6618915677,0.3170001939,1.131816465
UNH,FALSE,,,49,69,45,40,1.864357555,4.442689308,10976.22495,4535.630143,0.09329647547,1,1024.043101,1.217944143,0,0,10129,10130 days 00:00:00,1000,494930.1226,49393.01226,352758.5576,100,18945.7205,58.1009854,2241 days 00:00:00,45,0,0,701.181377,-29.73906241,90.25210827,-8.579661843,335 days 08:00:00,44 days 02:40:00,0.8168752017,0.4311706645,1.160959541
CSCO,TRUE,18,73,,,62,52.45901639,1.52281871,6.946816991,6075.031994,4462.833421,0.148274684,1,900.7734491,1.415393151,0,0,8781,8782 days 00:00:00,1000,440437.3806,43943.73806,77058.05776,100,32669.86546,41.38798651,2023 days 00:00:00,61,1,68860.42893,303.9731343,-17.77896399,36.17818055,-6.924586221,131 days 15:45:00,35 days 12:24:49.655172413,0.9433512822,0.6956391945,1.19689694
ALGN,TRUE,13,39,,,77,51.94805195,2.708207534,12.80133001,5582.582146,4394.00405,0.2688279302,1,1500.754003,1.669164286,0,0,6015,6016 days 00:00:00,1000,430858.8252,42985.88252,1152.918475,100,11146.62864,59.6597365,914 days 00:00:00,77,0,0,239.0183941,-26.59634058,30.70400582,-7.8157188,66 days 22:48:00,20 days 19:27:34.054054054,0.990818089,0.7456809837,1.254300414
ADBE,TRUE,45,50,,,160,59.74842767,1.586489225,16.442606,4741.790624,4292.644457,0.3474663909,1,1647.612875,1.206074827,0,0,9670,9671 days 00:00:00,1000,754190.5188,75319.05188,211564.0894,100,84154.02337,59.38330144,932 days 00:00:00,159,1,-754.1905188,283.299328,-41.22318665,16.33104628,-7.176682497,47 days 10:06:18.947368421,22 days 15:00:00,0.7985067671,0.4784282106,1.172057023
ROST,TRUE,25,56,,,83,55.42168675,2.192457715,8.340032154,5073.004448,4259.916112,0.1751406752,1,888.4894245,1.214452846,0,0,9952,9953 days 00:00:00,1000,422059.3692,42105.93692,25606.34344,100,23551.68486,59.52971593,981 days 00:00:00,83,0,0,96.06704143,-30.60438471,24.23263783,-8.157277358,101 days 07:18:15.652173913,41 days 14:55:08.108108108,0.7993797323,0.4169079097,1.172210564
ADI,TRUE,72,87,,,102,63.7254902,2.198265261,9.034543844,4324.675486,4175.637353,0.1897254207,1,820.5008761,1.067849568,0,0,11290,11291 days 00:00:00,1000,442116.8996,44111.68996,29706.32004,100,27447.92005,74.0076212,2164 days 00:00:00,102,0,0,627.1341232,-46.81998984,25.05183334,-9.756182363,82 days 03:41:32.307692308,38 days 17:30:48.648648648,0.7016770625,0.2940869056,1.148931583
NFLX,FALSE,,,21,45,51,50,3.578677207,8.748906387,7036.286993,4038.273067,0.1874015748,1,1318.611263,1.684637018,0,0,5715,5716 days 00:00:00,1000,519035.7197,51803.57197,84646.35608,100,7904.171729,63.40417007,1047 days 00:00:00,50,1,166221.37,453.2067637,-32.46183574,63.53402714,-11.76295133,130 days 11:31:12,17 days 01:55:11.999999999,1.054130231,0.7738749116,1.232488288
CTSH,TRUE,73,82,,,66,56.92307692,2.115611504,9.739286785,4560.121178,3873.381166,0.2076715613,1,947.0074848,1.52118353,0,0,6674,6675 days 00:00:00,1000,328052.0096,32705.20096,37916.05926,100,18059.70712,62.53989872,704 days 00:00:00,65,1,30644.13296,371.9491639,-16.58973732,30.67156576,-6.120639419,86 days 01:17:50.270270270,33 days 23:08:34.285714286,0.9621231424,0.5959408755,1.225601548
MSFT,FALSE,,,75,84,35,38.23529412,5.521286308,3.477905074,12585.2802,3755.937618,0.07518412439,1,946.2132721,1.248085239,0,0,9776,9777 days 00:00:00,1000,428023.6633,42702.36633,442731.8664,100,4054.986358,77.16864905,5057 days 00:00:00,34,1,-875.8635115,594.5414508,-17.63641486,115.8627881,-8.807943545,435 days 22:09:13.846153848,70 days 06:51:25.714285715,0.8532709642,0.3289313607,1.163914725
MNST,FALSE,,,15,73,72,36.11111111,3.247606826,7.316329641,5983.655256,3273.885452,0.1536429225,1,919.3462806,1.102899705,0,0,9841,9842 days 00:00:00,1000,431823.1784,43082.31784,64473.60262,100,17237.09694,86.19042506,3471 days 00:00:00,72,0,0,5492.422975,-28.74129389,244.6785056,-8.578557647,166 days 19:23:04.615384616,32 days 09:54:46.956521739,0.6611366474,0.2928057831,1.195903812
QCOM,TRUE,68,76,,,88,55.68181818,1.351120869,10.57692308,3873.998243,3268.352512,0.2221153846,1,860.4746098,1.282031973,0,0,8320,8321 days 00:00:00,1000,341911.8454,34091.18454,27853.77875,100,46799.91053,61.53617775,1086 days 00:00:00,88,0,0,2309.369307,-23.34583439,62.02063674,-8.116588476,72 days 14:41:37.959183674,31 days 01:50:46.153846154,0.8038224198,0.4739734557,1.182734747
SWKS,TRUE,77,82,,,136,50.73529412,1.44487997,13.38978045,4195.532313,3225.175241,0.2811853894,1,1179.722387,1.132233856,0,0,10157,10158 days 00:00:00,1000,571592.3946,57059.23946,1392.137878,100,64141.28621,84.12165749,2867 days 00:00:00,136,0,0,229.4869855,-34.84498372,23.73108026,-8.392542808,54 days 20:10:26.086956522,23 days 15:45:40.298507462,0.6923330528,0.304591867,1.162552472
BA,TRUE,61,89,,,103,56.8627451,1.269199242,6.422364941,3497.312086,3013.132814,0.1361919154,1,476.3056317,0.9639598304,0,0,15882,15883 days 00:00:00,1000,379779.8631,37877.98631,21951.04242,100,43128.67888,72.31232652,1925 days 00:00:00,102,1,22054.03029,157.5034502,-30.59688979,22.4953875,-9.35747567,121 days 14:53:47.586206896,43 days 10:21:49.090909090,0.6375141426,0.2022465871,1.130631345
ISRG,TRUE,80,88,,,63,58.06451613,2.549966958,10.046994,3642.13849,3010.03181,0.2143898882,1,780.8376637,1.754018108,0,0,6171,6172 days 00:00:00,1000,334510.0102,33351.00102,26277.64235,100,8842.622751,62.76832028,1021 days 00:00:00,62,1,107697.4239,181.2838764,-36.92162214,27.62774305,-6.863679168,80 days 04:40:00,27 days 16:36:55.384615384,1.060655226,0.6535552709,1.255431921
UNH,FALSE,,,36,59,61,52.45901639,1.827514978,6.006301694,4075.847748,2994.194857,0.1261323356,1,514.0961959,1.129118859,0,0,10156,10157 days 00:00:00,1000,249626.7127,24862.67127,364548.4432,100,14660.1578,54.66619367,1738 days 00:00:00,61,0,0,292.5625847,-33.24962788,35.55082883,-8.197523064,189 days 08:15:00,35 days 02:28:57.931034483,0.7533361681,0.4013572632,1.148421161
ROST,FALSE,,,22,34,90,46.06741573,2.083506785,8.967254408,3648.201971,2546.41268,0.1904282116,1,694.7205768,1.198068649,0,0,9925,9926 days 00:00:00,1000,321310.4348,32031.04348,27475.86483,100,20387.25854,61.14083442,1542 days 00:00:00,89,1,-4379.540595,189.7195858,-23.81281722,28.07916334,-6.493878748,122 days 15:13:10.243902440,24 days 10:30:00,0.7853917557,0.3867690395,1.16501561
DHR,FALSE,,,39,46,74,52.7027027,2.151860795,6.366686742,3173.798259,2534.359789,0.1337004216,1,424.3381652,1.093607409,0,0,11623,11624 days 00:00:00,1000,235861.0712,23486.10712,271459.5394,100,13279.10286,44.36089943,1301 days 00:00:00,74,0,0,93.11351341,-11.2997172,22.95260206,-5.797053119,178 days 03:41:32.307692308,31 days 00:00:00,0.7049031376,0.4218627659,1.147184845
ASML,FALSE,,,34,42,55,50,2.778092144,7.175126229,3838.708245,2379.364615,0.1534679777,1,589.1187913,1.301168268,0,0,7526,7527 days 00:00:00,1000,204814.4799,20381.44799,34398.37095,100,5094.221878,62.90627519,1282 days 00:00:00,54,1,-3475.765372,222.4421849,-21.82690419,43.13865889,-9.682971743,152 days 17:46:40,25 days 09:46:40,0.846133889,0.468065184,1.170761546
