Ticker,Use SMA,Short Window,Long Window,Total Trades,EMA_FAST,EMA_SLOW,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Current,SMA_FAST,SMA_SLOW
QQQ,true,26,63,27,,,62.96296296296296,2.8738919570069372,185.88640275387263,15.897881927215451,6.204407547352219,3.903614457831325,8,62.05920173997356,5.10774511018178,0,0,3486,145 days 07:00:00,1000.0,1429.2428120348177,42.92428120348177,75.20772197369439,100.0,70.54347504002429,7.372993668516749,26 days 11:00:00,27,0,0.0,12.478430197723188,-2.7066476282019343,3.207985975210846,-1.7169314626598775,4 days 09:07:03.529411764,1 days 11:17:59.999999999,3.524136825321884,19.703834600902173,1.1567493548680543,-0.42925699546523277,0,26,63
SPY,true,30,69,21,,,71.42857142857143,6.380111306176605,144.57831325301206,17.416969332270526,5.541762969358803,3.036144578313253,7,52.88043700882135,6.143582486915039,0,0,3486,145 days 07:00:00,1000.0,1365.7563559776813,36.57563559776812,49.81620147041901,100.0,51.683516545072685,4.616737498531717,18 days 09:00:00,21,0,0.0,8.608364706985911,-2.879832471799603,2.5141049187012774,-0.9245533055591788,5 days 05:16:00,2 days 05:50:00,4.189341642415621,25.736353605667656,1.185619046019795,-0.26578834760239944,0,30,69
SPY,false,18,83,20,18,83,50.0,3.482136917405395,137.69363166953528,14.68900329164986,3.3721311505164966,2.891566265060241,6,42.474226385493566,4.661866871253618,0,0,3486,145 days 07:00:00,1000.0,1293.780065832997,29.378006583299715,49.81620147041901,100.0,44.272832041797145,5.26318533819958,25 days 03:00:00,20,0,0.0,9.12055115714174,-2.5493131422845137,3.82405993509092,-1.132913478005364,8 days 12:48:00,1 days 23:42:00,3.2753071543875687,17.288333987835117,1.1321055741196426,-0.4102720457170053,0,,
