Ticker,Use SMA,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
XOM,false,,,88,89,43,46.51162790697674,4.698089683674461,2.706445115810675,9320.384323083206,4279.331645125439,0.056835347432024175,1,529.7272812024255,1.090410468741024,0,0,15888,15889 days 00:00:00,1000.0,401776.52589257783,40077.65258925778,119874.12740075156,100.0,7848.1951916853395,33.41478733194326,1244 days 00:00:00,43,0,0.0,302.88369137410695,-9.480902088735322,54.293997079643205,-4.752497439927733,488 days 07:12:00,73 days 12:31:18.260869565,0.7497604182390751,0.4419408341594899,1.1358058994671443,-0.6656688690189664,266 days 10:36:16.744186048,0
ISRG,true,80,88,,,63,58.06451612903226,2.549966958132142,9.993552546744036,3642.138490186198,3010.031810071238,0.2132495164410058,1,776.6842718433816,1.776528158900299,0,0,6204,6205 days 00:00:00,1000.0,375792.1835213829,37479.21835213829,29532.93029361019,100.0,8842.622751250517,62.768320282833315,1021 days 00:00:00,62,1,148979.59712983866,181.28387639656034,-36.921622138947434,27.627743050691873,-6.863679167911274,80 days 04:40:00,27 days 16:36:55.384615384,1.073607205415142,0.6648555967520472,1.2583340797186644,0.26906534433013507,58 days 04:15:29.032258064,0
MTB,false,,,88,89,36,42.857142857142854,2.161907060405486,3.0910536077011392,2539.776951996162,874.5788402190639,0.06676675792634461,1,169.5726729408371,1.1945895424020396,0,0,11323,11324 days 00:00:00,1000.0,130338.02041363422,12933.80204136342,86207.2191012129,100.0,3132.434314552588,42.50087462134388,1676 days 00:00:00,35,1,40445.827093768574,320.9974888288953,-22.294918356756614,63.66755564792436,-6.852997167680819,457 days 06:24:00,63 days 08:24:00,0.7905413629958736,0.3999157876617264,1.162320315614116,-0.8499684576743127,232 days 04:06:51.428571428,0
XOM,true,42,70,,,125,51.2,1.903408474228973,7.867573011077543,825.6554922348905,640.5085030670666,0.1652190332326284,1,136.41400221025853,0.9157774117033916,0,0,15888,15889 days 00:00:00,1000.0,104206.93652936128,10320.693652936128,119874.11766386195,100.0,8831.997733215783,49.351913682963136,1706 days 00:00:00,125,0,0.0,67.18574483379288,-13.0410490477327,13.27829952085095,-4.427111033643165,114 days 10:07:30,44 days 13:46:13.770491803,0.631069941710635,0.2282393216865974,1.1215309270469453,-0.9139039030770905,80 days 08:03:50.399999999,0
ISRG,false,,,12,82,44,41.86046511627907,3.1268898172201904,6.931012250161186,1244.6660750790365,514.324824412825,0.14893617021276595,1,185.3757984160267,1.4182880598929493,0,0,6204,6205 days 00:00:00,1000.0,105120.38642837838,10412.038642837839,29532.93029361019,100.0,1323.2690070387296,60.48521477243766,1279 days 00:00:00,43,1,50599.745199979814,145.25812773928,-19.618659614754794,49.57721193348571,-8.398544920964682,167 days 09:20:00,31 days 03:50:24,0.8561711958993552,0.520773455718668,1.200573723896454,-0.6474430901599151,88 days 04:27:54.418604651,0
ITW,false,,,54,73,53,57.692307692307686,4.023292970310368,3.9709812905689197,669.8543582594399,461.3322026580164,0.08499427262313859,1,56.933783943700384,0.7796427959217155,0,0,13095,13096 days 00:00:00,1000.0,38264.38057845166,3726.4380578451655,47024.66916094602,100.0,850.1695389271958,51.30970990689202,2594 days 00:00:00,52,1,2431.9539489607996,82.89612971909109,-20.814310108453917,22.149696637648734,-8.181135606844677,258 days 06:24:00,40 days 16:21:49.090909090,0.5357420403988248,0.20837169376825584,1.1041777593917614,-0.9207556773001186,166 days 05:04:36.923076920,0
RF,false,,,76,85,39,39.473684210526315,1.959369007796789,3.3560010597898087,1071.0353867157949,368.81383840075586,0.07233065442020666,1,77.46869042835255,0.9509693633904831,0,0,11323,11324 days 00:00:00,1000.0,54988.691593888296,5398.86915938883,5588.069509123981,100.0,1367.771800672886,49.053482798707456,1785 days 00:00:00,38,1,13289.34689868809,142.8570702479271,-14.647943020933166,53.21604584575093,-8.09340472212052,399 days 19:12:00,59 days 01:02:36.521739130,0.6485436860686703,0.28106370856277396,1.1269061117950914,-0.03385790914487242,193 days 13:15:47.368421052,0
CSX,false,,,75,88,41,36.58536585365854,1.980854519125479,3.6731768500268767,659.0067659796676,226.93070453845306,0.0771367138505644,1,50.83361633295949,0.7716266221985936,0,0,11162,11163 days 00:00:00,1000.0,28019.277405166373,2701.927740516637,26224.873118229152,100.0,961.3860078334505,47.652976605373475,1627 days 00:00:00,41,0,0.0,158.50208968865599,-21.85385511460803,51.90466935888561,-8.064738274906635,405 days 20:48:00,65 days 19:23:04.615384615,0.5301096275805789,0.24161399961112393,1.0963713830399457,-0.8969707983586582,190 days 05:16:05.853658536,0
ITW,true,85,89,,,195,58.24742268041238,1.9388881194265917,14.814814814814815,247.63531454134665,218.54725510131343,0.3127147766323024,1,77.43922207306716,0.8216820151341266,0,0,13095,13096 days 00:00:00,1000.0,49611.28794720391,4861.128794720391,47024.69439758223,100.0,5153.558364762303,57.41690241224542,3067 days 00:00:00,194,1,570.0369261826418,88.15265777264074,-26.44489329871141,8.056131190483214,-4.942931679407159,49 days 01:54:41.415929203,32 days 03:15:33.333333333,0.5570946830011825,0.20021270639672828,1.1146470170371185,-0.8966260417639137,42 days 00:07:25.360824741,0
LYB,true,44,54,,,34,64.70588235294117,3.217796652818783,9.12751677852349,425.63193101139376,214.96562172292613,0.19167785234899326,1,81.58421442741881,1.6836190939828353,0,0,3725,3726 days 00:00:00,1000.0,15471.485654387385,1447.1485654387384,692.9410322512563,100.0,625.5763272409002,32.78792691609201,791 days 00:00:00,34,0,0.0,83.9680791675383,-12.843381033786633,18.695938441078077,-5.653457803349657,86 days 15:16:21.818181819,30 days 14:00:00,1.113596314616615,0.9386275158796795,1.228679200312428,1.088415172553977,66 days 20:28:14.117647058,0
