Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
IRM,true,81,83,false,138,60.14492753623188,1.934287423464464,0.0188113413304253,2.690904137959985,2.6531841702385215,0.3950381679389313,0.7900763358778626,1.0630098407590018,1.023953614406105,0,0,7336,7337 days 00:00:00,1000.0,20103.00342557147,1910.3003425571474,2790.827215668204,100.0,1948.1547932567967,49.0012091934035,1794 days 00:00:00,138,0,0.0,53.1587805835272,-26.369517787912844,7.51978916344974,-4.596322355051828,33 days 19:57:06.506024096,27 days 10:02:10.909090909,138.4275610548659,0.6860545334204372,0.328575403027373,1.1507056968565583,0.38986348575566115,21.241450625538025,1.1501754177335852,0.4199729049738726,-0.019992394636091315,None,None,0.0005095752413205602,0.12841296081278117,19.103003425571444,0.10856816845158246,0.22526638150818215,-0.3155074840060399,10625.555555555555,1.4084986023270314,2.7505964791993596,31 days 06:36:31.304347825
JKHY,false,41,81,false,46,55.55555555555556,3.362483566161429,0.004539035707080896,23.95604278434928,11.031517215117555,0.09743796651200323,0.19275771636070205,2.3342280945815417,0.9328127851766319,0,0,9914,9915 days 00:00:00,1000.0,96601.1720062638,9560.11720062638,47523.999023438366,100.0,3552.743616503016,80.22559964205328,1434 days 00:00:00,45,1,-6967.618602283488,599.2,-25.174934925798613,51.847090812564986,-10.90776725092036,219 days 10:33:36,52 days 13:12:00,2279.306457967718,0.6226836238066807,0.22840635477578144,1.1420955452998263,0.6113665356046062,17.866581374627224,1.040266628817033,0.4587317934382816,-0.027799292445743345,None,None,0.0006735763934667695,0.16974125115362593,95.60117200626395,0.1231826459176999,0.3280696963516018,-0.798836011340051,14359.563492063491,0.9453455603603601,2.700492087966617,145 days 06:24:00
JBHT,true,31,36,false,235,49.361702127659576,1.2603136073654093,0.022557112689575734,2.0076358447868285,1.6245954516586827,0.47369936648109046,0.9473987329621809,0.9510158278002495,0.7724252026606241,0,0,10418,10419 days 00:00:00,1000.0,22518.368915537234,2151.8368915537235,9378.051782958164,100.0,6647.1918841265215,55.30518076118117,1490 days 00:00:00,235,0,0.0,82.16997995133238,-21.296924499572434,9.219716741128853,-5.022627886101196,31 days 07:51:43.448275862,17 days 22:11:05.546218487,91.56752730015859,0.5073265941541335,0.20843581519839238,1.1070022035987153,0.8717879273239798,13.601012668701657,1.1847804253385525,0.3480398499159011,-0.023908805635355954,None,None,0.0004275375665374045,0.10773946676742593,21.518368915537184,0.07823455440348304,0.25558381882609665,-0.7705454244276994,15089.563492063491,2.190349023735029,1.725475019626403,24 days 12:58:12.765957446
IVZ,true,71,80,false,69,55.072463768115945,1.8992819486067392,0.009266720386784852,6.715098262095832,4.700197715226407,0.19460112812248187,0.38920225624496374,1.3067656972571664,0.9531413497315385,0,0,7446,7447 days 00:00:00,1000.0,23606.279612677434,2260.627961267743,123.3823405046384,100.0,1583.3198298201276,65.0253079900513,2193 days 00:00:00,69,0,0.0,111.81880201075187,-21.723172463468636,18.308797366366385,-7.496532897977747,78 days 05:03:09.473684211,32 days 00:00:00,327.62724076344114,0.6410523462149594,0.25775467930320894,1.1394417849328846,0.3663124717720856,10.553998451055932,1.0912803967084712,0.36994113318616634,-0.02553684471858887,None,None,0.0005669381123714442,0.14286840431760395,22.60627961267732,0.11291515766633542,0.26821858187893416,17.32213550190157,10784.880952380952,1.0033981065066315,1.6399276915930976,57 days 10:46:57.391304347
JNPR,true,16,18,false,308,44.48051948051948,1.1787862030998593,0.04753820033955857,1.442498503464014,1.0518538161303488,0.99830220713073,1.99660441426146,1.4400494397909003,0.925691423506289,0,0,6479,6480 days 00:00:00,1000.0,14979.343082482954,1397.9343082482953,119.18581731353734,100.0,7317.387993044374,57.840863699808985,1988 days 00:00:00,308,0,0.0,92.37036831190824,-24.296271711553903,8.28051825702408,-4.035914983306331,14 days 17:31:05.693430657,7 days 10:23:09.473684210,45.38747754052923,0.5695460790725503,0.28473794959194165,1.1434484778090406,2.2452433354875168,29.784689039460154,1.2920899615075423,0.34915677701436604,-0.02746095563141153,None,None,0.0006471119675383419,0.16307221581966216,13.979343082482961,0.11099884549100958,0.3445857136583587,10.729032361046832,9384.265873015873,1.9775003273278158,1.5734678145898127,10 days 16:17:08.571428570
J,false,40,79,false,50,52.0,2.0778622585788935,0.0044048982468504975,10.973579422001912,5.255352090109592,0.09250286318386046,0.18500572636772092,1.0150875159106694,0.8263241054997097,0,0,11351,11352 days 00:00:00,1000.0,44449.18899064043,4344.918899064043,24774.366122213,100.0,1817.8556840414906,60.88061783530897,3359 days 00:00:00,50,0,0.0,102.90535521173072,-17.65012887881557,28.475093101070804,-7.9863937303227255,211 days 11:04:36.923076924,55 days 14:00:00,868.9837798128083,0.5447728833558831,0.21312753568322473,1.1164466093828034,1.1717286148906005,27.072206039513617,1.0850857495686754,0.3932253313696612,-0.02298290616104158,None,None,0.00046721587201689185,0.11773839974825674,43.4491889906404,0.08787873343123831,0.26010506462483274,-0.8246203806938844,16440.93253968254,1.0546036736543283,1.5435829237370888,136 days 15:21:36
IPGP,true,19,22,false,176,53.714285714285715,1.2381221785280416,0.03804347826086957,1.638627583121024,1.4429132816241335,0.8034782608695653,1.6023913043478262,1.3166016406989793,0.8598614795075304,0,0,4600,4601 days 00:00:00,1000.0,5914.745277716751,491.47452777167507,154.41404798009947,100.0,1409.1597609769026,57.98857052175204,1524 days 00:00:00,175,1,-122.27407419996962,79.93856471174347,-29.8939536480107,8.386008252060865,-6.1916660326857045,17 days 10:58:43.404255319,9 days 18:04:26.666666666,28.782967725238365,0.5638601681198803,0.2611403819665323,1.1290732920766533,1.5462840146727512,48.53644206427456,1.1942808477108284,0.3787833383278394,-0.027475378986258212,None,None,0.0005717900658238324,0.14409109658760574,4.914745277716748,0.10224840527771883,0.3075472810305047,2.182835591713878,6662.6984126984125,1.2595704564119796,1.1807948010938298,13 days 21:23:39.428571427
JCI,false,41,47,false,53,42.30769230769231,2.0508047826449305,0.005504392928972161,11.200871203562166,4.538942097593805,0.11781517942203874,0.23340743093045413,1.3196326505308236,0.8214834103858416,0,0,9447,9448 days 00:00:00,1000.0,26151.828481816447,2515.1828481816447,1050.015826974559,100.0,961.3139839217642,67.89713061349511,2302 days 00:00:00,52,1,-2102.2570173835993,221.68314345504453,-50.94227335864092,37.58896875359415,-8.150400333127957,218 days 20:43:38.181818184,40 days 09:36:00,524.1170288307702,0.6095659778822932,0.1979290109110596,1.1285868151652245,-7.346752734398114,313.2455318168965,1.0844751079146469,0.46959091616114484,-0.01972975938205051,None,None,0.0004679541446463487,0.11792444445087986,25.151828481816548,0.09095806354389735,0.2328248229313125,1.3953761301186418,13683.154761904761,0.9905402061798344,1.1574033351409627,115 days 21:41:32.307692308
SJM,true,77,83,false,102,53.92156862745098,1.5751119081929301,0.013328106624852998,1.681781560988664,1.4866278665119979,0.27989023912191296,0.5597804782438259,0.4707142432559412,0.6240510104825722,0,0,7653,7654 days 00:00:00,1000.0,4023.5694664320367,302.3569466432037,389.7684197676837,100.0,569.7207052918513,45.13944514604313,2162 days 00:00:00,102,0,0.0,41.98000211715699,-19.68049999999999,6.386897077772974,-3.8242046820568047,50 days 22:41:27.272727272,27 days 16:51:03.829787234,29.64283790619647,0.4089047981177362,0.15206744151079113,1.0934879301035971,1.7007362761927034,32.447761875312864,1.0886660822981413,0.363620167468377,-0.01621486622959434,None,None,0.0002485859038446627,0.062643647768855,3.0235694664320345,0.04690242495477914,0.1843745588388091,-0.22426515000004485,11084.70238095238,1.2368104852267559,1.074650751504764,40 days 05:38:49.411764705
JBHT,false,42,43,false,71,43.66197183098591,1.640639228704326,0.006815127663659052,5.260478310391965,3.003772842552052,0.1431176809368401,0.2862353618736802,0.7528674564018449,0.6527852023718652,0,0,10418,10419 days 00:00:00,1000.0,12701.703989179414,1170.1703989179414,9378.051782958164,100.0,961.7171838221806,57.917401518237234,1514 days 00:00:00,71,0,0.0,86.81649064239815,-21.62702071093627,21.296178606537545,-7.167189419120858,152 days 05:25:09.677419354,40 days 06:00:00,164.81273224196354,0.4365052152231106,0.1607929555415236,1.0886438691541125,0.5368405312982978,16.380654846246717,1.0886438691541116,0.399838774687626,-0.024651038428572903,None,None,0.00038657264147520706,0.09741630565175217,11.701703989179263,0.06340487933088967,0.2685890979335933,-0.8752224421447127,15089.563492063491,1.20395032068668,0.9229230008800634,89 days 03:22:49.014084507
