Ticker,Use SMA,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Current
QQQ,true,26,63,,,28,60.71428571428571,2.7660347592661165,192.9371231696813,14.878206964746465,5.806462773202247,4.051679586563307,9,60.28172744372728,4.9740636866182015,0,0,3483,145 days 04:00:00,1000.0,1416.5897950129013,41.658979501290126,74.09547325392532,100.0,71.91009727729539,7.372993668516754,26 days 04:00:00,28,0,0.0,12.478430197723196,-2.706647628201939,3.2079859752108484,-1.641408641136911,4 days 09:07:03.529411764,1 days 08:21:49.090909090,3.4363280008459367,18.993432302632662,1.1522559737432578,-0.4377661998523887,0
SPY,true,30,69,,,21,71.42857142857143,6.380111306176605,144.70284237726096,17.416969332270526,5.541762969358803,3.0387596899224807,7,52.925984327519735,6.146226973365185,0,0,3483,145 days 04:00:00,1000.0,1365.7563559776813,36.57563559776812,49.00697722844405,100.0,51.683516545072685,4.616737498531717,18 days 09:00:00,21,0,0.0,8.608364706985911,-2.879832471799603,2.5141049187012774,-0.9245533055591788,5 days 05:16:00,2 days 05:50:00,4.191148030440905,25.768323265534338,1.185619046019795,-0.25366472967160847,0
QQQ,false,,,26,88,18,44.44444444444444,3.9281159881678294,124.03100775193798,24.764385468953524,4.5480965048583135,2.6046511627906974,6,64.50258540750684,4.6965779324924135,0,0,3483,145 days 04:00:00,1000.0,1445.7589384411635,44.575893844116344,74.09547325392532,100.0,45.38785706210926,7.300353444064337,24 days 10:00:00,18,0,0.0,16.590799542364678,-2.979585747401377,6.493174967096388,-1.244894264297207,10 days 03:00:00,2 days 12:54:00,3.288734208696954,20.91138090065643,1.132759043963451,-0.39839922890626966,0
SPY,false,,,18,83,19,52.63157894736842,3.8120651523097884,130.92161929371233,16.16685749898928,3.7113997931564002,2.7493540051679584,6,44.44841441582582,4.861145197851538,0,0,3483,145 days 04:00:00,1000.0,1307.1702924807962,30.71702924807962,49.00697722844405,100.0,42.72061262472619,5.263185338199583,24 days 20:00:00,19,0,0.0,9.12055115714172,-2.5493131422845114,3.8240599350909106,-1.1448642088543457,8 days 12:48:00,2 days 04:00:00,3.4107456711577964,18.260822261152885,1.1384036987144135,-0.37321110206627467,0
