Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration,Profit Factor Adjusted
IRM,true,81,83,false,138,60.14492753623188,1.934287423464464,0.0188113413304253,2.690904137959985,2.6531841702385215,0.3950381679389313,0.7900763358778626,1.0630098407590018,1.023953614406105,0,0,7336,7337 days 00:00:00,1000.0,20103.00342557147,1910.3003425571474,2790.827215668204,100.0,1948.1547932567967,49.0012091934035,1794 days 00:00:00,138,0,0.0,53.1587805835272,-26.369517787912844,7.51978916344974,-4.596322355051828,33 days 19:57:06.506024096,27 days 10:02:10.909090909,138.4275610548659,0.6860545334204372,0.328575403027373,1.1507056968565583,0.38986348575566115,21.241450625538025,1.1501754177335852,0.4199729049738726,-0.019992394636091315,None,None,0.0005095752413205602,0.12841296081278117,19.103003425571444,0.10856816845158246,0.22526638150818215,-0.3155074840060399,10625.555555555555,1.4084986023270314,2.7505964791993596,31 days 06:36:31.304347825,1.934287423464464
JKHY,true,21,23,false,427,50.70422535211267,1.2788642714640637,0.04296953802703248,1.515558159479669,1.2597574172539387,0.9044785152309865,1.8068388137986686,1.3707897938323776,0.8725915426123393,0,0,9914,9915 days 00:00:00,1000.0,58555.72256798618,5755.572256798618,47523.999023438366,100.0,27027.59822278752,67.57884964731434,1394 days 00:00:00,426,1,-4223.488528776827,144.1003546237946,-33.10669291338582,7.242058791528347,-4.374556776341828,17 days 00:33:20,9 days 11:32:34.285714285,145.02162229287057,0.5861823407312036,0.23917860396598184,1.1412931695672108,0.6399380616239215,20.292789321618102,1.2047450357692266,0.3772746214752049,-0.02649155258764667,None,None,0.000602337558529642,0.1517890647494698,57.55572256798579,0.10898227963327733,0.31164051696898154,-0.8788912470526729,14359.563492063491,2.880219660880842,2.6716242779251576,13 days 07:19:26.197183098,
J,true,64,65,false,338,52.662721893491124,1.2878261546798389,0.029777112148709366,1.7590787434217172,1.5186536828454054,0.6253193551228967,1.2506387102457934,1.0999859854468637,0.8712527772466594,0,0,11351,11352 days 00:00:00,1000.0,57551.584360069144,5655.158436006915,24774.366122213,100.0,19290.913253037164,67.72649307688833,4336 days 00:00:00,338,0,0.0,105.1491088917057,-25.3181836043209,6.853265385147924,-3.908203895498688,23 days 16:18:52.584269663,14 days 05:42:00,167.31237976351872,0.5684122233489415,0.2054977596835684,1.1252912468376157,1.3137526147934682,28.136212730070827,1.1994782024058943,0.3696911196911197,-0.02291745043306172,None,None,0.0004925419562705795,0.12412057298018604,56.55158436006971,0.0941353231932931,0.26280070443353626,-0.7717334761216583,16440.93253968254,2.7419695515012537,2.6560577363457405,19 days 05:02:29.112426035,
JCI,true,72,79,false,98,62.244897959183675,1.8920334329079382,0.010373663596909072,6.1435124531640115,6.1435124531640115,0.21784693553509052,0.43569387107018104,1.3383453613434462,0.7997519197670959,0,0,9447,9448 days 00:00:00,1000.0,26563.233628152964,2556.3233628152966,1050.015826974559,100.0,1417.448678888946,80.0086506819197,5292 days 00:00:00,98,0,0.0,206.90975644598447,-61.73163260705137,15.00500121482913,-8.465969018770373,76 days 01:10:49.180327869,33 days 00:00:00,260.8493227362549,0.5996531474288916,0.16882221504954836,1.1325170840969796,-7.065738158452216,275.4556907933456,1.0958473080270368,0.4504144918636782,-0.019747786121993304,None,None,0.00047961868492471727,0.12086390860102875,25.563233628152897,0.09141235328630937,0.24257312271501394,1.4345569820417896,13683.154761904761,1.3469367777024919,2.0797217473638763,59 days 19:06:07.346938775,
JBHT,true,45,47,false,313,51.43769968051119,1.319426312988385,0.030044154348243424,1.3152672953880185,1.1090872809797883,0.630927241313112,1.261854482626224,0.8298379662685205,0.6341348935814202,0,0,10418,10419 days 00:00:00,1000.0,11108.185562112896,1010.8185562112895,9378.051782958164,100.0,3170.8415130855005,73.34430456548586,1966 days 00:00:00,313,0,0.0,87.33144308907646,-48.77960130421695,6.827926938068233,-4.523799826135103,23 days 13:33:54.782608695,13 days 21:00:00,32.29452256266097,0.42419614595953875,0.11998968179509874,1.0888765206165845,0.5027258021976561,17.448111419064173,1.201682703232262,0.3587636932707356,-0.02412673424549865,None,None,0.00036806551858661695,0.09275251068382748,10.108185562112917,0.05996257962352969,0.26315105629929564,-0.892214440738304,15089.563492063491,2.5278515212996626,1.7834874456644643,18 days 20:37:34.313099040,
J,false,28,88,false,58,53.44827586206896,2.168760648713876,0.005109681966346577,9.237990064171582,5.274962092269645,0.10730332129327813,0.21460664258655626,0.9912670159599143,0.7991267524821397,0,0,11351,11352 days 00:00:00,1000.0,37968.08956191868,3696.8089561918673,24774.366122213,100.0,1537.3354082209519,65.80003565168347,3317 days 00:00:00,58,0,0.0,98.64289964193316,-14.798177653493507,24.464718338953688,-8.244549806874534,183 days 21:40:38.709677420,41 days 08:53:20,637.3808545158391,0.5283755660362294,0.18851512075087015,1.1131802625099116,1.1540984204368858,27.301494410209017,1.0853507559471631,0.3925417075564278,-0.023080012626991542,None,None,0.0004536530059266989,0.11432055749352812,36.96808956191871,0.08407940186920881,0.26039207920412605,-0.8507808862614142,16440.93253968254,1.1358429177676101,1.724842458234232,117 days 13:14:28.965517241,
IVZ,true,71,80,false,69,55.072463768115945,1.8992819486067392,0.009266720386784852,6.715098262095832,4.700197715226407,0.19460112812248187,0.38920225624496374,1.3067656972571664,0.9531413497315385,0,0,7446,7447 days 00:00:00,1000.0,23606.279612677434,2260.627961267743,123.3823405046384,100.0,1583.3198298201276,65.0253079900513,2193 days 00:00:00,69,0,0.0,111.81880201075187,-21.723172463468636,18.308797366366385,-7.496532897977747,78 days 05:03:09.473684211,32 days 00:00:00,327.62724076344114,0.6410523462149594,0.25775467930320894,1.1394417849328846,0.3663124717720856,10.553998451055932,1.0912803967084712,0.36994113318616634,-0.02553684471858887,None,None,0.0005669381123714442,0.14286840431760395,22.60627961267732,0.11291515766633542,0.26821858187893416,17.32213550190157,10784.880952380952,1.0033981065066315,1.6399276915930976,57 days 10:46:57.391304347,
JNPR,true,55,56,false,223,54.26008968609865,1.2482121102084227,0.03441889180429079,1.4680507912097276,1.3058453704063593,0.7227967278901065,1.445593455780213,1.061102308262873,0.8024162515640069,0,0,6479,6480 days 00:00:00,1000.0,8728.646643377346,772.8646643377346,119.18581731353734,100.0,3308.538468884109,57.8126750755973,1988 days 00:00:00,223,0,0.0,116.35398290484964,-30.704916115302105,6.234293828255421,-4.186021831168007,17 days 13:29:15.371900826,11 days 11:03:31.764705882,34.657608266266095,0.5028573391095208,0.22451507725754402,1.1227084491930257,1.9263662153902694,27.485848244322668,1.2269743626890866,0.3469133236333403,-0.027502463941527364,None,None,0.000541498443928372,0.13645760786994973,7.728646643377354,0.08790852493311796,0.32658717238513746,5.484535507312842,9384.265873015873,1.6826494090872366,1.4991062589163384,14 days 18:30:40.358744394,
IPGP,true,19,22,false,176,53.714285714285715,1.2381221785280416,0.03804347826086957,1.638627583121024,1.4429132816241335,0.8034782608695653,1.6023913043478262,1.3166016406989793,0.8598614795075304,0,0,4600,4601 days 00:00:00,1000.0,5914.745277716751,491.47452777167507,154.41404798009947,100.0,1409.1597609769026,57.98857052175204,1524 days 00:00:00,175,1,-122.27407419996962,79.93856471174347,-29.8939536480107,8.386008252060865,-6.1916660326857045,17 days 10:58:43.404255319,9 days 18:04:26.666666666,28.782967725238365,0.5638601681198803,0.2611403819665323,1.1290732920766533,1.5462840146727512,48.53644206427456,1.1942808477108284,0.3787833383278394,-0.027475378986258212,None,None,0.0005717900658238324,0.14409109658760574,4.914745277716748,0.10224840527771883,0.3075472810305047,2.182835591713878,6662.6984126984125,1.2595704564119796,1.1807948010938298,13 days 21:23:39.428571427,
SJM,true,77,83,false,102,53.92156862745098,1.5751119081929301,0.013328106624852998,1.681781560988664,1.4866278665119979,0.27989023912191296,0.5597804782438259,0.4707142432559412,0.6240510104825722,0,0,7653,7654 days 00:00:00,1000.0,4023.5694664320367,302.3569466432037,389.7684197676837,100.0,569.7207052918513,45.13944514604313,2162 days 00:00:00,102,0,0.0,41.98000211715699,-19.68049999999999,6.386897077772974,-3.8242046820568047,50 days 22:41:27.272727272,27 days 16:51:03.829787234,29.64283790619647,0.4089047981177362,0.15206744151079113,1.0934879301035971,1.7007362761927034,32.447761875312864,1.0886660822981413,0.363620167468377,-0.01621486622959434,None,None,0.0002485859038446627,0.062643647768855,3.0235694664320345,0.04690242495477914,0.1843745588388091,-0.22426515000004485,11084.70238095238,1.2368104852267559,1.074650751504764,40 days 05:38:49.411764705,
