Ticker,Use SMA,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
PDD,true,27,29,,,58,52.63157894736842,1.3926998616823225,34.862385321100916,117.9556674018275,81.23668553844868,0.7449541284403669,2,87.8715614039302,1.6752962627760195,0,0,1635,1636 days 00:00:00,1000.0,7715.75728461955,671.575728461955,320.1498018714877,100.0,731.669249466454,59.31539628041974,241 days 00:00:00,57,1,-7.7157572846190305,110.38462216444202,-36.41169565985783,17.914557686593074,-8.352518665865468,16 days 10:24:00,12 days 05:19:59.999999999,1.0636530526801602,0.9736661623227693,1.2596366149590044,1.0976921570344569,14 days 10:31:34.736842104,1
PANW,true,8,31,,,60,49.152542372881356,1.6995056069595962,18.742058449809402,74.5783087403578,49.65038919812617,0.40025412960609913,1,29.850276052366844,1.021444050937188,0,0,3148,3149 days 00:00:00,1000.0,5394.725490190919,439.4725490190919,2078.8821277869906,100.0,391.91436847129,36.94401530172986,727 days 00:00:00,59,1,-5.394725490190467,60.26066268802075,-17.305082033222334,14.516171718093743,-6.17730492105513,50 days 14:53:47.586206896,16 days 15:12:00,0.73869628469894,0.5839777434435321,1.1595480248740626,-0.7886015069613789,33 days 08:08:08.135593219,1
PANW,false,,,12,21,54,41.509433962264154,1.7330709730232394,16.836086404066073,93.38956951682427,47.166449250921346,0.3602287166454892,1,33.64160477512031,1.0563636134502674,0,0,3148,3149 days 00:00:00,1000.0,5943.703480910775,494.3703480910775,2078.8821277869906,100.0,402.62136200461066,40.82564444655625,904 days 00:00:00,53,1,-5.9437034809097895,121.26658331016269,-16.394697948403202,20.499239086691325,-5.9024002488019445,70 days 07:38:10.909090909,15 days 10:03:52.258064516,0.7623755434621039,0.5620931655651755,1.1622467923908129,-0.762194141994311,38 days 04:58:52.075471698,1
ERIE,true,47,52,,,133,46.96969696969697,2.484296849746273,17.888602791706194,64.49759291845749,45.90049082810335,0.37850657270632876,1,24.412762843373322,0.8415430801261895,0,0,7379,7380 days 00:00:00,1000.0,9504.178087149236,850.4178087149235,2415.855540178809,100.0,752.8034055314064,42.7982917412775,1951 days 00:00:00,132,1,-9.50417808714883,65.33441009731507,-26.37964799806012,7.922736165568084,-2.9579650404166564,45 days 13:32:54.193548387,19 days 06:30:51.428571428,0.5532623552198975,0.2752541805926574,1.1326830346104673,-0.6479848258426992,31 days 14:54:32.727272726,1
PODD,true,25,31,,,89,48.86363636363637,1.5914309279617584,19.753086419753085,53.00125623276948,39.23991077839339,0.41952861952861953,1,22.23554386061642,0.8538601213134809,0,0,4455,4456 days 00:00:00,1000.0,5658.452096387324,465.84520963873234,1629.1353418614908,100.0,446.14815960967695,64.75557656141758,1558 days 00:00:00,88,1,-5.658452096387009,50.31255694486857,-39.40040673919512,13.720620972673336,-7.275520566626727,41 days 20:39:04.186046512,18 days 11:11:59.999999999,0.5539242248174236,0.23555856038419506,1.1177803922859395,-0.7140537083269914,29 days 21:32:43.636363635,1
STLD,false,,,4,24,202,35.32338308457712,1.5896484713279995,28.357787810383748,65.15963277902387,34.87361621672467,0.5984762979683973,2,38.996495802570436,0.8086217872295841,0,0,7088,7089 days 00:00:00,1000.0,14083.003185398386,1308.3003185398386,2628.590669567967,100.0,1654.1837868423836,57.596754263112636,1704 days 00:00:00,201,1,-14.083003185396592,91.0116224254988,-18.60665031810287,13.404418369732236,-4.329353534590329,40 days 13:51:32.957746478,8 days 20:07:23.076923077,0.54823666076074,0.2533016941909936,1.1101275753786,-0.502280696007009,20 days 01:11:38.507462685,1
RF,false,,,15,21,182,43.646408839779006,1.4401708706724572,16.00495180829428,34.37092362600869,22.729808860327193,0.33796091608453444,1,11.616028835317465,0.5431296696396224,0,0,11309,11310 days 00:00:00,1000.0,7213.923253054516,621.3923253054517,1436.5474677885954,100.0,1129.6607732596203,69.84434372153126,4756 days 00:00:00,181,1,-7.213923253053508,71.694557033436,-17.688493153441836,9.733964931421415,-4.55979130435116,63 days 09:25:03.797468354,15 days 19:31:45.882352941,0.3614923779435463,0.09427791849936615,1.0894441771975565,-0.5674404506368204,36 days 13:55:21.546961325,1
NUE,true,4,12,,,547,40.29304029304029,1.2066727406002773,48.28013086921921,30.55998908277033,18.656891991923278,1.015739676363958,3,31.04099342061922,0.6801692132054012,0,0,11309,11310 days 00:00:00,1000.0,17668.08595323934,1666.8085953239342,15780.784696690958,100.0,6755.892504017208,56.29580686291023,3754 days 00:00:00,546,1,-17.668085953238915,45.52703476624113,-18.494588577080677,7.30833705790956,-3.6156634210877248,18 days 04:02:10.909090909,6 days 06:37:32.760736196,0.46215617530988135,0.1724974252595115,1.09456210746473,-0.8943773312062585,11 days 01:37:34.945054944,1
RF,true,20,28,,,240,47.69874476987448,1.24356654992479,21.13361039879742,15.894809945323914,11.487310344661633,0.4456627464851004,1,7.083724655091744,0.48471047994848987,0,0,11309,11310 days 00:00:00,1000.0,4794.065511420993,379.4065511420993,1436.5474677885954,100.0,1270.7237817829523,82.71498203453777,5889 days 00:00:00,239,1,-4.79406551142074,38.170682285684194,-17.543749310821305,7.171942041362464,-4.595878447496975,39 days 02:18:56.842105263,14 days 17:39:50.400000,0.3170974630675589,0.06272639049955156,1.0818460037488302,-0.7358900004006458,26 days 08:32:08.033472803,1
NUE,false,,,7,17,322,35.51401869158878,1.2152533090389515,28.384472543991514,20.910675231738963,11.251850167177578,0.5979308515341764,2,12.503137847468288,0.5427560231345376,0,0,11309,11310 days 00:00:00,1000.0,7704.622127260942,670.4622127260942,15780.784696690958,100.0,2186.06900513804,66.54139113273878,3705 days 00:00:00,321,1,-7.704622127260336,81.55950528039901,-16.100772404464603,10.550780008410275,-4.069326235372063,38 days 00:37:53.684210526,9 days 04:17:23.478260869,0.3716619158651281,0.10236306012890346,1.073980542040065,-0.9575140130473562,19 days 10:10:05.607476634,1
STLD,true,5,36,,,152,39.735099337748345,1.2428929913581495,21.303611738148984,17.955329612238216,10.809951602792424,0.4503386004514673,1,8.085978008220145,0.533827869103238,0,0,7088,7089 days 00:00:00,1000.0,3707.54722422374,270.754722422374,2628.590669567967,100.0,592.4502396164706,55.658575826287525,3675 days 00:00:00,151,1,-3.7075472242231626,76.49943097135323,-20.363305492070435,13.786721884158315,-6.309876756579367,47 days 16:48:00,12 days 14:30:19.780219780,0.3675281639459197,0.12540155325199215,1.0725170991297286,-0.8969962400167558,26 days 13:11:31.390728476,1
