Metric Type,Ticker,Strategy Type,SMA_FAST,SMA_SLOW,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Total Return [%],NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Least Total Return [%],NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Mean Total Return [%],NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Median Total Return [%],NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Most Total Fees Paid,NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Least Total Fees Paid,NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Mean Total Fees Paid,NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Median Total Fees Paid,NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Most Max Drawdown [%],NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Least Max Drawdown [%],NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Mean Max Drawdown [%],NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Median Max Drawdown [%],NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Most Total Trades,NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Least Total Trades,NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
Mean Total Trades,NDAQ,SMA,57,63,0,true,false,1,87,1.3850436319627673,54.65116279069767,2.1434207797820997,5.657403299523328,1.1212643486002072,0.14783043987899383,40 days 04:11:09.767441860,0.010295707034117118,0.31680249696549334,0.6299635859198891,1.7922794916298113,0,5767,5768 days 00:00:00,1000.0,19135.720950088158,1813.5720950088157,1580.0000000000048,100.0,1372.2907365441313,46.70908736055092,1613 days 00:00:00,86,-19.13572095008567,281.4492058781435,-25.463181367864575,14.82606112277692,-5.392004846448948,53 days 20:56:10.212765958,23 days 16:00:00,211.10298454695646,0.7404462438297551,0.4396490433694643,1.172427073407799,1.2181400833523714,30.116954914757706,1.087986342359042,1.0776119402985074,-0.022316660948754827,0.0006518229084343558,0.16425937292545764,18.13572095008817,0.13763495944388637,0.2669824954395698,3456,172,8352.996031746032,,
