Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Total Return [%],GL,SMA,10,41,0,true,false,1,160,1.007159176948605,47.16981132075472,1.6138505305882227,2.3208017932938443,0.6454674236455151,-0.6882442703881545,44 days 00:54:20.377358490,0.009751740469552583,0.2984809451896598,0.5950963844718842,0.692715112860204,0,11257,11258 days 00:00:00,1000.0,14138.488034207072,1313.848803420707,4214.353349837475,100.0,1811.7886015319777,55.47189137467568,1952 days 00:00:00,159,-14.138488034204784,56.35498191330882,-51.08657094050903,10.29956904720397,-4.803097540554483,68 days 19:31:12,21 days 22:00:00,82.72092152353005,0.47500651765767177,0.16166150470670254,1.1044197355791672,-4.871200665950331,193.2382078265971,1.0559158928146395,1.0459353278936236,-0.017857837239082863,0.0003291491149588799,0.08294557696963774,13.138488034207057,0.061086318597634026,0.21015504761403506,7003,318,16304.781746031746,,
Median Total Trades,GL,SMA,10,41,0,true,false,1,160,1.007159176948605,47.16981132075472,1.6138505305882227,2.3208017932938443,0.6454674236455151,-0.6882442703881545,44 days 00:54:20.377358490,0.009751740469552583,0.2984809451896598,0.5950963844718842,0.692715112860204,0,11257,11258 days 00:00:00,1000.0,14138.488034207072,1313.848803420707,4214.353349837475,100.0,1811.7886015319777,55.47189137467568,1952 days 00:00:00,159,-14.138488034204784,56.35498191330882,-51.08657094050903,10.29956904720397,-4.803097540554483,68 days 19:31:12,21 days 22:00:00,82.72092152353005,0.47500651765767177,0.16166150470670254,1.1044197355791672,-4.871200665950331,193.2382078265971,1.0559158928146395,1.0459353278936236,-0.017857837239082863,0.0003291491149588799,0.08294557696963774,13.138488034207057,0.061086318597634026,0.21015504761403506,7003,318,16304.781746031746,,
Most Expectancy,GL,SMA,10,41,0,true,false,1,160,1.007159176948605,47.16981132075472,1.6138505305882227,2.3208017932938443,0.6454674236455151,-0.6882442703881545,44 days 00:54:20.377358490,0.009751740469552583,0.2984809451896598,0.5950963844718842,0.692715112860204,0,11257,11258 days 00:00:00,1000.0,14138.488034207072,1313.848803420707,4214.353349837475,100.0,1811.7886015319777,55.47189137467568,1952 days 00:00:00,159,-14.138488034204784,56.35498191330882,-51.08657094050903,10.29956904720397,-4.803097540554483,68 days 19:31:12,21 days 22:00:00,82.72092152353005,0.47500651765767177,0.16166150470670254,1.1044197355791672,-4.871200665950331,193.2382078265971,1.0559158928146395,1.0459353278936236,-0.017857837239082863,0.0003291491149588799,0.08294557696963774,13.138488034207057,0.061086318597634026,0.21015504761403506,7003,318,16304.781746031746,,
Most Sharpe Ratio,GL,SMA,10,41,0,true,false,1,160,1.007159176948605,47.16981132075472,1.6138505305882227,2.3208017932938443,0.6454674236455151,-0.6882442703881545,44 days 00:54:20.377358490,0.009751740469552583,0.2984809451896598,0.5950963844718842,0.692715112860204,0,11257,11258 days 00:00:00,1000.0,14138.488034207072,1313.848803420707,4214.353349837475,100.0,1811.7886015319777,55.47189137467568,1952 days 00:00:00,159,-14.138488034204784,56.35498191330882,-51.08657094050903,10.29956904720397,-4.803097540554483,68 days 19:31:12,21 days 22:00:00,82.72092152353005,0.47500651765767177,0.16166150470670254,1.1044197355791672,-4.871200665950331,193.2382078265971,1.0559158928146395,1.0459353278936236,-0.017857837239082863,0.0003291491149588799,0.08294557696963774,13.138488034207057,0.061086318597634026,0.21015504761403506,7003,318,16304.781746031746,,
Most Calmar Ratio,GL,SMA,10,41,0,true,false,1,160,1.007159176948605,47.16981132075472,1.6138505305882227,2.3208017932938443,0.6454674236455151,-0.6882442703881545,44 days 00:54:20.377358490,0.009751740469552583,0.2984809451896598,0.5950963844718842,0.692715112860204,0,11257,11258 days 00:00:00,1000.0,14138.488034207072,1313.848803420707,4214.353349837475,100.0,1811.7886015319777,55.47189137467568,1952 days 00:00:00,159,-14.138488034204784,56.35498191330882,-51.08657094050903,10.29956904720397,-4.803097540554483,68 days 19:31:12,21 days 22:00:00,82.72092152353005,0.47500651765767177,0.16166150470670254,1.1044197355791672,-4.871200665950331,193.2382078265971,1.0559158928146395,1.0459353278936236,-0.017857837239082863,0.0003291491149588799,0.08294557696963774,13.138488034207057,0.061086318597634026,0.21015504761403506,7003,318,16304.781746031746,,
Most Omega Ratio,GL,SMA,10,41,0,true,false,1,160,1.007159176948605,47.16981132075472,1.6138505305882227,2.3208017932938443,0.6454674236455151,-0.6882442703881545,44 days 00:54:20.377358490,0.009751740469552583,0.2984809451896598,0.5950963844718842,0.692715112860204,0,11257,11258 days 00:00:00,1000.0,14138.488034207072,1313.848803420707,4214.353349837475,100.0,1811.7886015319777,55.47189137467568,1952 days 00:00:00,159,-14.138488034204784,56.35498191330882,-51.08657094050903,10.29956904720397,-4.803097540554483,68 days 19:31:12,21 days 22:00:00,82.72092152353005,0.47500651765767177,0.16166150470670254,1.1044197355791672,-4.871200665950331,193.2382078265971,1.0559158928146395,1.0459353278936236,-0.017857837239082863,0.0003291491149588799,0.08294557696963774,13.138488034207057,0.061086318597634026,0.21015504761403506,7003,318,16304.781746031746,,
Most Sortino Ratio,GL,SMA,10,41,0,true,false,1,160,1.007159176948605,47.16981132075472,1.6138505305882227,2.3208017932938443,0.6454674236455151,-0.6882442703881545,44 days 00:54:20.377358490,0.009751740469552583,0.2984809451896598,0.5950963844718842,0.692715112860204,0,11257,11258 days 00:00:00,1000.0,14138.488034207072,1313.848803420707,4214.353349837475,100.0,1811.7886015319777,55.47189137467568,1952 days 00:00:00,159,-14.138488034204784,56.35498191330882,-51.08657094050903,10.29956904720397,-4.803097540554483,68 days 19:31:12,21 days 22:00:00,82.72092152353005,0.47500651765767177,0.16166150470670254,1.1044197355791672,-4.871200665950331,193.2382078265971,1.0559158928146395,1.0459353278936236,-0.017857837239082863,0.0003291491149588799,0.08294557696963774,13.138488034207057,0.061086318597634026,0.21015504761403506,7003,318,16304.781746031746,,
Median Worst Trade [%],GL,SMA,12,41,0,true,false,1,158,0.9967929041773687,47.77070063694268,1.5588910086441845,2.2575192254048098,0.6147319214972089,-0.7396953268579157,44 days 13:17:57.707006369,0.009629077067419846,0.29474993337478905,0.5876343608421427,0.6654036412803731,0,11257,11258 days 00:00:00,1000.0,11970.15871234692,1097.015871234692,4214.353349837475,100.0,1663.2972204423647,56.17837815626174,2000 days 00:00:00,157,-11.970158712345437,51.348393744055784,-51.08657094050901,10.091179809315616,-4.90741423548922,68 days 22:04:48,22 days 06:26:20.487804878,69.94986542075961,0.4539903951711435,0.1491870336208418,1.0996300566358332,-4.941509662184307,193.9129013354921,1.0475540158364487,1.0497120339496815,-0.0178802295955548,0.00031415478156385614,0.07916700495409175,10.970158712346889,0.05713944325877507,0.2098667862230242,6996,314,16304.781746031746,,
Mean Worst Trade [%],GL,SMA,16,41,0,true,false,1,149,0.9905432458014253,47.97297297297297,1.4655856039868866,2.4210402895858376,0.6143674073072531,-0.7431153820257983,47 days 00:09:43.783783783,0.00907709175782253,0.27796038020787067,0.554055254508306,0.6729532793918528,0,11257,11258 days 00:00:00,1000.0,11826.025502812974,1082.6025502812975,4214.353349837475,100.0,1745.2165034698587,57.513807139327554,1902 days 00:00:00,148,-11.826025502810808,44.99285519852946,-50.46219835208304,10.81475085642114,-5.318614908405153,72 days 09:27:53.239436620,23 days 14:20:15.584415584,73.22872654267411,0.4523423501936401,0.14498303903634865,1.099022720869915,-4.8449999596442455,192.85629721907904,1.0382487371738671,1.0585350904076005,-0.01793845308826599,0.0003129515162109562,0.07886378208516097,10.82602550281303,0.05685282441839323,0.20982465248016835,6958,296,16304.781746031746,,
Mean Avg Winning Trade [%],GL,SMA,69,74,0,true,false,1,151,1.227219442885298,57.333333333333336,1.9931328784679203,2.4481815109851683,0.6112792105756881,-0.7448172289210193,48 days 07:21:36,0.009199755159955266,0.2816913920227414,0.5615172781380474,0.6896316577537505,0,11257,11258 days 00:00:00,1000.0,11754.30366117512,1075.430366117512,4214.353349837475,100.0,1009.8033920027981,58.483822063202005,3581 days 00:00:00,150,-11.754303661173253,71.38190691735898,-49.84541621317706,8.829901960824724,-6.127255343486736,60 days 19:32:05.581395349,31 days 12:00:00,71.7737197655753,0.4511166387441622,0.1422130286172507,1.0959736703234821,-4.770304560830986,191.76589248110713,1.0343918396126797,1.0595343353964042,-0.018380943917010974,0.0003127261724970363,0.07880699546925314,10.7543036611751,0.056708925627367845,0.21024326212540487,7247,300,16304.781746031746,,
