Date,Drawdown,Drawdown_Pct,Peak_Value,Current_Value
2014-09-17,0.0,0.0,10000.0,10000.0
2014-09-18,-1.396300029773556e-06,-0.0001396300029773556,10000.0,9999.986036999702
2014-09-19,-2.6169220638257684e-05,-0.0026169220638257683,10000.0,9999.738307793617
2014-09-22,-2.6169220638257684e-05,-0.0026169220638257683,10000.0,9999.738307793617
2014-09-23,-2.6169220638257684e-05,-0.0026169220638257683,10000.0,9999.738307793617
2014-09-24,-2.6169220638257684e-05,-0.0026169220638257683,10000.0,9999.738307793617
2014-09-25,-2.6169220638257684e-05,-0.0026169220638257683,10000.0,9999.738307793617
2014-09-26,-2.6169220638257684e-05,-0.0026169220638257683,10000.0,9999.738307793617
2014-09-29,-2.6169220638257684e-05,-0.0026169220638257683,10000.0,9999.738307793617
2014-09-30,-2.6169220638257684e-05,-0.0026169220638257683,10000.0,9999.738307793617
2014-10-01,-2.6169220638257684e-05,-0.0026169220638257683,10000.0,9999.738307793617
2014-10-02,-2.7506620597887377e-05,-0.002750662059788738,10000.0,9999.724933794021
2014-10-03,0.0,0.0,10000.029934099197,10000.029934099197
2014-10-06,-2.499954369639135e-06,-0.0002499954369639135,10000.029934099197,10000.004934480667
2014-10-07,-1.0999932740416828e-05,-0.0010999932740416829,10000.029934099197,9999.91993444252
2014-10-08,0.0,0.0,10000.06993406105,10000.06993406105
2014-10-09,-1.5699849005849646e-05,-0.0015699849005849646,10000.06993406105,9999.912934473037
2014-10-10,0.0,0.0,10001.106933763504,10001.106933763504
2014-10-13,-5.2993630416085115e-06,-0.0005299363041608512,10001.106933763504,10001.053934267044
2014-10-14,-2.1497540256043252e-05,-0.0021497540256043253,10001.106933763504,10000.89193456459
2014-10-15,-3.029659601349144e-05,-0.0030296596013491437,10001.106933763504,10000.803934267044
2014-10-16,-2.639707191546829e-05,-0.002639707191546829,10001.106933763504,10000.842933824539
2014-10-17,-2.259748182377194e-05,-0.0022597481823771943,10001.106933763504,10000.88093393135
2014-10-20,0.0,0.0,10001.338934114456,10001.338934114456
2014-10-21,0.0,0.0,10001.484934022903,10001.484934022903
2014-10-22,-2.689601146032639e-05,-0.002689601146032639,10001.484934022903,10001.215933969497
2014-10-23,0.0,0.0,10001.776933839797,10001.776933839797
2014-10-24,0.0,0.0,10002.100934198379,10002.100934198379
2014-10-27,-3.29930607456425e-05,-0.00329930607456425,10002.100934198379,10001.770934274673
2014-10-28,0.0,0.0,10002.16193406868,10002.16193406868
2014-10-29,0.0,0.0,10002.350934198379,10002.350934198379
2014-10-30,0.0,0.0,10002.350934198379,10002.350934198379
2014-10-31,0.0,0.0,10002.438933542251,10002.438933542251
2014-11-03,-1.648979967767715e-05,-0.001648979967767715,10002.438933542251,10002.273995327949
2014-11-04,-1.648979967767715e-05,-0.001648979967767715,10002.438933542251,10002.273995327949
2014-11-05,-1.648979967767715e-05,-0.001648979967767715,10002.438933542251,10002.273995327949
2014-11-06,-1.648979967767715e-05,-0.001648979967767715,10002.438933542251,10002.273995327949
2014-11-07,-1.648979967767715e-05,-0.001648979967767715,10002.438933542251,10002.273995327949
2014-11-10,-1.648979967767715e-05,-0.001648979967767715,10002.438933542251,10002.273995327949
2014-11-11,-1.648979967767715e-05,-0.001648979967767715,10002.438933542251,10002.273995327949
2014-11-12,-5.8835572288960885e-05,-0.005883557228896089,10002.438933542251,10001.85043432331
2014-11-13,-0.0003413685930737798,-0.03413685930737798,10002.438933542251,9999.024415036201
2014-11-14,-0.0026341761112312623,-0.2634176111231262,10002.438933542251,9976.090747849465
2014-11-17,-0.003700516265310296,-0.3700516265310296,10002.438933542251,9965.424745575905
2014-11-18,-0.004874929044958828,-0.48749290449588284,10002.438933542251,9953.677753464699
2014-11-19,-0.00439540206529694,-0.439540206529694,10002.438933542251,9958.474192795753
2014-11-20,-0.0043956019066936705,-0.439560190669367,10002.438933542251,9958.472193894386
2014-11-21,-0.004409456492358705,-0.4409456492358705,10002.438933542251,9958.333614247322
2014-11-24,-0.004411194968349835,-0.44111949683498347,10002.438933542251,9958.316225247383
2014-11-25,-0.004439388051045599,-0.4439388051045599,10002.438933542251,9958.03422565937
2014-11-26,-0.004411395000434921,-0.44113950004349206,10002.438933542251,9958.314224438667
