Date,Returns,Returns_Pct
2014-09-17,0.0,0.0
2014-09-18,-1.396300029773556e-06,-0.0001396300029773556
2014-09-19,-2.477295519896221e-05,-0.002477295519896221
2014-09-22,0.0,0.0
2014-09-23,0.0,0.0
2014-09-24,0.0,0.0
2014-09-25,0.0,0.0
2014-09-26,0.0,0.0
2014-09-29,0.0,0.0
2014-09-30,0.0,0.0
2014-10-01,0.0,0.0
2014-10-02,-1.3374349592602307e-06,-0.00013374349592602306
2014-10-03,3.0500869493423187e-05,0.0030500869493423188
2014-10-06,-2.499954369639135e-06,-0.0002499954369639135
2014-10-07,-8.499999620388886e-06,-0.0008499999620388886
2014-10-08,1.5000081952019718e-05,0.001500008195201972
2014-10-09,-1.5699849005849646e-05,-0.0015699849005849646
2014-10-10,0.00011940096861745612,0.011940096861745611
2014-10-13,-5.2993630416085115e-06,-0.0005299363041608512
2014-10-14,-1.6198263054911312e-05,-0.0016198263054911313
2014-10-15,-8.799244919570066e-06,-0.0008799244919570066
2014-10-16,3.8996422439088095e-06,0.00038996422439088095
2014-10-17,3.799690392396891e-06,0.0003799690392396891
2014-10-20,4.579598398692551e-05,0.004579598398692551
2014-10-21,1.459803626385079e-05,0.001459803626385079
2014-10-22,-2.689601146032639e-05,-0.002689601146032639
2014-10-23,5.609316647137238e-05,0.0056093166471372375
2014-10-24,3.2394279608988986e-05,0.0032394279608988987
2014-10-27,-3.29930607456425e-05,-0.00329930607456425
2014-10-28,3.909305627730844e-05,0.003909305627730844
2014-10-29,1.889592779496478e-05,0.0018895927794964778
2014-10-30,0.0,0.0
2014-10-31,8.797866066786115e-06,0.0008797866066786115
2014-11-03,-1.648979967767715e-05,-0.001648979967767715
2014-11-04,0.0,0.0
2014-11-05,0.0,0.0
2014-11-06,0.0,0.0
2014-11-07,0.0,0.0
2014-11-10,0.0,0.0
2014-11-11,0.0,0.0
2014-11-12,-4.234647089610587e-05,-0.004234647089610587
2014-11-13,-0.00028254964475486814,-0.028254964475486814
2014-11-14,-0.0022935904779120145,-0.22935904779120145
2014-11-17,-0.001069156500592061,-0.1069156500592061
2014-11-18,-0.0011787748551732396,-0.11787748551732395
2014-11-19,0.0004818760914160028,0.04818760914160028
2014-11-20,-2.007236579107232e-07,-2.007236579107232e-05
2014-11-21,-1.3915753778877706e-05,-0.0013915753778877707
2014-11-24,-1.7461756768044587e-06,-0.00017461756768044588
2014-11-25,-2.8317998910070755e-05,-0.0028317998910070757
2014-11-26,2.8117876776863045e-05,0.0028117876776863047
2014-11-28,-2.138909649480123e-05,-0.002138909649480123
2014-12-01,-6.6403006840924385e-06,-0.0006640300684092439
2014-12-02,0.0,0.0
2014-12-03,0.0,0.0
2014-12-04,0.0,0.0
2014-12-05,0.0,0.0
2014-12-08,0.0,0.0
2014-12-09,0.0,0.0
2014-12-10,0.0,0.0
2014-12-11,0.0,0.0
2014-12-12,0.0,0.0
2014-12-15,0.0,0.0
2014-12-16,0.0,0.0
2014-12-17,0.0,0.0
2014-12-18,0.0,0.0
2014-12-19,-1.6475137887954467e-06,-0.00016475137887954466
2014-12-22,1.034348739754956e-05,0.0010343487397549561
2014-12-23,-9.941727347673105e-06,-0.0009941727347673106
2014-12-24,-5.7239482469955935e-06,-0.0005723948246995593
2014-12-26,2.51051462682769e-06,0.000251051462682769
2014-12-29,-2.0988133068447133e-05,-0.0020988133068447134
2014-12-30,-2.7306635879305302e-05,-0.00273066358793053
2014-12-31,0.0,0.0
2015-01-02,-1.638160607693404e-06,-0.0001638160607693404
2015-01-05,-1.4059701879834352e-06,-0.00014059701879834353
2015-01-06,-5.1900423784970706e-05,-0.00519004237849707
2015-01-07,0.0,0.0
2015-01-08,-1.6311198261719478e-06,-0.00016311198261719477
2015-01-09,-2.9623673337326045e-05,-0.0029623673337326045
2015-01-12,0.0,0.0
2015-01-13,0.0,0.0
2015-01-14,0.0,0.0
2015-01-15,0.0,0.0
2015-01-16,0.0,0.0
2015-01-20,-1.6067651050455174e-06,-0.00016067651050455175
2015-01-21,-1.0847017744470977e-05,-0.0010847017744470978
2015-01-22,4.700428534328781e-05,0.004700428534328781
2015-01-23,1.6370410861585813e-05,0.0016370410861585812
2015-01-26,3.103295143361135e-05,0.003103295143361135
2015-01-27,-6.879253865612729e-05,-0.006879253865612728
2015-01-28,-2.430509861157401e-05,-0.002430509861157401
2015-01-29,2.8624384969107132e-05,0.0028624384969107132
2015-01-30,-4.435136269659467e-06,-0.0004435136269659467
2015-02-02,-1.6572624159160252e-06,-0.0001657262415916025
2015-02-03,2.5008178264749884e-05,0.0025008178264749885
2015-02-04,1.4663021586657227e-05,0.0014663021586657228
2015-02-05,5.282640698341599e-05,0.005282640698341599
2015-02-06,9.43993056700367e-06,0.000943993056700367
2015-02-09,1.707227784294149e-06,0.00017072277842941492
2015-02-10,2.5105955134938078e-05,0.002510595513493808
2015-02-11,2.3095703654645585e-06,0.00023095703654645583
2015-02-12,6.92907817005618e-06,0.000692907817005618
2015-02-13,2.500472769518806e-05,0.002500472769518806
2015-02-17,-1.5866116989732067e-05,-0.0015866116989732067
2015-02-18,0.0,0.0
2015-02-19,-2.2053829238317437e-06,-0.00022053829238317436
2015-02-20,0.0,0.0
2015-02-23,0.0,0.0
2015-02-24,0.0,0.0
2015-02-25,0.0,0.0
2015-02-26,0.0,0.0
2015-02-27,0.0,0.0
2015-03-02,-2.768269327310824e-05,-0.002768269327310824
2015-03-03,0.000605746485676416,0.060574648567641595
2015-03-04,-0.0008641124368074527,-0.08641124368074528
