Short Window,Long Window
5,15
5,16
5,17
5,18
5,19
5,20
5,21
5,22
6,13
6,14
6,15
6,16
6,17
6,21
6,22
6,23
6,24
7,13
7,14
7,15
7,24
8,12
8,13
8,14
8,25
9,11
9,12
9,13
9,25
9,26
10,11
10,12
10,26
10,27
