Short Window,Long Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
8,44,0,3689,3690 days 00:00:00,1000.0,553203.8979709591,55220.389797095915,14413.7783657075,100.0,13681.06697478856,53.60574920633759,755 days 00:00:00,46,45,1,50069.36505089054,48.888888888888886,357.662545496104,-19.792472298596227,59.67070589080353,-7.76274786560808,73 days 21:49:05.454545454,16 days 15:39:07.826086956,2.4640714745690633,11158.545176001524,1.4887587400714177,1.6187345421450534,1.3670291576415965,2.3230233633619894
12,43,0,3689,3690 days 00:00:00,1000.0,517830.9194465323,51683.091944653235,14413.7783657075,100.0,12421.741307164755,57.92275534246966,753 days 00:00:00,42,41,1,24342.600226312527,51.21951219512195,342.5276290917101,-18.169826524434782,59.888616204567015,-8.212347731851377,77 days 01:08:34.285714286,20 days 10:48:00,2.816323282857195,12011.910224883413,1.472767795272601,1.4770823216736593,1.3626686398126697,2.2984948572367077
12,42,0,3689,3690 days 00:00:00,1000.0,503124.1298459328,50212.412984593284,14413.7783657075,100.0,12561.925486641258,58.37421270021973,753 days 00:00:00,43,42,1,23651.251976496715,54.761904761904766,342.5276290917101,-18.169826524434786,55.215744625396965,-8.720176947761244,71 days 01:02:36.521739130,20 days 17:41:03.157894736,2.772649313092455,11392.21137784372,1.4717079419151609,1.4566124137771037,1.3618546201822064,2.2968265688904665
27,29,0,3689,3690 days 00:00:00,1000.0,487972.21057111333,48697.22105711133,14413.7783657075,100.0,38416.34797242342,64.84165645822193,752 days 00:00:00,132,131,1,23305.68957957183,52.67175572519084,217.46231727195834,-24.03378449670691,18.71780105004094,-5.154285502290677,21 days 11:07:49.565217391,9 days 04:15:29.032258064,1.8403099953990225,3539.4390915384865,1.4679135512207184,1.3027087409636042,1.3558863776290138,2.3289381829417835
12,44,0,3689,3690 days 00:00:00,1000.0,467919.7496202851,46691.974962028515,14413.7783657075,100.0,10856.789596037803,58.20989306350268,753 days 00:00:00,41,40,1,21996.336980374064,50.0,342.5276290917101,-18.169826524434786,62.26588448909113,-8.14993667452665,81 days 12:00:00,20 days 03:36:00,2.9217129110211424,11123.08531599777,1.4508842769010486,1.4379979123889421,1.355416250952256,2.260362966638968
8,45,0,3689,3690 days 00:00:00,1000.0,467642.48827189894,46664.24882718989,14413.7783657075,100.0,11499.101328709361,58.282102247724985,755 days 00:00:00,49,48,1,42325.3750461131,45.83333333333333,357.662545496104,-19.792472298596227,59.523820332324426,-7.341738497368463,74 days 22:54:32.727272727,13 days 22:09:13.846153846,2.52696346248206,8839.939858870537,1.455844189396772,1.4360314967258123,1.3573950772526349,2.266908231139945
8,43,0,3689,3690 days 00:00:00,1000.0,460209.74180444545,45920.974180444544,14413.7783657075,100.0,11718.62218716871,54.31781128767691,755 days 00:00:00,47,46,1,32344.784276595805,47.82608695652174,357.662545496104,-19.792472298596227,58.48934767430168,-7.375402549572492,73 days 09:49:05.454545454,16 days 08:00:00,2.503233131082057,9279.672989735864,1.455401238814133,1.5354824164289418,1.357477204171853,2.2636307546
9,41,0,3689,3690 days 00:00:00,1000.0,458344.0710118301,45734.40710118301,14413.7783657075,100.0,10757.135720643118,58.99158026822816,755 days 00:00:00,43,42,1,32213.659891697578,50.0,351.7495576475901,-17.525889447854187,61.059126836294595,-8.423953187092485,76 days 20:34:17.142857143,19 days 06:51:25.714285714,2.615706749589037,10122.152645717442,1.45072147659995,1.4125806399881005,1.354455043969906,2.2503976025930914
9,44,0,3689,3690 days 00:00:00,1000.0,450866.81435747794,44986.68143574779,14413.7783657075,100.0,11164.310956379537,58.85640904252117,755 days 00:00:00,43,42,1,31688.138088274864,52.38095238095239,351.74955764759005,-16.753899256329007,58.39417040116541,-9.195917075773092,74 days 00:00:00,19 days 09:36:00,2.341908734726175,9956.635149266742,1.4523836259445304,1.410761071706925,1.355764813463452,2.2557251707368757
9,46,0,3689,3690 days 00:00:00,1000.0,432027.5824545399,43102.75824545399,14413.7783657075,100.0,10621.59408399847,59.163679417793844,736 days 00:00:00,47,46,1,30364.0659609703,50.0,348.2638815921421,-17.965639334742416,55.494579727763316,-8.074782647187277,71 days 05:13:02.608695652,16 days 02:05:13.043478260,2.4481810108511417,8710.076445512383,1.441844516631157,1.3904003343894116,1.3543038818024178,2.244046438162765
14,37,0,3689,3690 days 00:00:00,1000.0,426905.71765320364,42590.57176532036,14413.7783657075,100.0,11594.693415520565,50.194364826425364,752 days 00:00:00,47,46,1,18768.718284493953,54.347826086956516,247.33671759751164,-19.300627309354304,45.71036296329211,-7.116547466254544,64 days 19:12:00,19 days 19:25:42.857142857,2.7852805071863185,8850.80433410238,1.4510013528358956,1.6345722033824595,1.3546282232883389,2.270498649931804
9,43,0,3689,3690 days 00:00:00,1000.0,425676.0019202418,42467.600192024176,14413.7783657075,100.0,10560.460338142087,60.24636481493967,755 days 00:00:00,43,42,1,29917.65971717419,52.38095238095239,351.7495576475901,-19.899438176256574,58.75546957175091,-9.446027458442515,73 days 17:27:16.363636364,19 days 10:48:00,2.326699361613645,9399.008147692086,1.4396254867596419,1.360984612729232,1.352501092846036,2.230768864959423
