Short Window,Long Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
28,47,0,9730,9731 days 00:00:00,1000.0,142946.24031198447,14194.624031198447,439625.58492980845,100.0,4594.300468730465,73.86861621746903,5041 days 00:00:00,77,77,0,0.0,32.467532467532465,186.44112903225812,-23.074438553325415,46.74082738716938,-6.487654191412704,192 days 16:19:12,31 days 17:04:36.923076923,2.541078604103929,1843.4576663894084,0.7604857905302769,0.27696134436357345,1.1526117440918717,1.0985708245330705
27,48,0,9730,9731 days 00:00:00,1000.0,128373.85993078175,12737.385993078175,439625.58492980845,100.0,4391.904315187586,74.11647159115586,5044 days 00:00:00,77,77,0,0.0,33.76623376623377,186.4411290322581,-23.0744385533254,44.21549790419911,-6.567714407326966,187 days 10:09:13.846153848,31 days 05:10:35.294117647,2.4742446609297466,1654.205973127035,0.7492942861716141,0.26949360577588743,1.1498057236838863,1.0784394390286782
29,46,0,9730,9731 days 00:00:00,1000.0,126884.16255691521,12588.416255691522,439625.58492980845,100.0,4247.506357201773,73.13335084402888,5046 days 00:00:00,75,75,0,0.0,33.33333333333333,182.19424999040905,-23.074438553325415,46.056401398900476,-6.805243773836716,192 days 14:24:00,33 days 02:24:00,2.370244776414026,1678.4555007588694,0.7459585558134548,0.2723983007089516,1.1494254341402312,1.076634630662923
28,48,0,9730,9731 days 00:00:00,1000.0,126242.56448925234,12524.256448925235,439625.58492980845,100.0,4182.659844783913,72.94208827628322,5043 days 00:00:00,76,76,0,0.0,32.89473684210527,182.19424999040905,-23.074438553325415,46.17914002285209,-6.734975069647459,192 days 18:14:24,32 days 10:21:10.588235294,2.402122877276881,1647.9284801217425,0.7452868209377571,0.2727999751539875,1.1492096631838953,1.0757520017084996
29,45,0,9730,9731 days 00:00:00,1000.0,125877.06587221277,12487.706587221277,439625.58492980845,100.0,4356.4107457511245,73.07863413394038,5043 days 00:00:00,76,76,0,0.0,34.21052631578947,176.7733870967742,-23.0744385533254,43.4422167244254,-6.588825864424446,187 days 08:18:27.692307692,31 days 22:04:48,2.4223313437221954,1643.119287792274,0.7469272898684043,0.2721118337247764,1.1492841383254517,1.074791975323162
32,42,0,9730,9731 days 00:00:00,1000.0,122101.21103681556,12110.121103681555,439625.58492980845,100.0,4080.3721710651425,73.01094508074773,4861 days 00:00:00,76,76,0,0.0,32.89473684210527,182.19424999040905,-23.074438553325415,45.77376445979306,-6.718529381611549,192 days 13:26:24,32 days 08:00:00,2.3996850137778636,1593.4369873265211,0.7413785479005687,0.27048941215421674,1.1485234532875455,1.069782630981739
29,44,0,9730,9731 days 00:00:00,1000.0,121376.71887742626,12037.671887742626,439625.58492980845,100.0,4654.189448297328,74.60764081742848,5046 days 00:00:00,79,79,0,0.0,34.177215189873415,176.77338709677414,-23.0744385533254,42.12387231029547,-6.508753246479104,180 days 00:53:20,30 days 20:46:09.230769231,2.285090299287914,1523.7559351572943,0.7424036825643257,0.26434235970600317,1.1483323159827983,1.0678617639589711
30,45,0,9730,9731 days 00:00:00,1000.0,121244.41567896055,12024.441567896056,439625.58492980845,100.0,4076.597713168325,73.75259688184117,5047 days 00:00:00,75,75,0,0.0,33.33333333333333,182.19424999040905,-23.074438553325415,46.056401398900476,-6.886601733091263,192 days 14:24:00,33 days 00:28:48,2.3476149153311567,1603.2588757194737,0.7404776180864445,0.26734058441411357,1.1482978316515244,1.0684981329987322
31,43,0,9730,9731 days 00:00:00,1000.0,120360.41508279141,11936.041508279142,439625.58492980845,100.0,4040.7683173804994,73.25380046356025,5046 days 00:00:00,76,76,0,0.0,32.89473684210527,182.19424999040905,-23.074438553325415,45.80642244490216,-6.763243089432329,192 days 11:31:12,32 days 08:28:14.117647058,2.360256584031121,1570.5317774051507,0.7396794833317064,0.26871242895573905,1.1481982091254292,1.067321358929638
34,41,0,9730,9731 days 00:00:00,1000.0,118068.44165931965,11706.844165931965,439625.58492980845,100.0,3987.19483174141,74.2058672867722,5098 days 00:00:00,76,76,0,0.0,32.89473684210527,182.19424999040905,-23.074438553325415,46.00665935056094,-6.789215378534879,192 days 16:19:12,32 days 09:24:42.352941176,2.367553567925774,1540.3742323594697,0.7370668231377946,0.26410211805868794,1.1474614326774555,1.0635909746039887
33,41,0,9730,9731 days 00:00:00,1000.0,118037.75418939927,11703.775418939927,439625.58492980845,100.0,3877.488762243098,73.47847124308228,5046 days 00:00:00,74,74,0,0.0,33.78378378378378,182.19424999040905,-23.074438553325415,45.723603322352304,-7.037894135120562,192 days 12:28:48,33 days 14:12:14.693877551,2.3896654308396483,1581.5912728297196,0.7372743498936003,0.2667007121721939,1.1476776944080502,1.0637104925287304
45,48,0,9730,9731 days 00:00:00,1000.0,117491.30843124722,11649.130843124722,439625.58492980845,100.0,3029.1604192574505,68.3557650749715,5046 days 00:00:00,63,63,0,0.0,33.33333333333333,172.29572538860103,-17.69166309055006,52.206133758153975,-6.909650206068879,228 days 04:34:17.142857144,42 days 21:08:34.285714285,2.796879053718295,1849.0683877975741,0.7288026800882703,0.28638326025367616,1.1453148632849168,1.0544000936449318
28,46,0,9730,9731 days 00:00:00,1000.0,116479.85218752259,11547.985218752257,439625.58492980845,100.0,4461.234251760695,74.10669801755525,5046 days 00:00:00,78,78,0,0.0,34.61538461538461,176.7733870967742,-23.0744385533254,41.76495141578222,-6.608293888678952,180 days 09:46:40.000000002,31 days 08:00:00,2.278397841416406,1480.5109254810586,0.7371795349510822,0.2636357395712357,1.1471562070707464,1.0600800114419147
34,40,0,9730,9731 days 00:00:00,1000.0,115945.99720106325,11494.599720106326,439625.58492980845,100.0,3809.301326097064,73.4987694500078,5046 days 00:00:00,74,74,0,0.0,33.78378378378378,182.19424999040905,-23.074438553325415,45.72040560293637,-7.06836925670829,192 days 11:31:12,33 days 13:13:28.163265306,2.3844798684651516,1553.3242865008544,0.7351202262320551,0.2655361289408636,1.1472410584096968,1.0605359366354135
43,50,0,9730,9731 days 00:00:00,1000.0,114691.55399856454,11369.155399856454,439625.58492980845,100.0,3029.1493859069597,68.83976595896917,4864 days 00:00:00,64,64,0,0.0,32.8125,172.29572538860106,-17.691663090550072,52.2512066932901,-6.819341523996127,228 days 02:17:08.571428572,41 days 22:19:32.093023256,2.759210823122816,1776.4305312275715,0.7258747662268641,0.2827990800128975,1.1446851558702522,1.0500466488342906
35,39,0,9730,9731 days 00:00:00,1000.0,114359.14546815664,11335.914546815664,439625.58492980845,100.0,3758.331692733166,73.49876945000779,5046 days 00:00:00,74,74,0,0.0,33.78378378378378,182.19424999040905,-23.074438553325415,45.6545128512071,-7.068369256708286,192 days 09:36:00,33 days 13:13:28.163265306,2.383816890216056,1531.8803441642785,0.7334470091392195,0.26469581644555173,1.146903125361146,1.05810189992014
32,43,0,9730,9731 days 00:00:00,1000.0,114049.2155402223,11304.92155402223,439625.58492980845,100.0,3870.4429993438,73.75453379526098,5087 days 00:00:00,75,75,0,0.0,33.33333333333333,182.19424999040905,-23.074438553325415,45.95128294159363,-6.966608224512292,192 days 13:26:24,32 days 23:31:11.999999999,2.336817643625086,1507.3228738696303,0.7329361561642724,0.2636130521379829,1.1466490007052828,1.0575365258707716
31,44,0,9730,9731 days 00:00:00,1000.0,113782.59765762468,11278.259765762468,439625.58492980845,100.0,3889.828734452489,73.57135652890287,5083 days 00:00:00,75,75,0,0.0,33.33333333333333,182.19424999040905,-23.074438553325415,45.99498676261182,-6.989351178200609,192 days 12:28:48,32 days 23:02:24,2.2994997948851714,1503.7679687683285,0.7326897894386749,0.26412687462745993,1.1466363668665753,1.0571320715846155
26,50,0,9730,9731 days 00:00:00,1000.0,113646.09561512902,11264.609561512902,439625.58492980845,100.0,3945.3485037923383,74.66018893534594,5042 days 00:00:00,78,78,0,0.0,32.05128205128205,186.4411290322581,-23.074438553325415,46.02276521593196,-6.548066557878982,192 days 18:14:24,31 days 03:10:11.320754717,2.3781463434131127,1444.1807130144743,0.7345185572098181,0.260202865236686,1.1466329753189466,1.0560942413607068
46,47,0,9730,9731 days 00:00:00,1000.0,113589.6547051469,11258.96547051469,439625.58492980845,100.0,2937.603606510779,68.3557650749715,5046 days 00:00:00,63,63,0,0.0,33.33333333333333,172.29572538860103,-17.691663090550072,51.9890622373373,-6.909650206068878,228 days 05:42:51.428571428,42 days 21:08:34.285714285,2.789009311729429,1787.1373762721723,0.7246603588334427,0.28416871349831974,1.1444061865234263,1.0481721442364007
36,38,0,9730,9731 days 00:00:00,1000.0,113570.3163284529,11257.03163284529,439625.58492980845,100.0,3745.5208312000987,73.49876945000779,5046 days 00:00:00,74,74,0,0.0,33.78378378378378,182.19424999040905,-23.074438553325415,45.6545128512071,-7.081735768568877,192 days 09:36:00,33 days 13:42:51.428571428,2.375284866298745,1521.220490925039,0.73259777254349,0.2642739093549321,1.1467099471023756,1.0568677657980272
33,42,0,9730,9731 days 00:00:00,1000.0,113146.24424595061,11214.624424595062,439625.58492980845,100.0,3871.443102647737,74.20586728677219,5108 days 00:00:00,76,76,0,0.0,32.89473684210527,182.19424999040905,-23.074438553325415,45.9714705513607,-6.8549626061565245,192 days 15:21:35.999999998,32 days 08:00:00,2.3421086040755514,1475.6084769204033,0.7319363226977713,0.2615298677262285,1.1464186725652217,1.056033436903201
30,46,0,9730,9731 days 00:00:00,1000.0,113087.58186920406,11208.758186920406,439625.58492980845,100.0,3911.2604561357084,73.9634396672692,5108 days 00:00:00,77,77,0,0.0,32.467532467532465,182.19424999040905,-23.074438553325415,45.99563571152585,-6.7324147571631,192 days 19:12:00,31 days 18:55:23.076923077,2.321957710683957,1455.682881418235,0.7316963991454533,0.2623556725129247,1.1462646666132235,1.0554571320738442
27,44,0,9730,9731 days 00:00:00,1000.0,112828.6898894762,11182.868988947619,439625.58492980845,100.0,4935.617542511824,72.89957547640469,5046 days 00:00:00,84,84,0,0.0,36.904761904761905,187.51532258064515,-23.0744385533254,37.5079727740746,-6.7656073854643815,158 days 15:29:01.935483872,28 days 11:46:24.905660377,2.0475077701173587,1331.2939272556698,0.7358613178011431,0.2660435714187634,1.1473206783893641,1.0604515813786777
30,43,0,9730,9731 days 00:00:00,1000.0,112459.42788874553,11145.942788874552,439625.58492980845,100.0,4075.1950763395594,74.47626867088157,5083 days 00:00:00,78,78,0,0.0,34.61538461538461,176.77338709677423,-23.0744385533254,41.639342225581224,-6.62340017662416,180 days 00:00:00,31 days 10:21:10.588235294,2.3476193119380184,1428.9670242146865,0.733159512589311,0.2602142129143094,1.1464274139498984,1.0542290797914153
30,44,0,9730,9731 days 00:00:00,1000.0,112387.46406494203,11138.746406494203,439625.58492980845,100.0,3829.4135576598087,73.51530085356306,5047 days 00:00:00,76,76,0,0.0,32.89473684210527,173.1121022922713,-23.074438553325404,45.32837930121308,-6.786875855285031,192 days 11:31:12,32 days 09:24:42.352941176,2.33442987743554,1465.624527170291,0.7313500888524442,0.26357665859965773,1.146401815780599,1.0548965197924167
27,47,0,9730,9731 days 00:00:00,1000.0,111545.22742313151,11054.522742313151,439625.58492980845,100.0,4277.332825624893,74.71438469650292,5046 days 00:00:00,78,78,0,0.0,34.61538461538461,176.7733870967742,-23.0744385533254,41.70212935088323,-6.671009086126782,180 days 10:40:00.000000002,31 days 08:28:14.117647058,2.263889079673752,1417.246505424763,0.7319698691536034,0.2588957892973159,1.1460671235665612,1.0523276350985522
29,47,0,9730,9731 days 00:00:00,1000.0,111264.4156078967,11026.441560789672,439625.58492980845,100.0,3869.5953227106415,74.20006753594556,5108 days 00:00:00,77,77,0,0.0,32.467532467532465,182.19424999040905,-23.074438553325415,45.95911644818855,-6.753318972054783,192 days 18:14:24,31 days 20:46:09.230769231,2.3070866383541997,1432.0053975051517,0.7297101804842667,0.2605382615842704,1.1458170674832684,1.052572446238354
31,45,0,9730,9731 days 00:00:00,1000.0,110794.83295728148,10979.483295728149,439625.58492980845,100.0,3795.1613080633797,73.64593348446141,5087 days 00:00:00,77,77,0,0.0,32.467532467532465,182.19424999040905,-23.074438553325415,45.92516725225489,-6.752126031530405,192 days 17:16:48,31 days 16:36:55.384615384,2.3484198252823356,1425.9069215231364,0.7293440466026329,0.26224160009204117,1.1458488905379742,1.0520700529550495
26,46,0,9730,9731 days 00:00:00,1000.0,110271.83740268892,10927.183740268893,439625.58492980845,100.0,4820.37044055202,74.30192151652865,5046 days 00:00:00,86,86,0,0.0,36.04651162790697,186.0383064516129,-23.0744385533254,37.60510954188634,-6.626587704916663,159 days 18:34:50.322580646,27 days 00:00:00,2.062258546170353,1270.6027604963822,0.7329421507231078,0.2596413882779295,1.1466397735097886,1.0560461502504264
33,40,0,9730,9731 days 00:00:00,1000.0,109664.80370074963,10866.480370074964,439625.58492980845,100.0,3782.346552759206,73.21660086279668,5083 days 00:00:00,77,77,0,0.0,33.76623376623377,173.1121022922713,-23.074438553325404,43.34361171886844,-6.771449541179477,184 days 11:04:36.923076922,32 days 12:14:07.058823529,2.3842215077005764,1411.231216892853,0.7283940875074704,0.2631528456352114,1.145863753836379,1.0506057138688993
32,47,0,9730,9731 days 00:00:00,1000.0,109585.77041695423,10858.577041695424,439625.58492980845,100.0,3487.0427070124124,72.5442282079817,4894 days 00:00:00,70,70,0,0.0,35.714285714285715,189.76195721847944,-23.0744385533254,44.437978053034314,-7.194809892770783,196 days 09:36:00,35 days 08:00:00,2.439522925119271,1551.2252916707741,0.7254800184319757,0.2655474073176244,1.1450244561009864,1.0427320643900144
