Price,Close,High,Low,Open,Volume
Ticker,PGR,PGR,PGR,PGR,PGR
Date,,,,,
2025-07-01,264.19744873046875,266.8964134281045,260.33896091692174,266.7564531004065,3042300
2025-07-02,257.6999816894531,263.7276413038521,255.92067340957678,263.3378084561394,3495400
2025-07-03,261.6600036621094,261.6600036621094,256.95001220703125,257.8599853515625,2685600
2025-07-07,253.5399932861328,260.1000061035156,251.7899932861328,258.79998779296875,5032800
2025-07-08,251.63999938964844,253.55999755859375,249.6999969482422,252.69000244140625,4960500
