Stop Loss [%],Score,Total Return [%],Win Rate [%],Total Trades,Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day
0.01,0.6606443895889214,872.000122246531,14.868804664723031,343.0,1.3687881856287374,0.9902389524111797,0.7922484197045765,-0.9110636106499406,12.0,0.03115933669790916
0.02,0.6634014186130586,894.9147347697362,14.95601173020528,341.0,1.3777610620201635,1.0026984717084648,0.7983729122389068,-0.9087265204945869,13.0,0.030977649603460708
0.03,0.6652113098973144,909.8228745163489,15.088757396449704,338.0,1.3804234911318816,1.0159756751954299,0.8022786250662106,-0.9072060205689975,13.0,0.030705118961788035
0.04,0.6674984881248274,943.7982723379189,15.43026706231454,337.0,1.3845147607057788,1.0286870021516719,0.8112339843333851,-0.9037408270077882,13.0,0.03061427541456381
0.05,0.6710638590152519,972.8685241952146,15.82089552238806,335.0,1.3965222873083603,1.0430180884958624,0.8184766425928227,-0.90077591545362,13.0,0.030432588320115358
0.06,0.6766195917022714,1019.146776074322,16.060606060606062,330.0,1.4127009009168112,1.0715363180417126,0.8296118165945062,-0.8960559383314188,13.0,0.029978370583994236
0.07,0.6766195917022714,1019.146776074322,16.060606060606062,330.0,1.4127009009168112,1.0715363180417126,0.8296118165945062,-0.8960559383314188,13.0,0.029978370583994236
0.08,0.6804881914018062,1055.7038723761202,16.257668711656443,326.0,1.4218305129299686,1.0945429737137022,0.8380120683416581,-0.8923274340947128,13.0,0.029614996395097334
0.09,0.6813890000619018,1061.4179775761847,16.307692307692307,325.0,1.424399125045176,1.0994106055600958,0.8393076609773835,-0.89174464531763,13.0,0.02952415284787311
0.1,0.6828890227570009,1054.6277386457043,16.5625,320.0,1.424833573846322,1.114623675429924,0.8375119322864869,-0.8924371903275381,13.0,0.029069935111751984
0.11,0.6784342125079148,1011.1404145325364,16.5625,320.0,1.4050649568825178,1.1023883855512546,0.8272231066719119,-0.8968725172162051,13.0,0.029069935111751984
0.12,0.6798662668146326,1035.7566150523255,16.614420062695924,319.0,1.40678289192636,1.1124890565862964,0.8330448760144147,-0.8943618799606656,14.0,0.02897909156452776
0.13,0.6798662668146326,1035.7566150523255,16.614420062695924,319.0,1.40678289192636,1.1124890565862964,0.8330448760144147,-0.8943618799606656,14.0,0.02897909156452776
0.14,0.6818819235545034,1053.527156045888,16.7192429022082,317.0,1.4116357476898964,1.124323409108758,0.8371191849270119,-0.8925494401313077,14.0,0.02879740447007931
0.15,0.6825906593764315,1059.2699651520672,17.034700315457414,317.0,1.413980911952473,1.1258899965301024,0.838446089913735,-0.8919637238067337,14.0,0.02879740447007931
0.16,0.6717316841490734,951.8039848773595,16.30094043887147,319.0,1.3730170056327067,1.0883772288770819,0.8129629371834145,-0.9029243143155675,14.0,0.02897909156452776
0.17,0.6708297540060013,945.3073690671424,16.25,320.0,1.3708325000903188,1.0830429473156529,0.8113385060997825,-0.9035869123340937,13.0,0.029069935111751984
0.18,0.6717290663786734,944.2634460527661,16.30094043887147,319.0,1.3748599884660853,1.0860083582549889,0.8110458692249173,-0.9036933833554726,14.0,0.02897909156452776
0.19,0.6717290663786734,944.2634460527661,16.30094043887147,319.0,1.3748599884660853,1.0860083582549889,0.8110458692249173,-0.9036933833554726,14.0,0.02897909156452776
0.2,0.6692085029198046,922.9392538642594,16.25,320.0,1.3654891369462157,1.0762378752091264,0.8056312840818296,-0.9058682645403131,13.0,0.029069935111751984
0.21,0.6681302082987869,908.1060291890553,16.352201257861633,318.0,1.3576419093412693,1.0777041703634647,0.8017716880424463,-0.9073811237835344,14.0,0.028888248017303535
0.22,0.6692038562701134,914.3318376889606,16.455696202531644,316.0,1.3586620449976443,1.086475032302155,0.8033384252031438,-0.9067461457432333,14.0,0.028706560922855087
0.23,0.6725154423909502,973.6876530638243,16.507936507936506,315.0,1.3629294630748696,1.1069720592102474,0.820840769628443,-0.9006923714699349,14.0,0.02861571737563086
0.24,0.6679918655312658,909.6521067577662,16.507936507936506,315.0,1.3489851342548493,1.0881026141590653,0.8031087907225228,-0.9072234373875027,14.0,0.02861571737563086
0.25,0.6717962577979277,943.5554781010517,16.666666666666664,312.0,1.3587508551862233,1.1094906327533425,0.8118035323587749,-0.9037655898974152,14.0,0.028343186733958185
0.26,0.6623805512373947,847.5889345433931,16.293929712460063,313.0,1.3240102082735903,1.0755955119113811,0.7857786252784865,-0.9135533383904256,14.0,0.02843403028118241
0.27,0.663625154839559,854.8548903250955,16.39871382636656,311.0,1.3256191526245356,1.0849566287012355,0.7878003609402147,-0.9128122744204609,14.0,0.02825234318673396
0.28,0.6646420512686315,865.3068655876616,16.451612903225808,310.0,1.3272353758148123,1.0919516526974211,0.7906816551087064,-0.9117462643159738,14.0,0.028161499639509736
0.29,0.6630760549838061,849.8574670292312,16.39871382636656,311.0,1.3232429708151088,1.0832395776767239,0.7865039609416808,-0.9133219679086259,14.0,0.02825234318673396
0.3,0.6630760549838061,849.8574670292312,16.39871382636656,311.0,1.3232429708151088,1.0832395776767239,0.7865039609416808,-0.9133219679086259,14.0,0.02825234318673396
0.31,0.6610951979983671,827.4286621714497,16.346153846153847,312.0,1.31870268085126,1.0711338680180402,0.7802282531354526,-0.9156095099290893,14.0,0.028343186733958185
0.32,0.6637577511892115,843.9200287509028,16.39871382636656,311.0,1.3295596267628051,1.0801693033713662,0.7850566443161477,-0.9139275347072897,14.0,0.02825234318673396
0.33,0.6645191748948361,850.3039119908951,16.451612903225808,310.0,1.3305164744212687,1.0858792691763535,0.7868252783145235,-0.9132764344254061,14.0,0.028161499639509736
0.34,0.6650968433905039,844.8613348832106,16.558441558441558,308.0,1.3310706589668697,1.091264509220317,0.7849483729236887,-0.913831529710794,14.0,0.027979812545061284
0.35,0.6684122447400064,879.5322626726772,16.666666666666664,306.0,1.3388512520695555,1.1109306173865736,0.7944565791372081,-0.9102953981732573,14.0,0.027798125450612835
0.36,0.6695346349327934,891.3547146623703,16.721311475409838,305.0,1.340769416830924,1.1184699626762493,0.7976164387020472,-0.9090896114234587,14.0,0.02770728190338861
0.37,0.6726544668929955,907.2644188306703,16.887417218543046,302.0,1.349832569434416,1.1347578467046542,0.8017811410854059,-0.9074669606826413,14.0,0.027434751261715937
0.38,0.6785329734836864,969.1950542862852,17.333333333333336,300.0,1.367251893591074,1.1621003927253966,0.8175359519227449,-0.9011505772704609,14.0,0.027253064167267485
0.39,0.6743100435704591,889.6709630071598,17.50841750841751,297.0,1.351746859066381,1.1457565915588395,0.7966381354896582,-0.9092613393727516,15.0,0.02698053352559481
0.4,0.6818050189327484,944.1950769170271,17.687074829931973,294.0,1.379328760567657,1.1753474805044501,0.8114314381823478,-0.9037003564096276,15.0,0.026708002883922135
0.41,0.6808227285192385,933.6910415464158,17.4061433447099,293.0,1.373868934793536,1.1758102672494963,0.8087564027599852,-0.9047716761900203,15.0,0.02661715933669791
0.42,0.675293131033473,843.018343834553,17.4061433447099,293.0,1.361329567480356,1.145476046399297,0.782782761330946,-0.9140194986861305,15.0,0.02661715933669791
0.43,0.6788927738145875,882.2468736473527,17.586206896551722,290.0,1.3663491159949013,1.1712561948319955,0.7935311414362645,-0.9100185315852622,15.0,0.026344628695025237
0.44,0.684602562015517,934.6968522270453,17.894736842105264,285.0,1.3761587808210585,1.209987684779054,0.8072297653490391,-0.9046690922935015,15.0,0.02589041095890411
0.45,0.6869776387471137,955.2704351487358,18.021201413427562,283.0,1.380791074525865,1.2254266394198976,0.8123367660001493,-0.9025707666919691,15.0,0.025708723864455663
0.46,0.6869776387471137,955.2704351487358,18.021201413427562,283.0,1.380791074525865,1.2254266394198976,0.8123367660001493,-0.9025707666919691,15.0,0.025708723864455663
0.47,0.6877280329269947,950.1137724146193,18.14946619217082,281.0,1.3808567974186714,1.2324593052195092,0.811012161767475,-0.9030967012107474,16.0,0.02552703677000721
0.48,0.68883018642121,956.2701972599551,18.21428571428571,280.0,1.3835196825575977,1.238945660225103,0.8125415108589692,-0.902468799696653,16.0,0.025436193222782986
0.49,0.687937308024197,946.9563194741978,18.14946619217082,281.0,1.3831093725896537,1.2312149375623318,0.8101852273193091,-0.9034187338078763,16.0,0.02552703677000721
0.5,0.689412181591726,956.0233735699935,18.21428571428571,280.0,1.3874813624873303,1.2388628338648717,0.8124418808952139,-0.9024939735552697,16.0,0.025436193222782986
0.51,0.6892120718940847,943.1465423009674,18.27956989247312,279.0,1.386135765100823,1.2390293543620885,0.8092519997194744,-0.9038072977740631,16.0,0.02534534967555876
0.52,0.6899368613259339,945.432814215317,18.345323741007196,278.0,1.3871713390539144,1.2443097408868078,0.809830436980914,-0.9035741180256349,16.0,0.025254506128334537
0.53,0.6881934693637962,928.6792414785573,18.478260869565215,276.0,1.373432385804222,1.2476997335394748,0.8052172687518552,-0.9052828359832452,16.0,0.025072819033886088
0.54,0.6890148237691684,921.4000829188709,18.613138686131386,274.0,1.3741784500573744,1.2542562340084131,0.8033071057736509,-0.9060252465211442,16.0,0.024891131939437636
0.55,0.6890148237691684,921.4000829188709,18.613138686131386,274.0,1.3741784500573744,1.2542562340084131,0.8033071057736509,-0.9060252465211442,16.0,0.024891131939437636
0.56,0.6896658111030992,918.4744293940512,18.681318681318682,273.0,1.3760400593717774,1.2574872462837865,0.8025019731276052,-0.9063236376042973,16.0,0.02480028839221341
