Metric Type,Short Window,Long Window,Signal Window,Ticker,Strategy Type,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Total Return [%],2,4,5,COIN,MACD,true,false,1,159,1.2743622065331388,51.26582278481012,1.489751580875083,0.9161272197407833,2.26211803258115,11.576385425732607,0 days 23:59:59.999999999,0.10408867510195545,3.1860687022900764,6.352099236641221,2.918844262132133,0,1048,1049 days 00:00:00,1000.0,3149.2341415858996,214.92341415858996,-20.32106485413022,100.0,508.28431850383606,30.492640478688266,371 days 00:00:00,158,-3.1492341415855662,30.883542362844977,-13.56537521667453,5.158346394726749,-3.546466977322375,1 days 00:00:00,1 days 00:00:00,13.622679593211906,1.0645830086142183,1.6087947356471313,1.5143387560966353,4.926710304842468,49.83508346015366,4.412147486898838,0.3432203389830509,-0.016860945057849932,,,0.0013790656323634683,0.347524539355594,2.1492341415858958,0.31729539079361757,0.3928729319107438,159,0,1517.936507936508,,
Most Sharpe Ratio,2,4,5,COIN,MACD,true,false,1,159,1.2743622065331388,51.26582278481012,1.489751580875083,0.9161272197407833,2.26211803258115,11.576385425732607,0 days 23:59:59.999999999,0.10408867510195545,3.1860687022900764,6.352099236641221,2.918844262132133,0,1048,1049 days 00:00:00,1000.0,3149.2341415858996,214.92341415858996,-20.32106485413022,100.0,508.28431850383606,30.492640478688266,371 days 00:00:00,158,-3.1492341415855662,30.883542362844977,-13.56537521667453,5.158346394726749,-3.546466977322375,1 days 00:00:00,1 days 00:00:00,13.622679593211906,1.0645830086142183,1.6087947356471313,1.5143387560966353,4.926710304842468,49.83508346015366,4.412147486898838,0.3432203389830509,-0.016860945057849932,,,0.0013790656323634683,0.347524539355594,2.1492341415858958,0.31729539079361757,0.3928729319107438,159,0,1517.936507936508,,
Most Sortino Ratio,2,4,5,COIN,MACD,true,false,1,159,1.2743622065331388,51.26582278481012,1.489751580875083,0.9161272197407833,2.26211803258115,11.576385425732607,0 days 23:59:59.999999999,0.10408867510195545,3.1860687022900764,6.352099236641221,2.918844262132133,0,1048,1049 days 00:00:00,1000.0,3149.2341415858996,214.92341415858996,-20.32106485413022,100.0,508.28431850383606,30.492640478688266,371 days 00:00:00,158,-3.1492341415855662,30.883542362844977,-13.56537521667453,5.158346394726749,-3.546466977322375,1 days 00:00:00,1 days 00:00:00,13.622679593211906,1.0645830086142183,1.6087947356471313,1.5143387560966353,4.926710304842468,49.83508346015366,4.412147486898838,0.3432203389830509,-0.016860945057849932,,,0.0013790656323634683,0.347524539355594,2.1492341415858958,0.31729539079361757,0.3928729319107438,159,0,1517.936507936508,,
Most Total Fees Paid,3,4,3,COIN,MACD,true,false,1,159,1.2878117942372374,52.53164556962025,1.4494160756615473,0.9149249584179542,2.182162048745523,11.450996199290026,0 days 23:59:59.999999999,0.10408867510195545,3.1860687022900764,6.352099236641221,2.9150137749594935,0,1048,1049 days 00:00:00,1000.0,3123.753715560411,212.37537155604107,-20.32106485413022,100.0,534.6536448219927,28.683335405272096,371 days 00:00:00,158,-3.1237537155602695,30.883542362844977,-13.565375216674514,5.078935259189725,-3.6932464411028065,1 days 00:00:00,1 days 00:00:00,13.461249805544146,1.0537764040004178,1.695606657943721,1.506255669922834,4.715672351277079,48.39517372225659,4.246552129661971,0.35470085470085466,-0.01686094505784991,,,0.001377254790714211,0.34706820725998117,2.123753715560412,0.31472707080002604,0.3963807222375242,159,0,1517.936507936508,,
Median Max Drawdown [%],2,7,3,COIN,MACD,true,false,1,162,1.2725786870662457,51.5527950310559,1.515417282461806,0.8991481148372447,2.1879264872629194,11.426087488123022,0 days 23:59:59.999999999,0.10606504235072675,3.24618320610687,6.472328244274809,2.918799510187315,0,1048,1049 days 00:00:00,1000.0,3118.692000209836,211.86920002098358,-20.32106485413022,100.0,469.39463843372255,34.51802917380294,354 days 00:00:00,161,-3.1186920002096485,30.883542362844974,-13.56537521667453,5.184028579179911,-3.6604041741427715,1 days 00:00:00,1 days 00:00:00,13.178948398820165,1.0486857259881777,1.4065637001599134,1.4922807875590802,4.703698776101642,46.989282644304225,4.315028783303364,0.3458333333333334,-0.01784222020724743,,,0.0013792090591513827,0.34756068290614844,2.118692000209835,0.31421497749358207,0.3988700678006249,162,0,1517.936507936508,,
Most Profit Factor,2,8,3,COIN,MACD,true,false,1,156,1.288692036731905,51.61290322580645,1.5732838874806443,0.9137875153738282,2.216249298431002,11.272091312995386,0 days 23:59:59.999999999,0.10211230785318415,3.1259541984732824,6.231870229007634,2.8564579201952873,0,1048,1049 days 00:00:00,1000.0,3087.398337589269,208.7398337589269,-20.32106485413022,100.0,432.8780645288227,37.25727037950881,305 days 00:00:00,155,-3.087398337589093,30.883542362844956,-13.56537521667453,5.096198541501015,-3.547450912495171,1 days 00:00:00,1 days 00:00:00,13.48700474791519,1.062859969454533,1.2891831417686412,1.51634558774994,4.927503462484945,52.40539200535702,4.378447884627954,0.3463203463203463,-0.016412976544307047,,,0.0013494056177171397,0.3400502156647192,2.0873983375892684,0.311034901698636,0.38504648746180314,156,0,1517.936507936508,,
Most Avg Losing Trade [%],2,9,3,COIN,MACD,true,false,1,153,1.2629799520787273,50.6578947368421,1.5548241804585623,0.8795977560568717,2.055534183792104,10.100838434189532,0 days 23:59:59.999999999,0.10013594060441285,3.0658396946564883,6.111641221374046,2.696705715849932,0,1048,1049 days 00:00:00,1000.0,2849.387280481264,184.93872804812642,-20.32106485413022,100.0,394.01304287183126,39.561096850072644,314 days 00:00:00,152,-2.8493872804810962,30.883542362844953,-13.56537521667452,5.189816080663842,-3.545559723872951,1 days 00:00:00,1 days 00:00:00,12.185767551064103,1.0023521429466131,1.1111016129191202,1.4881743382820942,4.850033674220035,52.51189607919732,4.406542196471659,0.33771929824561403,-0.01434505879198848,,,0.0012737287286551913,0.3209796396211082,1.8493872804812574,0.28601015435112975,0.38539255769472514,153,0,1517.936507936508,,
Most Expectancy,3,4,9,COIN,MACD,true,false,1,120,1.297000862627122,50.42016806722689,1.5419035806285608,1.0846099977817956,2.1787776274633597,9.922347075590226,0 days 23:59:59.999999999,0.07839590086792847,2.404580152671756,4.78912213740458,2.6080316740554625,0,1048,1049 days 00:00:00,1000.0,2813.1159357412807,181.3115935741281,-20.32106485413022,100.0,360.14215463967605,24.486559134410577,179 days 00:00:00,119,-2.813115935740825,30.883542362844967,-13.565375216674525,5.805204433779589,-3.7159945134024013,1 days 00:00:00,1 days 00:00:00,15.259907997285897,1.02691521096104,1.7689751930260014,1.5724031925259563,5.476235496164713,63.40083602511331,4.691002857702432,0.33519553072625696,-0.006091913688055156,,,0.001229557461849586,0.30984848038609564,1.813115935741279,0.28205837712336845,0.363129009958848,120,0,1517.936507936508,,
Most Calmar Ratio,3,4,9,COIN,MACD,true,false,1,120,1.297000862627122,50.42016806722689,1.5419035806285608,1.0846099977817956,2.1787776274633597,9.922347075590226,0 days 23:59:59.999999999,0.07839590086792847,2.404580152671756,4.78912213740458,2.6080316740554625,0,1048,1049 days 00:00:00,1000.0,2813.1159357412807,181.3115935741281,-20.32106485413022,100.0,360.14215463967605,24.486559134410577,179 days 00:00:00,119,-2.813115935740825,30.883542362844967,-13.565375216674525,5.805204433779589,-3.7159945134024013,1 days 00:00:00,1 days 00:00:00,15.259907997285897,1.02691521096104,1.7689751930260014,1.5724031925259563,5.476235496164713,63.40083602511331,4.691002857702432,0.33519553072625696,-0.006091913688055156,,,0.001229557461849586,0.30984848038609564,1.813115935741279,0.28205837712336845,0.363129009958848,120,0,1517.936507936508,,
Most Omega Ratio,3,4,9,COIN,MACD,true,false,1,120,1.297000862627122,50.42016806722689,1.5419035806285608,1.0846099977817956,2.1787776274633597,9.922347075590226,0 days 23:59:59.999999999,0.07839590086792847,2.404580152671756,4.78912213740458,2.6080316740554625,0,1048,1049 days 00:00:00,1000.0,2813.1159357412807,181.3115935741281,-20.32106485413022,100.0,360.14215463967605,24.486559134410577,179 days 00:00:00,119,-2.813115935740825,30.883542362844967,-13.565375216674525,5.805204433779589,-3.7159945134024013,1 days 00:00:00,1 days 00:00:00,15.259907997285897,1.02691521096104,1.7689751930260014,1.5724031925259563,5.476235496164713,63.40083602511331,4.691002857702432,0.33519553072625696,-0.006091913688055156,,,0.001229557461849586,0.30984848038609564,1.813115935741279,0.28205837712336845,0.363129009958848,120,0,1517.936507936508,,
