Short Window,Long Window,Signal Window,Signal
3,10,18,1
3,12,15,1
3,15,12,1
3,18,10,1
4,9,17,1
4,10,15,1
4,10,16,1
4,11,14,1
4,12,13,1
4,13,12,1
4,14,11,1
4,15,10,1
4,16,10,1
4,17,9,1
4,19,8,1
4,20,8,1
4,22,7,1
5,8,16,1
5,8,17,1
5,9,15,1
5,10,13,1
5,10,14,1
5,11,12,1
5,12,11,1
5,13,10,1
5,14,10,1
5,15,9,1
5,16,8,1
5,17,8,1
5,19,7,1
5,22,6,1
5,26,5,1
6,7,16,1
6,7,17,1
6,8,14,1
6,8,15,1
6,9,13,1
6,10,12,1
6,11,11,1
6,12,10,1
6,13,9,1
6,14,8,1
6,15,8,1
6,16,7,1
6,17,7,1
6,18,6,1
6,19,6,1
6,22,5,1
7,8,13,1
7,9,11,1
7,9,12,1
7,10,10,1
7,10,11,1
7,11,9,1
7,11,10,1
7,12,9,1
7,13,8,1
7,14,7,1
7,15,7,1
7,16,6,1
7,17,6,1
7,19,5,1
7,22,4,1
8,9,10,1
8,10,9,1
8,11,8,1
8,12,8,1
8,13,7,1
8,14,6,1
8,15,6,1
8,16,5,1
8,17,5,1
8,19,4,1
8,20,4,1
9,10,8,1
9,11,7,1
9,12,7,1
9,13,6,1
9,15,5,1
9,17,4,1
10,11,7,1
10,12,6,1
10,13,5,1
10,14,5,1
10,15,4,1
10,16,4,1
10,18,3,1
11,12,5,1
11,14,4,1
12,13,4,1
12,15,3,1
