Short Window,Long Window,Signal Window,Signal
5,10,13,1
5,10,14,1
5,11,11,1
5,11,12,1
5,11,13,1
5,11,14,1
5,11,15,1
5,12,11,1
5,12,12,1
5,12,13,1
5,12,14,1
5,13,10,1
5,13,11,1
5,13,12,1
5,13,13,1
5,13,14,1
5,14,10,1
5,14,11,1
5,14,12,1
5,14,13,1
5,15,11,1
6,7,15,1
6,8,11,1
6,8,12,1
6,8,13,1
6,8,14,1
6,8,15,1
6,8,16,1
6,8,17,1
6,8,18,1
6,9,9,1
6,9,10,1
6,9,11,1
6,9,12,1
6,9,13,1
6,9,14,1
6,9,15,1
6,9,16,1
6,9,17,1
6,9,18,1
6,10,9,1
6,10,10,1
6,10,11,1
6,10,12,1
6,10,13,1
6,10,14,1
6,10,15,1
6,10,16,1
6,10,17,1
6,10,18,1
6,11,8,1
6,11,9,1
6,11,10,1
6,11,11,1
6,11,12,1
6,11,13,1
6,11,14,1
6,11,15,1
6,11,16,1
6,11,17,1
6,11,18,1
6,12,8,1
6,12,9,1
6,12,10,1
6,12,11,1
6,12,12,1
6,12,13,1
6,12,14,1
6,12,15,1
6,12,16,1
6,12,17,1
6,13,8,1
6,13,9,1
6,13,10,1
6,13,11,1
6,13,12,1
6,13,13,1
6,13,14,1
6,13,15,1
6,13,16,1
6,14,8,1
6,14,9,1
6,14,10,1
6,14,11,1
6,14,12,1
6,14,13,1
6,14,14,1
6,14,15,1
6,15,7,1
6,15,8,1
6,15,9,1
6,15,10,1
6,15,11,1
6,15,12,1
6,15,13,1
6,15,14,1
6,16,8,1
6,16,9,1
6,16,10,1
6,16,11,1
6,16,12,1
6,16,13,1
6,17,8,1
6,17,9,1
6,17,10,1
6,17,11,1
6,17,12,1
6,18,8,1
6,18,9,1
6,18,10,1
6,18,11,1
6,19,9,1
7,8,8,1
7,8,9,1
7,8,10,1
7,8,11,1
7,8,12,1
7,8,13,1
7,8,14,1
7,8,15,1
7,8,16,1
7,8,17,1
7,8,18,1
7,9,8,1
7,9,9,1
7,9,10,1
7,9,11,1
7,9,12,1
7,9,13,1
7,9,14,1
7,9,15,1
7,9,16,1
7,9,17,1
7,9,18,1
7,10,7,1
7,10,8,1
7,10,9,1
7,10,10,1
7,10,11,1
7,10,12,1
7,10,13,1
7,10,14,1
7,10,15,1
7,10,16,1
7,10,17,1
7,10,18,1
7,11,7,1
7,11,8,1
7,11,9,1
7,11,10,1
7,11,11,1
7,11,12,1
7,11,13,1
7,11,14,1
7,11,15,1
7,11,16,1
7,11,17,1
7,11,18,1
7,12,7,1
7,12,8,1
7,12,9,1
7,12,10,1
7,12,11,1
7,12,12,1
7,12,13,1
7,12,14,1
7,12,15,1
7,12,16,1
7,12,17,1
7,13,7,1
7,13,8,1
7,13,9,1
7,13,10,1
7,13,11,1
7,13,12,1
7,13,13,1
7,13,14,1
7,13,15,1
7,13,16,1
7,14,7,1
7,14,8,1
7,14,9,1
7,14,10,1
7,14,11,1
7,14,12,1
7,14,13,1
7,14,14,1
7,14,15,1
7,15,6,1
7,15,7,1
7,15,8,1
7,15,9,1
7,15,10,1
7,15,11,1
7,15,12,1
7,15,13,1
7,15,14,1
7,16,7,1
7,16,8,1
7,16,9,1
7,16,10,1
7,16,11,1
7,16,12,1
7,16,13,1
7,17,7,1
7,17,8,1
7,17,9,1
7,17,10,1
7,17,11,1
7,17,12,1
7,18,7,1
7,18,8,1
7,18,9,1
7,18,10,1
7,18,11,1
7,19,7,1
7,19,8,1
7,19,9,1
7,19,10,1
7,20,8,1
7,20,9,1
8,9,7,1
8,9,8,1
8,9,9,1
8,9,10,1
8,9,11,1
8,9,12,1
8,9,13,1
8,9,14,1
8,9,15,1
8,9,16,1
8,9,17,1
8,9,18,1
8,10,7,1
8,10,8,1
8,10,9,1
8,10,10,1
8,10,11,1
8,10,12,1
8,10,13,1
8,10,14,1
8,10,15,1
8,10,16,1
8,10,17,1
8,10,18,1
8,11,6,1
8,11,7,1
8,11,8,1
8,11,9,1
8,11,10,1
8,11,11,1
8,11,12,1
